sample_id,category,metric_partition,metric_partition_seed,prompt_split,source_family,source_dataset,source_ids,source_chars,nonblank_lines,reference_pdf,reference_pages,reference_page_sizes_pt,reference_canvas,reference_word_count,reference_drawing_count,reference_image_count,reference_table_detector_count,has_inline_math,has_display_math,has_table_like_environment,has_figure_source,has_list_source,has_algorithm_source,has_crossref_source,has_math_any,has_semantic_table,has_semantic_figure,has_form_semantics,has_prose_semantics,has_compact_paper_semantics,provenance_path,provenance_source_id_field,provenance_license_fields,provenance_has_license_field,source_has_explicit_license_text,provenance_missing_research_fields,ai_model_id,ai_selected_stage,ai_manifest_final_compiled,ai_candidate_pdf,ai_candidate_exists,ai_candidate_pages,ai_candidate_page_sizes_pt,ai_candidate_canvas,ai_page_count_match_measured,ai_first_page_canvas_match,ai_page_size_sequence_match,ai_canvas_mismatch
03_math_inline_display_001,03_math_inline_display,metric_validation,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-18788;latex-formulas-10607;latex-formulas-15736;latex-formulas-2042;latex-formulas-18781,2817,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,1,"[[612.0,792.0]]",letter,187,7,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v2,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_001/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_002,03_math_inline_display,metric_validation,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-18790;latex-formulas-18859;latex-formulas-9111;latex-formulas-18787;latex-formulas-4178,2745,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,1,"[[612.0,792.0]]",letter,211,3,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v2,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_002/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_003,03_math_inline_display,metric_validation,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-5539;latex-formulas-7141;latex-formulas-7156;latex-formulas-7823;latex-formulas-9101,2688,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,1,"[[612.0,792.0]]",letter,200,20,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v1,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_003/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_004,03_math_inline_display,metric_dev,20260715,prompt_dev,hf_extracted,OleehyO/latex-formulas,latex-formulas-11406;latex-formulas-15569;latex-formulas-10834;latex-formulas-17675;latex-formulas-19412,2653,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,1,"[[612.0,792.0]]",letter,199,23,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v0,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_005,03_math_inline_display,metric_dev,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-15642;latex-formulas-371;latex-formulas-12079;latex-formulas-6166;latex-formulas-6522,2617,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,1,"[[612.0,792.0]]",letter,177,9,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v2,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_005/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_006,03_math_inline_display,metric_test,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-1663;latex-formulas-3111;latex-formulas-7503;latex-formulas-9629;latex-formulas-14700,2601,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_006/reference.pdf,1,"[[612.0,792.0]]",letter,202,27,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_006/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v1,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_006/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_007,03_math_inline_display,metric_test,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-15311;latex-formulas-17494;latex-formulas-9037;latex-formulas-17630;latex-formulas-745,2572,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_007/reference.pdf,1,"[[612.0,792.0]]",letter,206,6,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_007/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v2,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_007/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_008,03_math_inline_display,metric_dev,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-1417;latex-formulas-11690;latex-formulas-14582;latex-formulas-11947;latex-formulas-19430,2557,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_008/reference.pdf,1,"[[612.0,792.0]]",letter,197,26,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_008/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v2,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_008/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_009,03_math_inline_display,metric_validation,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-11458;latex-formulas-18798;latex-formulas-629;latex-formulas-2911;latex-formulas-5507,2540,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_009/reference.pdf,1,"[[612.0,792.0]]",letter,195,21,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_009/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v1,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_009/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
03_math_inline_display_010,03_math_inline_display,metric_dev,20260715,heldout,hf_extracted,OleehyO/latex-formulas,latex-formulas-6386;latex-formulas-5382;latex-formulas-19306;latex-formulas-3553;latex-formulas-16091,2529,22,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_010/reference.pdf,1,"[[612.0,792.0]]",letter,194,19,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_010/provenance.json,source_ids,,False,False,authors;license;retrieval_timestamp;source_url;transformation_record,google/gemini-3.1-flash-lite,v1,True,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_010/output.pdf,True,1,"[[595.276,841.89]]",a4,True,False,False,True
