comparison_id,sample_id,category,system_id,display_label,protocol_id,reference_pdf,candidate_pdf
03_math_inline_display_001__pandoc,03_math_inline_display_001,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_001/pandoc.pdf
03_math_inline_display_001__typetex,03_math_inline_display_001,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_001/typetex.pdf
03_math_inline_display_002__pandoc,03_math_inline_display_002,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_002/pandoc.pdf
03_math_inline_display_002__typetex,03_math_inline_display_002,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_002/typetex.pdf
03_math_inline_display_003__pandoc,03_math_inline_display_003,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_003/pandoc.pdf
03_math_inline_display_003__typetex,03_math_inline_display_003,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_003/typetex.pdf
03_math_inline_display_004__pandoc,03_math_inline_display_004,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/pandoc.pdf
03_math_inline_display_004__typetex,03_math_inline_display_004,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/typetex.pdf
03_math_inline_display_005__pandoc,03_math_inline_display_005,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_005/pandoc.pdf
03_math_inline_display_005__typetex,03_math_inline_display_005,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_005/typetex.pdf
03_math_inline_display_006__pandoc,03_math_inline_display_006,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_006/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_006/pandoc.pdf
03_math_inline_display_006__typetex,03_math_inline_display_006,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_006/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_006/typetex.pdf
03_math_inline_display_007__pandoc,03_math_inline_display_007,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_007/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_007/pandoc.pdf
03_math_inline_display_007__tylax,03_math_inline_display_007,03_math_inline_display,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_007/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_007/tylax.pdf
03_math_inline_display_007__typetex,03_math_inline_display_007,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_007/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_007/typetex.pdf
03_math_inline_display_008__pandoc,03_math_inline_display_008,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_008/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_008/pandoc.pdf
03_math_inline_display_008__typetex,03_math_inline_display_008,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_008/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_008/typetex.pdf
03_math_inline_display_009__pandoc,03_math_inline_display_009,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_009/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_009/pandoc.pdf
03_math_inline_display_010__pandoc,03_math_inline_display_010,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_010/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_010/pandoc.pdf
03_math_inline_display_010__typetex,03_math_inline_display_010,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_010/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_010/typetex.pdf
03_math_inline_display_011__pandoc,03_math_inline_display_011,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_011/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_011/pandoc.pdf
03_math_inline_display_011__typetex,03_math_inline_display_011,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_011/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_011/typetex.pdf
03_math_inline_display_012__pandoc,03_math_inline_display_012,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_012/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_012/pandoc.pdf
03_math_inline_display_012__typetex,03_math_inline_display_012,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_012/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_012/typetex.pdf
03_math_inline_display_013__pandoc,03_math_inline_display_013,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_013/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_013/pandoc.pdf
03_math_inline_display_013__typetex,03_math_inline_display_013,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_013/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_013/typetex.pdf
03_math_inline_display_014__pandoc,03_math_inline_display_014,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_014/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_014/pandoc.pdf
03_math_inline_display_014__typetex,03_math_inline_display_014,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_014/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_014/typetex.pdf
03_math_inline_display_015__pandoc,03_math_inline_display_015,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_015/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_015/pandoc.pdf
03_math_inline_display_015__typetex,03_math_inline_display_015,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_015/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_015/typetex.pdf
03_math_inline_display_016__pandoc,03_math_inline_display_016,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_016/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_016/pandoc.pdf
03_math_inline_display_016__typetex,03_math_inline_display_016,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_016/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_016/typetex.pdf
03_math_inline_display_017__pandoc,03_math_inline_display_017,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_017/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_017/pandoc.pdf
03_math_inline_display_018__pandoc,03_math_inline_display_018,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_018/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_018/pandoc.pdf
03_math_inline_display_018__typetex,03_math_inline_display_018,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_018/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_018/typetex.pdf
04_math_aligned_001__pandoc,04_math_aligned_001,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_001/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_001/pandoc.pdf
04_math_aligned_001__typetex,04_math_aligned_001,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_001/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_001/typetex.pdf
04_math_aligned_002__pandoc,04_math_aligned_002,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_002/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_002/pandoc.pdf
