section,sample_id,candidate,label,state,status,source_artifact,embedded_pdf,embedded_pages,report_page
current canonical hard set,03_math_inline_display_004,reference,Reference - pdfLaTeX,ok,canonical reference,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,1,3
current canonical hard set,03_math_inline_display_004,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,1,3
current canonical hard set,03_math_inline_display_004,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,failed,claude sonnet 1-turn (effort low); no compiled artifact,harness/runs/03_math_inline_display_004__1turn__sonnet__base/output.typ,,0,3
current canonical hard set,03_math_inline_display_004,claude_opus_4_7,Claude Opus 4.7 - one-turn low,ok,claude opus 1-turn (effort low); overall=59.2; pages=1/1; compiled from stored Typst,harness/runs/03_math_inline_display_004__1turn__opus__base/output.typ,temporary Typst compile embedded in report,1,3
current canonical hard set,03_math_inline_display_004,pandoc,Pandoc - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/pandoc.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/pandoc.pdf,1,3
current canonical hard set,03_math_inline_display_004,tylax,Tylax - deterministic engine,failed,conversion=ok; compile=failed,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/tylax.pdf,,0,3
current canonical hard set,03_math_inline_display_004,typetex,TypeTeX - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/typetex.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/typetex.pdf,1,3
current canonical hard set,03_math_inline_display_004,scope,Scope and comparability,info,"CURRENT CANONICAL HARD SET

Same sample and reference across every populated cell. Claude uses agentic outputs on the six core hard samples and one-turn outputs on the two extra math samples. Gemini uses the stored prompt cascade. Missing cells are shown, not dropped.",,,0,3
current canonical hard set,04_math_aligned_014,reference,Reference - pdfLaTeX,ok,canonical reference,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,2,4
current canonical hard set,04_math_aligned_014,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,1,4
current canonical hard set,04_math_aligned_014,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,ok,claude sonnet 1-turn (effort low); overall=47.4; pages=2/1; compiled from stored Typst,harness/runs/04_math_aligned_014__1turn__sonnet__base/output.typ,temporary Typst compile embedded in report,1,4
current canonical hard set,04_math_aligned_014,claude_opus_4_7,Claude Opus 4.7 - one-turn low,ok,claude opus 1-turn (effort low); overall=52.0; pages=2/1; compiled from stored Typst,harness/runs/04_math_aligned_014__1turn__opus__base/output.typ,temporary Typst compile embedded in report,1,4
current canonical hard set,04_math_aligned_014,pandoc,Pandoc - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_014/pandoc.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_014/pandoc.pdf,1,4
current canonical hard set,04_math_aligned_014,tylax,Tylax - deterministic engine,failed,conversion=ok; compile=failed,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_014/tylax.pdf,,0,4
