blind_id,sample_id,content_0_4,layout_0_4,typography_0_4,structure_0_4,overall_0_4,confidence_low_medium_high,within_sample_rank,notes
B-069C2,03_math_inline_display_004,2,2,3,2,2,medium,2,"All five expressions are present, but formulas visibly diverge and the body is compressed into the upper half; section numbering is missing."
B-5292C,03_math_inline_display_004,,,,,,high,,Candidate PDF was unavailable because the stored source did not compile.
B-55447,03_math_inline_display_004,3,2,3,3,3,medium,1,"All expressions are present and closer to the reference, but vertical spacing is materially compressed and section numbering differs."
B-02498,04_math_aligned_014,3,1,3,3,2,high,3,"All five displayed expressions are present, but a two-page reference is collapsed into one page and section numbering changes."
B-D5443,04_math_aligned_014,3,1,3,3,2,high,1,"All five displayed expressions and the numbered section are present, but the two-page reference is collapsed into one page."
B-E4683,04_math_aligned_014,3,1,3,3,2,high,2,"All five displayed expressions are present, but the two-page reference is collapsed into one page and the section number is omitted."
B-2FD6E,05_tables_simple_005,2,1,2,1,1,high,3,"The table content is split and duplicated across three pages, with severe bottom overlap on the later pages."
B-44A51,05_tables_simple_005,4,3,3,3,3,high,2,"Both tables are complete on two pages; scale, line spacing, and placement remain visibly different."
B-96203,05_tables_simple_005,4,4,3,4,4,high,1,"Both tables and page assignments closely match the reference; remaining differences are mostly font weight and density."
B-211B2,05_tables_simple_021,2,1,2,1,1,high,3,"A three-page reference is collapsed into two pages, the first table is forced onto the introduction page, and the final table overflows at the bottom."
B-64ADB,05_tables_simple_021,3,3,3,2,2,medium,2,"Page count and table order are preserved, but the algebra table is much shorter and more compressed than the reference."
B-EE254,05_tables_simple_021,4,3,3,3,3,high,1,"All three pages and table assignments are preserved; table scale and spacing still differ from the reference."
B-2B48D,05_tables_simple_023,4,3,3,3,3,medium,2,"Page count and table order are correct, but the second table is substantially smaller than the reference."
B-3EF85,05_tables_simple_023,4,3,3,3,3,medium,1,"Page count and table order are correct; the first table is close, while the second remains substantially underscaled."
B-DD2B3,05_tables_simple_023,4,1,3,2,2,high,3,"The three-page reference is collapsed into two pages, moving the first table onto the introduction page despite preserving the rows."
B-44FC0,06_tables_moderate_010,2,1,2,1,1,high,3,"The two-page reference expands to three pages; the first table overflows and overlaps at the bottom before the second table is moved to page three."
B-6DCD7,06_tables_moderate_010,4,3,3,4,3,high,2,"Both tables and page assignments are preserved, but the first-page material sits noticeably higher and denser than the reference."
B-BE700,06_tables_moderate_010,4,4,3,4,4,high,1,"Both tables and page assignments closely match; the remaining differences are small shifts in density and vertical placement."
B-22DDF,07_figures_captions_007,3,3,2,3,2,high,3,"The placeholder and caption survive, but typography changes strongly and literal source-like math text is replaced by visibly different glyph rendering and wording."
B-A63D1,07_figures_captions_007,4,4,4,4,4,high,1,"The title, section, placeholder, caption, and explanatory line closely match with only modest spacing differences."
B-AA869,07_figures_captions_007,4,3,3,4,3,high,2,"All major elements are present, but the figure block is shifted upward and the caption alignment and wrapping differ."
B-027FF,09_algorithms_003,4,4,3,4,4,high,1,"The two-page structure, algorithm placement, and pseudocode block closely match; line density differs slightly."
B-71DDC,09_algorithms_003,4,3,3,4,3,high,2,"The two-page structure is preserved, but the algorithm block is smaller and more compressed than the reference."
B-B26D0,09_algorithms_003,3,1,3,2,2,high,3,"The two-page reference is collapsed into one page, the algorithm is moved into the article page, and its label changes to a figure caption."
