audit_case_id,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,reviewer,unblind_notes
AI105,false,true,true,codex_researcher_b,"The cyan enclosure covers almost the entire reference body rather than isolating the malformed formulas. The low content, layout, and typography scores are directionally consistent with the raw-command failure."
AI106,false,true,true,codex_researcher_b,"The residual enclosure is page-wide and does not isolate the substituted markers or narrower prose block. The score pattern reasonably reflects moderate content change and strong layout displacement."
AI107,false,true,true,codex_researcher_b,"The top box is dominated by whole-page registration difference and misses the later-page table rescaling as a discrete target. High content with very low layout and typography is plausible for preserved but severely miniaturized tables."
AI108,true,true,true,codex_researcher_b,"The box encloses the algorithm region where indentation and math commands collapse into prose. The low structural, layout, and typography fidelity is visually supported."
AI109,false,true,true,codex_researcher_b,"The box covers the complete reference text block rather than a localized defect. The high content score and poor layout score agree with intact prose that is substantially shifted and compressed."
AI110,false,true,true,codex_researcher_b,"The cyan box is effectively a whole-page content frame, so it does not identify which equations failed. The low content and formatting axes are consistent with flattened and malformed mathematics."
AI111,true,true,true,codex_researcher_b,"The residual box selects a later-page table region whose candidate counterpart is drastically smaller. The axes correctly separate retained table text from severe layout and typography loss."
AI112,true,true,true,codex_researcher_b,"The box identifies the large reference table area that becomes a narrow miniature in the candidate. Content remains relatively high while layout and typography collapse, which is visually credible."
AI113,true,true,true,codex_researcher_b,"The cyan box isolates the algorithm block that was recast as a boxed figure with altered hierarchy. The raw axes are directionally compatible with moderate content and major structural-layout change."
AI114,false,false,true,codex_researcher_b,"The box follows nearly the entire reference page and adds no useful localization. The formulas are visually faithful with only mild compaction, so content 0.570 and layout 0.000 are implausibly punitive."
AI115,false,false,true,codex_researcher_b,"The cyan enclosure is a page-scale registration artifact rather than a defect locator. The output preserves all formulas, making the very low content and layout scores inconsistent with the visible mild shift."
AI116,true,true,true,codex_researcher_b,"The residual points to the candidate-only second page created by reflow, directly explaining the pagination failure. The zero pagination score and low layout score are supported by the one-to-two-page split."
AI117,false,true,true,codex_researcher_b,"The enclosure spans the main page and does not distinguish the raw equation, reference-list substitution, or exposed label. The low content, layout, typography, and structure pattern matches the visible failures."
AI118,false,true,true,codex_researcher_b,"The box is too broad to localize any one formula failure, although the entire page is affected. Extremely low content and formatting axes are appropriate for clipped raw TeX replacing every display."
AI119,false,false,true,codex_researcher_b,"The box encloses the whole list block even though no discrete defect exists. All items and ordering are retained, so near-zero layout and low typography scores exaggerate a mild scale and position change."
AI120,false,true,false,codex_researcher_b,"With registration available, the cyan box still spans almost the full letter and does not isolate the missing date or moved address fields. High content with poorer layout and appearance is a plausible decomposition of the visible change."
AI121,false,false,true,codex_researcher_b,"The box is a broad frame around the reference figure page rather than a localized residual. The placeholder, caption, and inline math are preserved, so layout 0.000 and very low typography overstate the mild reflow."
AI122,false,false,true,codex_researcher_b,"The enclosure tracks the whole reference text block and does not identify a specific error. Near-perfect content is plausible, but zero layout and very low typography are too harsh for modest scaling and vertical shift."
