sample_id,category,gates_passed,all_gates_passed,failed_gates,g1_page_count_exact,page_count_delta,g2_token_recall_at_least_0_95,strict_token_recall,g3_token_precision_at_least_0_95,strict_token_precision,g4_number_f1_exact_when_applicable,number_gate_applicable,number_f1,registered_ink_f1,text_ltsim_page_macro,token_center_displacement_q90,driver_mean_diagnostic,registered_ssim_report_only,page_break_f1_report_only,strict_word_f1_report_only
i2s_algorithm_003,i2s_algorithm,0,False,"page_count,token_recall,token_precision,number_f1",False,-1.0,False,0.5230769230769231,False,0.6181818181818182,False,True,0.7272727272727273,0.17303517531089752,0.7289433511591666,0.47824178417167573,0.4745789140994628,0.7201443884912495,0.0,0.5666666666666668
i2s_algorithm_004,i2s_algorithm,1,False,"token_recall,token_precision,number_f1",True,0.0,False,0.7308707124010554,False,0.780281690140845,False,True,0.9523809523809523,0.41574400932112443,0.7044799568333027,0.18407667789225776,0.6453824294207231,0.6748725931496447,1.0,0.7547683923705722
i2s_algorithm_008,i2s_algorithm,1,False,"token_recall,token_precision,number_f1",True,0.0,False,0.3745928338762215,False,0.4811715481171548,False,True,0.9753086419753086,0.3076016336177497,0.7337939635935812,0.27398219098840815,0.5891378020743075,0.7137844860709447,1.0,0.42124542124542125
i2s_equation_001,i2s_equation,1,False,"token_recall,token_precision,number_f1",True,0.0,False,0.16101694915254236,False,0.22485207100591717,False,True,0.8333333333333333,0.36620439031845786,0.7175419688122574,0.13241536711355473,0.6504436640057202,0.7673694234035272,1.0,0.18765432098765433
i2s_equation_003,i2s_equation,1,False,"token_recall,token_precision,number_f1",True,0.0,False,0.37894736842105264,False,0.4675324675324675,False,True,0.5,0.482833328696347,0.7789466796613936,0.05182204542304961,0.7366526543115637,0.8997146750788183,1.0,0.4186046511627907
i2s_equation_005,i2s_equation,1,False,"token_recall,token_precision,number_f1",True,0.0,False,0.3815789473684211,False,0.3670886075949367,False,True,0.9285714285714286,0.08111959219035797,0.7062895490769818,0.1362100871007598,0.5503996847221934,0.8873099107905292,1.0,0.3741935483870968
i2s_equation_006,i2s_equation,1,False,"token_recall,token_precision,number_f1",True,0.0,False,0.30275229357798167,False,0.32038834951456313,False,True,0.9375,0.22284869278903238,0.7456099981921691,0.12804300639458777,0.6134718948622045,0.8787551654328603,1.0,0.3113207547169812
i2s_plot_002,i2s_plot,1,False,"token_recall,token_precision,number_f1",True,0.0,False,0.23015873015873015,False,0.8055555555555556,False,True,0.27906976744186046,0.09660906168054813,0.673439854655903,0.37464366581091385,0.4651350835085124,0.8897189964130363,1.0,0.3580246913580246
i2s_table_006,i2s_table,1,False,"token_recall,token_precision,number_f1",True,0.0,False,0.879245283018868,False,0.89272030651341,False,True,0.967032967032967,0.33524060307390247,0.6962126904576034,0.11239947289607696,0.6396846068784763,0.7075718769959989,0.6666666666666666,0.8859315589353612
i2s_table_007,i2s_table,3,False,number_f1,True,0.0,True,0.954248366013072,True,0.9733333333333334,False,True,0.9787234042553191,0.34628910993058937,0.7417911350436701,0.09039326722359858,0.6658956592502203,0.8758765976723164,1.0,0.9636963696369638
i2s_table_008,i2s_table,3,False,number_f1,True,0.0,True,0.9836065573770492,True,0.9966777408637874,False,True,0.9945155393053016,0.3764346966400408,0.688650099644736,0.12466546346259445,0.6468064442740608,0.7798000013616841,0.4,0.99009900990099
pubmed_table_001,pubmed_table,3,False,number_f1,True,0.0,True,0.9931818181818182,True,0.9776286353467561,False,True,0.9685534591194969,0.15819055175084396,0.6714206674370804,0.5281608953423812,0.43381677461518103,0.6202708036345698,1.0,0.9853438556933484
pubmed_table_004,pubmed_table,0,False,"page_count,token_recall,token_precision,number_f1",False,1.0,False,0.8517745302713987,False,0.7418181818181818,False,True,0.972318339100346,0.15985046095603492,0.6827535323486635,0.41027057319915505,0.4774444733685145,0.5726300003901791,0.5,0.7930029154518949
