report_page,blind_id,sample_id,display_label,protocol_id,state,manual_overall,cv_grade,reference_pdf,candidate_pdf,box_missing,box_extra
16,B-069C2,03_math_inline_display_004,Gemini 3.1 Flash Lite - one-turn cascade,gemini_prompt_stage_cascade,ok,2,3.0,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,84,49
17,B-5292C,03_math_inline_display_004,Claude Sonnet 4.6 - one-turn low,sonnet_one_turn_low,unavailable,,,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,,,
18,B-55447,03_math_inline_display_004,Claude Opus 4.7 - one-turn low,opus_one_turn_low,ok,3,3.0,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/03_math_inline_display_004/claude-opus-4-7.pdf,83,49
19,B-02498,04_math_aligned_014,Gemini 3.1 Flash Lite - one-turn cascade,gemini_prompt_stage_cascade,ok,2,2.0,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,123,69
20,B-D5443,04_math_aligned_014,Claude Opus 4.7 - one-turn low,opus_one_turn_low,ok,2,2.0,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-opus-4-7.pdf,122,67
21,B-E4683,04_math_aligned_014,Claude Sonnet 4.6 - one-turn low,sonnet_one_turn_low,ok,2,2.0,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-sonnet-4-6.pdf,121,66
22,B-2FD6E,05_tables_simple_005,Gemini 3.1 Flash Lite - one-turn cascade,gemini_prompt_stage_cascade,ok,1,1.0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,23,40
23,B-44A51,05_tables_simple_005,Claude Sonnet 4.6 - agentic v1 visual low,sonnet_agentic_v1_visual_low,ok,3,3.0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-sonnet-4-6.pdf,3,0
24,B-96203,05_tables_simple_005,Claude Opus 4.7 - agentic v3 visual medium,opus_agentic_v3_visual_medium,ok,4,3.465122268613678,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-opus-4-7.pdf,2,0
25,B-211B2,05_tables_simple_021,Gemini 3.1 Flash Lite - one-turn cascade,gemini_prompt_stage_cascade,ok,1,1.4467940181298269,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,143,289
26,B-64ADB,05_tables_simple_021,Claude Sonnet 4.6 - agentic v1 visual low,sonnet_agentic_v1_visual_low,ok,2,2.0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-sonnet-4-6.pdf,141,280
