variant_id,sample_id,variant,severity,score_and_localization_equal,mismatched_fields,pdf_bytes_equal,render_pixels_equal
00da8f38313ce288,05_tables_simple_028,text_deletion,3,true,,,
016aa215c1055eee,01_prose_sections_011,text_deletion,2,true,,true,true
016e05f9d5317343,04_math_aligned_010,text_deletion,3,true,,,
0200606b6f410b37,06_tables_moderate_031,text_deletion,1,true,,,
026976598fe2854a,11_forms_cv_letters_004,text_deletion,2,true,,true,true
02dfe24dacef9fd1,08_crossrefs_citations_010,text_deletion,2,true,,true,true
03131f996b238170,02_lists_formatting_015,text_deletion,1,true,,,
0383076fb7d33255,05_tables_simple_011,text_deletion,3,true,,,
03c89acfd066af0e,11_forms_cv_letters_010,text_deletion,1,true,,,
059df904e7c8b48a,01_prose_sections_009,text_deletion,2,true,,true,true
06675518c2138caa,03_math_inline_display_015,text_deletion,1,true,,,
067a1e51fbdd53d5,05_tables_simple_005,text_deletion,3,true,,,
06cb4e20aea34cc1,06_tables_moderate_032,text_deletion,1,true,,,
0776c64752a52792,03_math_inline_display_005,text_deletion,2,true,,true,true
0789569d8164a4e1,05_tables_simple_002,text_deletion,2,true,,true,true
086b49f4996cbd83,07_figures_captions_001,text_deletion,1,true,,,
0978260955c1df59,11_forms_cv_letters_004,text_deletion,1,true,,,
0a72cccfb089b74b,06_tables_moderate_014,text_deletion,3,true,,,
0b2cda15462eb26b,08_crossrefs_citations_002,text_deletion,2,true,,true,true
0b6f91f95316135f,01_prose_sections_007,text_deletion,2,true,,true,true
0b7738eaa1503055,06_tables_moderate_034,text_deletion,3,true,,,
0ba387b9a10a467e,02_lists_formatting_025,text_deletion,2,true,,true,true
0ba49d6d87074fc2,10_compact_papers_015,text_deletion,1,true,,,
0bf9f94214e310a2,06_tables_moderate_007,text_deletion,1,true,,,
0cf6ff5daaac8ae2,01_prose_sections_003,text_deletion,2,true,,true,true
0dcc3b5ab08eca11,08_crossrefs_citations_001,text_deletion,2,true,,true,true
0f7b49fc6390bcec,11_forms_cv_letters_009,text_deletion,2,true,,true,true
0fa073e13c6adc69,08_crossrefs_citations_011,text_deletion,1,true,,,
0fa91c7a6217472a,05_tables_simple_015,text_deletion,2,true,,true,true
0fd2476ff27746f1,06_tables_moderate_029,text_deletion,1,true,,,
105b9ff09286b983,04_math_aligned_008,text_deletion,1,true,,,
107a939a79fee6e3,02_lists_formatting_025,text_deletion,3,true,,,
117a3f10741d6ce2,07_figures_captions_007,text_deletion,2,true,,true,true
11f2d87812a8f380,01_prose_sections_008,text_deletion,3,true,,,
1237e85601da95f7,01_prose_sections_013,text_deletion,2,true,,true,true
128706ff791a3b74,02_lists_formatting_006,text_deletion,1,true,,,
12b05c858acf5682,08_crossrefs_citations_012,text_deletion,2,true,,true,true
12be0b2ffc166cf1,08_crossrefs_citations_009,text_deletion,3,true,,,
13ad6743d0e3ded4,06_tables_moderate_018,text_deletion,1,true,,,
13f987feb79390d4,07_figures_captions_015,text_deletion,2,true,,true,true
14253e1c37b52f05,11_forms_cv_letters_010,text_deletion,3,true,,,
144b570af9b4389f,04_math_aligned_012,text_deletion,1,true,,,
1499d7f5bb474a37,01_prose_sections_006,text_deletion,2,true,,true,true
159b879be6c765af,03_math_inline_display_012,text_deletion,1,true,,,
173833e7c755defa,01_prose_sections_014,text_deletion,1,true,,,
