sample_id,model,candidate_valid,visible_defect_severity,affected_axis,page,normalized_bbox,concise_objective_evidence,reviewer
04_math_aligned_014,Gemini 3.1 Flash Lite,true,moderate,pagination|layout|typography,all,,Reference uses two pages; candidate reflows all five expression groups onto one A4 page and omits the visible section number before Expressions.,codex_manual_visual_v1
04_math_aligned_014,Claude Sonnet 4.6,true,moderate,pagination|layout,all,,Reference uses two pages; candidate removes the page break and places the reference-page-2 continuation at the bottom of page 1.,codex_manual_visual_v1
04_math_aligned_014,Claude Opus 4.7,true,moderate,pagination|layout,all,,Reference uses two pages; candidate preserves the numbered heading but compresses the complete document into one page.,codex_manual_visual_v1
05_tables_simple_005,Gemini 3.1 Flash Lite,true,major,structure|layout|pagination,2-3,"[0.07,0.82,0.95,0.99]",Reference has two clean table pages; candidate has three pages and both table pages end in dense row and caption collisions at the lower page edge.,codex_manual_visual_v1
05_tables_simple_005,Claude Sonnet 4.6,true,minor,content|typography,1,,Page count and table placement match; the visible section label is Tables instead of the reference label 1 Tables.,codex_manual_visual_v1
05_tables_simple_005,Claude Opus 4.7,true,none,none,,,Two-page structure and both table placements align with the reference; no clear defect is visible at the audit resolution.,codex_manual_visual_v1
05_tables_simple_021,Gemini 3.1 Flash Lite,true,moderate,pagination|layout,all,,Reference separates introduction and two tables across three pages; candidate merges the introduction with table 1 and uses two pages.,codex_manual_visual_v1
05_tables_simple_021,Claude Sonnet 4.6,true,minor,content|typography,1,,Three-page table sequence is preserved; the candidate drops the visible section number before Tables.,codex_manual_visual_v1
05_tables_simple_021,Claude Opus 4.7,true,minor,content|typography,1,,Three-page table sequence is preserved; the candidate drops the visible section number before Tables.,codex_manual_visual_v1
05_tables_simple_023,Gemini 3.1 Flash Lite,true,major,content|structure|pagination,2,"[0.34,0.51,0.66,0.80]",Candidate merges three reference pages into two and renders table 2 with rows 22-35 even though the reference visibly ends at row 21.,codex_manual_visual_v1
05_tables_simple_023,Claude Sonnet 4.6,true,major,content|structure,3,"[0.12,0.31,0.46,0.50]",Candidate preserves three pages but table 2 contains 35 visible rows while the reference table visibly ends at row 21.,codex_manual_visual_v1
05_tables_simple_023,Claude Opus 4.7,true,major,content|structure|typography,3,"[0.29,0.08,0.74,0.78]","Table 2 exposes literal Typst fragments such as #it, #sc, brackets and commas inside cells; row values are visibly displaced from their labels.",codex_manual_visual_v1
06_tables_moderate_010,Gemini 3.1 Flash Lite,true,major,structure|layout|pagination,2,"[0.08,0.84,0.96,1.00]",Candidate expands two reference pages to three; table 1 overflows at the bottom with many rows and the caption superimposed into one unreadable band.,codex_manual_visual_v1
06_tables_moderate_010,Claude Sonnet 4.6,true,minor,content|typography,1,,Two-page structure and tables are readable; the candidate drops the visible section number before Tables.,codex_manual_visual_v1
06_tables_moderate_010,Claude Opus 4.7,true,minor,typography,1,"[0.11,0.29,0.90,0.82]",Two-page structure is preserved; table 1 uses substantially heavier horizontal rules than the reference throughout the table body.,codex_manual_visual_v1
07_figures_captions_007,Gemini 3.1 Flash Lite,true,moderate,content|typography|layout,1,,Candidate omits the section number; it interprets reference-visible escaped math text as symbols and adds an extra word in Figures Figure 1 through Figure 1.,codex_manual_visual_v1
07_figures_captions_007,Claude Sonnet 4.6,true,minor,pagination|appearance,1,,Main placeholder and caption structure align; the candidate omits the reference page number and the two visible red link boxes around figure references.,codex_manual_visual_v1
07_figures_captions_007,Claude Opus 4.7,true,minor,typography|pagination|appearance,1,,Main structure aligns; the candidate bolds the Figure 1 label and omits the reference page number and red link boxes.,codex_manual_visual_v1
09_algorithms_003,Gemini 3.1 Flash Lite,true,major,structure|content|pagination,all,,Reference uses a separate second page headed Algorithm 2; candidate compresses to one page and relabels the algorithm block as Figure 1 below the block.,codex_manual_visual_v1
09_algorithms_003,Claude Sonnet 4.6,true,none,none,,,Two-page structure section text algorithm title rule placement comments and page numbers all visibly align; no clear defect is visible at audit resolution.,codex_manual_visual_v1
09_algorithms_003,Claude Opus 4.7,true,minor,layout|typography,2,,Two-page structure is preserved; the algorithm body is more vertically spread and its right-side comments sit farther from their corresponding lines than in the reference.,codex_manual_visual_v1
