comparison_id,sample_id,category,requested_model,resolved_model,protocol,reference_pdf,candidate_pdf,reference_pdf_resolved,candidate_pdf_resolved,v2_status,v2_error,strict_word_f1,strict_document_edit_similarity,compatibility_word_f1,compatibility_document_edit_similarity,number_f1,reference_number_count,candidate_number_count,number_exact,operator_f1,reference_operator_count,candidate_operator_count,operator_exact,citation_f1,reference_citation_count,candidate_citation_count,citation_exact,matched_word_reference_coverage,token_center_displacement_q50,token_center_displacement_q90,token_bbox_iou_q10,block_transport_combined_similarity,block_transport_geometry_similarity,block_transport_content_similarity,block_transport_cost,text_ltsim_page_macro,text_ltsim_worst_page,reading_order_tau,reading_order_reference_coverage,style_coverage_hmean,font_size_log_error_q90,baseline_displacement_q90,unregistered_ink_f1,registered_ink_f1,unregistered_ssim,registered_ssim,unregistered_multiscale_ssim_diagnostic,registered_multiscale_ssim_diagnostic,reference_page_count,candidate_page_count,page_count_delta,page_break_f1,canvas_exact_size_rate,table_status,formula_status,figure_status,v2_evidence_json
i2s_algorithm_003__gemini_flash_final,i2s_algorithm_003,i2s_algorithm,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_003/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_003/output.pdf,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_003/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_003/output.pdf,scored,,0.5666666666666668,0.8074568725653868,0.7666666666666666,0.8836950473010573,0.7272727272727273,49,28,False,1.0,33,33,True,1.0,0,0,True,0.7076923076923077,0.096096927632752,0.47824178417167573,0.0,0.5372554948488517,0.5637978581753835,0.49123301601401326,0.6212815157801278,0.7289433511591666,0.7289433511591666,0.8260869565217391,0.5454545454545454,0.7666666666666666,0.034478222105848784,0.16828178636955493,0.13703053136617319,0.17303517531089752,0.6888855313456324,0.7201443884912495,0.7757400599158377,0.8004591131665695,2,1,-1,0.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_algorithm_003__gemini_flash_final.json
i2s_algorithm_004__gemini_flash_final,i2s_algorithm_004,i2s_algorithm,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_004/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_004/output.pdf,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_004/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_004/output.pdf,scored,,0.7547683923705722,0.8727688787185355,0.8637602179836512,0.9102974828375286,0.9523809523809523,22,20,False,0.9824561403508771,29,28,False,1.0,0,0,True,0.8364116094986808,0.07863942533148677,0.18407667789225776,0.0,0.5570706775786533,0.6295917996490538,0.44381855239959195,0.5850631573763914,0.7044799568333027,0.7044799568333027,0.5619047619047619,1.0,0.8637602179836512,0.034478222105848784,0.07996437766335224,0.3316815958639386,0.41574400932112443,0.6446043989244646,0.6748725931496447,0.7622455958831713,0.7821319431477651,1,1,0,1.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_algorithm_004__gemini_flash_final.json
i2s_algorithm_008__gemini_flash_final,i2s_algorithm_008,i2s_algorithm,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_008/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_008/output.pdf,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_008/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_008/output.pdf,scored,,0.42124542124542125,0.6370607028753994,0.5860805860805861,0.793873643905552,0.9753086419753086,79,83,False,1.0,77,77,True,1.0,0,0,True,0.5211726384364821,0.09216594758214691,0.27398219098840815,0.0,0.5353234586993367,0.5661843965012866,0.4824034524743626,0.6248841190807819,0.7337939635935812,0.7337939635935812,0.8315789473684211,0.9523809523809523,0.5860805860805861,0.08326830312256969,0.09198335204461605,0.23165908052441658,0.3076016336177497,0.7033833393230922,0.7137844860709447,0.786889406370548,0.799676117790097,1,1,0,1.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_algorithm_008__gemini_flash_final.json
i2s_equation_001__gemini_flash_final,i2s_equation_001,i2s_equation,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_001/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_001/output.pdf,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_001/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_001/output.pdf,scored,,0.18765432098765433,0.42814667988107036,0.3654320987654321,0.5629335976214074,0.8333333333333333,7,5,False,0.7572815533980582,39,64,False,1.0,0,0,True,0.3135593220338983,0.10955607530936533,0.13241536711355473,0.0,0.5646819043941247,0.5305910629305625,0.6339110626032621,0.5714927074526555,0.7175419688122574,0.7175419688122574,0.7535460992907801,0.75,0.3654320987654321,0.08326834398993427,0.10264893348770913,0.27832943656540043,0.36620439031845786,0.745064972502854,0.7673694234035272,0.818147427683269,0.8363950240084292,1,1,0,1.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_equation_001__gemini_flash_final.json
i2s_equation_003__gemini_flash_final,i2s_equation_003,i2s_equation,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_003/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_003/output.pdf,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_003/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_003/output.pdf,scored,,0.4186046511627907,0.5785714285714285,0.5465116279069767,0.8153078202995008,0.5,3,1,False,1.0,28,28,True,1.0,0,0,True,0.49473684210526314,0.03182633213427648,0.05182204542304961,0.0,0.6672852156512987,0.6237838006608717,0.7562821264979099,0.40453771479336276,0.7789466796613936,0.7789466796613936,0.9556650246305418,0.90625,0.5465116279069767,0.08215086384854513,0.04679448676831793,0.3333346467063254,0.482833328696347,0.8844022378243529,0.8997146750788183,0.9124201336454539,0.9288047696899258,1,1,0,1.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_equation_003__gemini_flash_final.json
i2s_equation_005__gemini_flash_final,i2s_equation_005,i2s_equation,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_005/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_005/output.pdf,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_005/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_005/output.pdf,scored,,0.3741935483870968,0.6064516129032258,0.567741935483871,0.7741935483870968,0.9285714285714286,15,13,False,1.0,29,29,True,1.0,0,0,True,0.5789473684210527,0.10429734115089387,0.1362100871007598,0.0,0.5363534197576729,0.5098435859025859,0.5892971916034901,0.622961969977534,0.7062895490769818,0.7062895490769818,0.6666666666666667,0.8666666666666667,0.567741935483871,0.08326830312256969,0.10587224093350495,0.08111959219035797,0.08111959219035797,0.8873099107905292,0.8873099107905292,0.9064091916720747,0.9064091916720747,1,1,0,1.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_equation_005__gemini_flash_final.json
i2s_equation_006__gemini_flash_final,i2s_equation_006,i2s_equation,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_006/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_006/output.pdf,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_006/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_006/output.pdf,scored,,0.3113207547169812,0.5110294117647058,0.669811320754717,0.6507352941176471,0.9375,17,15,False,1.0,39,39,True,1.0,0,0,True,0.6513761467889908,0.0919366149927279,0.12804300639458777,0.0,0.5957245738065615,0.5307625382221014,0.7381972339177133,0.5179768432148508,0.7456099981921691,0.7456099981921691,0.8577075098814229,0.92,0.669811320754717,0.034478222105848784,0.10194034769077492,0.22284869278903238,0.22284869278903238,0.8787551654328603,0.8787551654328603,0.9025866555401756,0.9025866555401756,1,1,0,1.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_equation_006__gemini_flash_final.json
i2s_plot_002__gemini_flash_final,i2s_plot_002,i2s_plot,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_plot/i2s_plot_002/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_plot_002/output.pdf,data/latex_benchmark_v0/corpus/i2s_plot/i2s_plot_002/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_plot_002/output.pdf,scored,,0.3580246913580246,0.4853273137697517,0.3580246913580246,0.4853273137697517,0.27906976744186046,74,12,False,0.5714285714285715,5,2,False,1.0,0,0,True,0.23015873015873015,0.0884127597735634,0.37464366581091385,0.0,0.4861770043997814,0.46275473648558463,0.5328661488681651,0.7211825148048496,0.673439854655903,0.673439854655903,0.6190476190476191,0.3684210526315789,0.3580246913580246,0.31015467399065616,0.24959125711460295,0.09660906168054813,0.09660906168054813,0.8897189964130363,0.8897189964130363,0.8804874178314589,0.8804874178314589,1,1,0,1.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_plot_002__gemini_flash_final.json
i2s_table_006__gemini_flash_final,i2s_table_006,i2s_table,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_table/i2s_table_006/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_table_006/output.pdf,data/latex_benchmark_v0/corpus/i2s_table/i2s_table_006/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_table_006/output.pdf,scored,,0.8859315589353612,0.8693910256410257,0.8859315589353612,0.8693910256410257,0.967032967032967,47,44,False,1.0,72,72,True,1.0,0,0,True,0.879245283018868,0.05551810807105046,0.11239947289607696,0.0,0.5195459565987727,0.6001234102086193,0.3974989622915008,0.6548000092202175,0.6962126904576034,0.6903374065998142,0.33333333333333337,0.5,0.8859315589353612,0.008299057127878501,0.10911125992283681,0.3266257590017098,0.33524060307390247,0.7057017114471711,0.7075718769959989,0.8208161333413451,0.8242358604038537,2,2,0,0.6666666666666666,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_table_006__gemini_flash_final.json
i2s_table_007__gemini_flash_final,i2s_table_007,i2s_table,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_table/i2s_table_007/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_table_007/output.pdf,data/latex_benchmark_v0/corpus/i2s_table/i2s_table_007/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_table_007/output.pdf,scored,,0.9636963696369638,0.8514376996805112,0.9834983498349835,0.8562300319488818,0.9787234042553191,48,46,False,1.0,6,6,True,1.0,0,0,True,0.9738562091503268,0.03446968422555695,0.09039326722359858,0.0,0.6467507002499494,0.663745759559824,0.6163344854967939,0.43579437519536407,0.7417911350436701,0.7417911350436701,0.0,0.5714285714285714,0.9834983498349835,0.21127242632697563,0.09032449818620777,0.23904387778441508,0.34628910993058937,0.8588285591754373,0.8758765976723164,0.8947778458672919,0.9199385596790371,1,1,0,1.0,1.0,abstain,abstain,abstain,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/metric_v2/evidence/i2s_table_007__gemini_flash_final.json
