sample_id,category,complexity_band,attempt,error_class,eventual_result,summary,log_path
02_lists_formatting_024,02_lists_formatting,high,1,general_syntax,final_failure,"error: expected content, found array",samples/02_lists_formatting_024/attempt_1_compile.log
02_lists_formatting_024,02_lists_formatting,high,2,general_syntax,final_failure,"error: expected content, found array",samples/02_lists_formatting_024/attempt_2_compile.log
02_lists_formatting_026,02_lists_formatting,medium,1,unknown_symbol_or_function,repaired,error: unknown variable: su2,samples/02_lists_formatting_026/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,low,1,math_syntax,final_failure,error: unknown symbol modifier,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,low,2,math_syntax,final_failure,error: unknown symbol modifier,samples/03_math_inline_display_014/attempt_2_compile.log
04_math_aligned_012,04_math_aligned,high,1,unknown_symbol_or_function,final_failure,error: unknown variable: widehat,samples/04_math_aligned_012/attempt_1_compile.log
04_math_aligned_012,04_math_aligned,high,2,unknown_symbol_or_function,final_failure,error: unknown variable: stack,samples/04_math_aligned_012/attempt_2_compile.log
05_tables_simple_023,05_tables_simple,low,1,general_syntax,repaired,error: unclosed delimiter,samples/05_tables_simple_023/attempt_1_compile.log
06_tables_moderate_010,06_tables_moderate,low,1,general_syntax,final_failure,error: unexpected hat,samples/06_tables_moderate_010/attempt_1_compile.log
06_tables_moderate_010,06_tables_moderate,low,2,general_syntax,final_failure,error: unexpected hat,samples/06_tables_moderate_010/attempt_2_compile.log
07_figures_captions_001,07_figures_captions,low,1,unknown_symbol_or_function,repaired,error: unknown variable: Sp,samples/07_figures_captions_001/attempt_1_compile.log
07_figures_captions_007,07_figures_captions,medium,1,unknown_symbol_or_function,repaired,error: unknown variable: bigcirc,samples/07_figures_captions_007/attempt_1_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,high,1,reference_or_label,final_failure,error: label `<Mart>` does not exist in the document,samples/08_crossrefs_citations_008/attempt_1_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,high,2,reference_or_label,final_failure,error: label `<Mart>` does not exist in the document,samples/08_crossrefs_citations_008/attempt_2_compile.log
08_crossrefs_citations_012,08_crossrefs_citations,low,1,reference_or_label,repaired,error: cannot reference metadata,samples/08_crossrefs_citations_012/attempt_1_compile.log
08_crossrefs_citations_013,08_crossrefs_citations,medium,1,reference_or_label,repaired,error: cannot reference text,samples/08_crossrefs_citations_013/attempt_1_compile.log
09_algorithms_003,09_algorithms,high,1,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_003/attempt_1_compile.log
09_algorithms_003,09_algorithms,high,2,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_003/attempt_2_compile.log
09_algorithms_005,09_algorithms,medium,1,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_005/attempt_1_compile.log
09_algorithms_005,09_algorithms,medium,2,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_005/attempt_2_compile.log
09_algorithms_021,09_algorithms,low,1,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_021/attempt_1_compile.log
09_algorithms_021,09_algorithms,low,2,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_021/attempt_2_compile.log
10_compact_papers_015,10_compact_papers,high,1,reference_or_label,repaired,error: cannot reference equation without numbering,samples/10_compact_papers_015/attempt_1_compile.log
