blind_id,sample_id,display_label,model_id,protocol_id,manual_content,manual_layout,manual_typography,manual_structure,manual_overall,manual_rank,manual_confidence,manual_notes,auto_content,token_precision,token_recall,auto_layout,layout_coverage,auto_typography,appearance_proxy,appearance_local_q10,nontext_score,auto_pagination,table_row_exact,table_column_exact,table_cell_ratio,formula_character_f1,scorecard_status,failed_gates,review_flags,diagnostic_flags,visual_core_mean,visual_core_floor,fidelity_core_floor,all_axis_mean,cv_grade_continuous_0_4,cv_grade_rounded_0_4
B-069C2,03_math_inline_display_004,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,2.0,2.0,3.0,2.0,2.0,2.0,medium,"All five expressions are present, but formulas visibly diverge and the body is compressed into the upper half; section numbering is missing.",0.7470047494320338,0.7718120805369127,0.6460674157303371,0.6051808768926769,0.6460674157303371,0.8647023991983601,0.10732425289565088,2.6997232783639704e-05,0.0018347093653573515,0.6922935471690443,,,,0.9139072847682118,fail,token_precision;token_recall,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.7207256077533604,0.6051808768926769,0.6051808768926769,0.6033011651175532,3.0,3
B-55447,03_math_inline_display_004,Claude Opus 4.7 - one-turn low,claude-opus-4-7,opus_one_turn_low,3.0,2.0,3.0,3.0,3.0,1.0,medium,"All expressions are present and closer to the reference, but vertical spacing is materially compressed and section numbering differs.",0.7517951901075899,0.7733333333333333,0.651685393258427,0.688687495683484,0.651685393258427,0.8738868662876667,0.2029696143425919,0.017764038204217233,0.043165267276550116,0.6981453622328277,,,,0.9214380825565912,fail,token_precision;token_recall,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.7535732414013262,0.688687495683484,0.688687495683484,0.6430969057308321,3.0,3
B-02498,04_math_aligned_014,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,3.0,1.0,3.0,3.0,2.0,3.0,high,"All five displayed expressions are present, but a two-page reference is collapsed into one page and section numbering changes.",0.7933628635988665,0.8385650224215246,0.700374531835206,0.4704970706873051,0.700374531835206,0.828385937022022,0.11184732736239765,0.0,0.0,0.3301238928794781,,,,0.9542203147353362,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.5430023001962684,0.3301238928794781,0.3301238928794781,0.5068434183100139,2.0,2
B-D5443,04_math_aligned_014,Claude Opus 4.7 - one-turn low,claude-opus-4-7,opus_one_turn_low,3.0,1.0,3.0,3.0,2.0,1.0,high,"All five displayed expressions and the numbered section are present, but the two-page reference is collapsed into one page.",0.8054452911636165,0.8392857142857143,0.704119850187266,0.5606943882994412,0.704119850187266,0.8453876358347203,0.14923366963345397,0.0,0.0030429750442489754,0.33514391965212653,,,,0.9542203147353362,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.5804086479287626,0.33514391965212653,0.33514391965212653,0.5391809809166718,2.0,2
B-E4683,04_math_aligned_014,Claude Sonnet 4.6 - one-turn low,claude-sonnet-4-6,sonnet_one_turn_low,3.0,1.0,3.0,3.0,2.0,2.0,high,"All five displayed expressions are present, but the two-page reference is collapsed into one page and the section number is omitted.",0.8048895591820131,0.84375,0.7078651685393258,0.5782883119025277,0.7078651685393258,0.8436180240394652,0.10338691904768674,0.0,0.01761549421786152,0.33025564677059366,,,,0.9542203147353362,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.5840539942375288,0.33025564677059366,0.33025564677059366,0.5320876921884573,2.0,2
B-2FD6E,05_tables_simple_005,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,2.0,1.0,2.0,1.0,1.0,3.0,high,"The table content is split and duplicated across three pages, with severe bottom overlap on the later pages.",0.8692752605332872,0.9354838709677419,0.9618573797678275,0.23190848185660612,0.9354838709677419,0.6508207224316958,0.09529592232533161,0.0,0.11061443649582078,0.5466154738927843,0.0,1.0,0.6458333333333334,,fail,token_precision;page_count,low_page_sequence_alignment;table_structure_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.47644822606036213,0.23190848185660612,0.23190848185660612,0.47878317220794103,1.0,1
B-44A51,05_tables_simple_005,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,4.0,3.0,3.0,3.0,3.0,2.0,high,"Both tables are complete on two pages; scale, line spacing, and placement remain visibly different.",0.9979870631464693,1.0,0.9950248756218906,0.7241003707911167,0.9950248756218906,0.8745584418473151,0.5615720125393352,0.0,0.44184711586379294,0.9806828745079877,1.0,1.0,1.0,,pass,,,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.8597805623821398,0.7241003707911167,0.7241003707911167,0.8277801525664449,3.0,3
B-96203,05_tables_simple_005,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,4.0,4.0,3.0,4.0,4.0,1.0,high,Both tables and page assignments closely match the reference; remaining differences are mostly font weight and density.,0.9986590957896998,1.0,0.9966832504145937,0.851973936681708,0.9966832504145937,0.9002441080732347,0.6912469019304672,0.0,0.4800487083789307,0.9880410129647514,1.0,1.0,1.0,,pass,,,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.9134196859065646,0.851973936681708,0.851973936681708,0.8860330110879723,3.465122268613678,3
B-211B2,05_tables_simple_021,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,2.0,1.0,2.0,1.0,1.0,3.0,high,"A three-page reference is collapsed into two pages, the first table is forced onto the introduction page, and the final table overflows at the bottom.",0.8323621936356409,0.8071216617210683,0.9395509499136442,0.24614763722158223,0.8071216617210683,0.6742155634023145,0.1594126389359944,0.0,0.10398136302432223,0.5487243066023143,0.0,0.0,0.12987012987012986,0.8842243358478189,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;table_count_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.48969583574207026,0.24614763722158223,0.24614763722158223,0.49217246795956926,1.4467940181298269,1
B-64ADB,05_tables_simple_021,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,3.0,3.0,3.0,2.0,2.0,2.0,medium,"Page count and table order are preserved, but the algebra table is much shorter and more compressed than the reference.",0.8884309848907264,0.8125,0.9430051813471503,0.5215774158181332,0.8125,0.7135973037769359,0.1594566006426976,0.0,0.10466707043636567,0.8570369705273114,0.0,1.0,0.7692307692307693,0.8994708994708994,fail,token_precision;token_recall,low_page_sequence_alignment;appearance_layout_disagreement;table_structure_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.6974038967074602,0.5215774158181332,0.5215774158181332,0.6280198551311609,2.0,2
