audit_case_id,audit_index,sample_id,category,model_hidden_truth,resolved_model_hidden_truth,selected_prompt_stage_hidden_truth,prompt_path_hidden_truth,system_prompt_sha256_hidden_truth,final_attempt_hidden_truth,candidate_compiled,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,reviewer,unblind_notes
AI001,1,08_crossrefs_citations_010,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v3,prompts/latex_to_typst/system_v3.txt,f076bb100247de52ed359cdb5fc33c5adfadf81b13403da8231c275b211f4cb8,1,true,false,true,true,codex_researcher_b,The cyan enclosure is a whole-page registration frame rather than a localization of the citation-key and raw-command errors. High content with poor layout and typography is directionally consistent with the visible failure.
AI002,2,02_lists_formatting_011,02_lists_formatting,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,codex_researcher_b,"The enclosure covers nearly the full reference body and does not isolate a defect. The candidate preserves the short list with only mild reflow, so zero layout and very low visual scores are too punitive."
AI003,3,07_figures_captions_009,07_figures_captions,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,true,true,codex_researcher_b,The residual frame spans the page rather than selecting the caption and scale changes. The score pattern reasonably separates mostly retained content from substantial visual displacement.
AI004,4,03_math_inline_display_005,03_math_inline_display,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,1,true,false,true,true,codex_researcher_b,"The page-wide box does not identify any one malformed equation. Low content, layout, typography, and appearance scores are visually supported by the severe raw-math rendering failure."
AI005,5,02_lists_formatting_018,02_lists_formatting,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,codex_researcher_b,"The residual is effectively a full-page frame. The list is faithfully retained with mild spacing and scale changes, making the zero layout score implausibly harsh."
AI006,6,05_tables_simple_025,05_tables_simple,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,true,false,true,codex_researcher_b,"The residual selects the later table region where the candidate table is drastically reduced. The page count matches and no pagination defect is visible, so a zero pagination score is not plausible."
AI007,7,03_math_inline_display_003,03_math_inline_display,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,codex_researcher_b,"The box covers the whole mathematical content block instead of a local discrepancy. The formulas remain faithful with modest compaction, so the near-zero visual axes are overly punitive."
AI008,8,08_crossrefs_citations_013,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,2,true,false,false,true,codex_researcher_b,"The page-wide residual does not isolate the duplicate headings and labels. Those are limited errors within an otherwise faithful document, so zero layout and very low typography overstate the defect."
AI009,9,07_figures_captions_002,07_figures_captions,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,codex_researcher_b,"The residual encloses the complete figure stack rather than the duplicated label and caption. The placeholders are retained with moderate compaction, so the near-zero appearance and layout axes are too harsh."
AI010,10,04_math_aligned_006,04_math_aligned,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,false,false,true,codex_researcher_b,"The residual is a broad page-content frame. The displayed formulas are retained with only mild compaction, which is inconsistent with the near-zero layout and typography scores."
AI011,11,05_tables_simple_021,05_tables_simple,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,1,true,true,true,true,codex_researcher_b,The cyan box marks the missing third reference page and therefore directly explains the pagination failure. The low pagination and layout scores agree with the three-to-two-page collapse and table collision.
AI012,12,08_crossrefs_citations_011,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,false,true,true,codex_researcher_b,The residual is page-wide rather than localized to citation-key and heading changes. High content with weak layout and appearance is directionally consistent with the visible reflow and duplicated labels.
AI013,13,04_math_aligned_014,04_math_aligned,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,1,true,true,false,true,codex_researcher_b,"The box identifies the missing second reference page. Pagination and layout correctly flag the two-to-one-page collapse, but the low content score contradicts the visibly preserved formulas."
AI014,14,11_forms_cv_letters_007,11_forms_cv_letters,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,1,true,false,true,false,codex_researcher_b,"The residual covers nearly the entire letter and does not isolate the missing date or repositioned blocks. High content with poor spatial axes is plausible, and the matching canvas sequence removes that confound."
AI015,15,06_tables_moderate_015,06_tables_moderate,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,true,true,true,codex_researcher_b,"The residual selects the second-page table whose candidate counterpart is miniaturized and colliding. The score pattern correctly reflects retained table content with severe layout, typography, and page-flow loss."
AI016,16,05_tables_simple_027,05_tables_simple,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,2,true,true,false,true,codex_researcher_b,"The cyan enclosure identifies the missing third reference page. The pagination and layout penalties are warranted, but the very low content score is inconsistent with the substantially preserved document content."
