sample_id,status,reason,page_count,compile_seconds,source_path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,sha256_source,sha256_pdf,corpus_dir
subfigure_test3_916f3fba,accepted,accepted,2,0.6485317089827731,/usr/local/texlive/2026/texmf-dist/doc/latex/subfigure/test3.tex,subfigure,texlive_ctan_doc,compact_paper,captions;crossrefs;custom_macros;figures_images;minipage_boxes;text_sectioning,medium,67,1613,2274d836bbb67ef5f021ff7b1e3c442b67397aa27b6b395986346cd86446f0c0,d7076b5896e4450198e675f3ab679dc296a978e679b8ba4f05b2ed72d385d1e9,data/texlive_seed_balanced/corpus/subfigure_test3_916f3fba
svg_animate_test_45578bdf,accepted,accepted,1,1.253661165945232,/usr/local/texlive/2026/texmf-dist/doc/latex/svg-animate/test.tex,svg-animate,texlive_ctan_doc,figure_diagram_plot,custom_macros;diagram_nodes_edges;display_math;simple_table;tikz,medium,121,4076,e17863cadb7a7296b80617169ac9220136ee1f6eb1d09a803bfff1b8308603ea,f46056d2f025c566c9a06fb42aed1ef4fe71fcb67484ea6e79339aaafba637da,data/texlive_seed_balanced/corpus/svg_animate_test_45578bdf
arsenal_sample_d9c55fea,rejected,pdflatex_failed,0,0.15631216595647857,/usr/local/texlive/2026/texmf-dist/doc/fonts/arsenal/sample.tex,arsenal,texlive_ctan_doc,paper_excerpt,citations_bibliography;custom_macros;display_math;fonts_symbols;inline_math;text_sectioning,large,213,10290,ea85381610c4177e5d44d6d61e961acd585d920004a5c2202a389b04ca8291cf,,
polski_sample_polski_74f07fb0,accepted,accepted,2,0.7284177080146037,/usr/local/texlive/2026/texmf-dist/doc/latex/polski/sample-polski.tex,polski,texlive_ctan_doc,math_short,captions;crossrefs;display_math;figures_images;fonts_symbols;inline_math;text_sectioning,medium,99,4902,ba31c4ef63ebd5006dfd0abef7d9ca71038868f92ed3cf28d69fd81d01eefcca,3a74151364f49125e65b793aa2d2032182da1b86f0492914910af15b45667a2e,data/texlive_seed_balanced/corpus/polski_sample_polski_74f07fb0
xtufte_sample_book_211ac8eb,rejected,pdflatex_failed,0,0.14872216701041907,/usr/local/texlive/2026/texmf-dist/doc/latex/xtufte/sample-book.tex,xtufte,texlive_ctan_doc,table,captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,1014,50666,ac55d2a35eef66689e6111bba1a7fd9ab1494f545e34c38447f451a0d32e2a49,,
arsenal_math_sample_math_b8c62b21,rejected,pdflatex_failed,0,0.1937607079744339,/usr/local/texlive/2026/texmf-dist/doc/fonts/arsenal-math/sample-math.ltx,arsenal-math,texlive_ctan_doc,package_example,color;crossrefs;custom_macros;fonts_symbols;inline_math;text_sectioning;theorems_proofs,medium,143,7080,0b8b9980185cabc012962bec95360639c135360d7dfb2187f999e68a36b25a35,,
novabeamer_theme_novabeamer_example_2eb102a4,rejected,pdflatex_failed,0,1.0321121669840068,/usr/local/texlive/2026/texmf-dist/doc/latex/novabeamer-theme/examples/novabeamer-example.tex,novabeamer-theme,texlive_ctan_doc,presentation,beamer_frames;captions;citations_bibliography;display_math;figures_images;fonts_symbols;inline_math;lists;poster_blocks;simple_table;text_sectioning;theorems_proofs,medium,124,4398,58ff2f56676c48ce18f424e8ee563a76e23dbe259e5c0a064d70a35fcd8284ef,,
asmeconf_asmeconf_authorgrid_example_ecc09e23,rejected,source_tree_too_large,0,0.0,/usr/local/texlive/2026/texmf-dist/doc/latex/asmeconf/examples/asmeconf-authorgrid-example.tex,asmeconf,texlive_ctan_doc,letter_form_teaching,aligned_math;captions;citations_bibliography;complex_table;crossrefs;custom_macros;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;multi_column;simple_table;text_sectioning,large,492,46971,02de90e00aaf46ec6c9ed3cf1d2390f9b9f13698f4693a0d4cea232707d66a63,,
abntexto_abntexto_f89a08ee,rejected,pdflatex_failed,0,0.5467847919790074,/usr/local/texlive/2026/texmf-dist/doc/latex/abntexto/abntexto.tex,abntexto,texlive_ctan_doc,algorithm,algorithm_pseudocode;captions;citations_bibliography;color;crossrefs;custom_macros;figures_images;fonts_symbols;footnotes;inline_math;minipage_boxes;text_sectioning,large,935,49340,776a4d0631de6baccdaf13bc83a4f1682888460ef729bfda0c9e7306a2a4849d,,
sectionbox_sectionboxexample_4228eed5,rejected,pdflatex_failed,0,0.20364125003106892,/usr/local/texlive/2026/texmf-dist/doc/latex/sectionbox/example/sectionboxexample.tex,sectionbox,texlive_ctan_doc,poster_layout,captions;citations_bibliography;color;crossrefs;custom_macros;display_math;figures_images;multi_column;poster_blocks;simple_table;text_sectioning;theorems_proofs,medium,148,6519,ffcd87fb086d1e4142875ada9a6381a83472f8b22ce9f60b34c7558a65e3fe53,,
