comparison_id,sample_id,category,system_id,display_label,protocol_id,reference_pdf,candidate_pdf,reference_pdf_resolved,candidate_pdf_resolved,v2_status,v2_error,strict_word_f1,strict_document_edit_similarity,compatibility_word_f1,compatibility_document_edit_similarity,number_f1,reference_number_count,candidate_number_count,number_exact,operator_f1,reference_operator_count,candidate_operator_count,operator_exact,citation_f1,reference_citation_count,candidate_citation_count,citation_exact,matched_word_reference_coverage,token_center_displacement_q50,token_center_displacement_q90,token_bbox_iou_q10,block_transport_combined_similarity,block_transport_geometry_similarity,block_transport_content_similarity,block_transport_cost,text_ltsim_page_macro,text_ltsim_worst_page,reading_order_tau,reading_order_reference_coverage,style_coverage_hmean,font_size_log_error_q90,baseline_displacement_q90,unregistered_ink_f1,registered_ink_f1,unregistered_ssim,registered_ssim,unregistered_multiscale_ssim_diagnostic,registered_multiscale_ssim_diagnostic,reference_page_count,candidate_page_count,page_count_delta,page_break_f1,canvas_exact_size_rate,table_status,formula_status,figure_status,v2_evidence_json
03_math_inline_display_001__pandoc,03_math_inline_display_001,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_001/pandoc.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_001/pandoc.pdf,scored,,0.4715909090909091,0.4080854309687262,0.5852272727272727,0.44869831546707506,0.704225352112676,25,46,False,0.8333333333333333,44,52,False,1.0,0,0,True,0.5508021390374331,0.18964847714524935,0.2219162260205434,0.0,0.5117195130223022,0.49157846273415684,0.5513392804564266,0.6699786301825045,0.6822372727751539,0.6822372727751539,0.632183908045977,0.6976744186046512,0.5852272727272727,0.034476726400631756,0.1882411095386105,0.18149486181979452,0.18149486181979452,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_001__pandoc.json
03_math_inline_display_001__typetex,03_math_inline_display_001,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_001/typetex.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_001/typetex.pdf,scored,,0.4793388429752066,0.5158197507190796,0.6005509641873278,0.5934489402697496,0.8474576271186441,25,34,False,0.8571428571428572,44,54,False,1.0,0,0,True,0.5828877005347594,0.20255256372359118,0.22953871703108397,0.0,0.5104799352063647,0.4561787383577812,0.6290545204344754,0.6724039463489369,0.6780752599096999,0.6780752599096999,0.8554621848739495,0.813953488372093,0.6005509641873278,0.034476726400631756,0.20192637330261054,0.13785936261298853,0.13785936261298853,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_001__typetex.json
03_math_inline_display_002__pandoc,03_math_inline_display_002,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_002/pandoc.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_002/pandoc.pdf,scored,,0.48223350253807107,0.553656220322887,0.5989847715736041,0.6713747645951036,0.8,16,24,False,0.9577464788732395,68,74,False,1.0,0,0,True,0.5592417061611374,0.18522799108436006,0.21186389679478806,0.0,0.5328817476848283,0.45051753651896914,0.7278671394888292,0.629455741185796,0.6899800560986792,0.6899800560986792,0.8733333333333333,0.8333333333333334,0.5989847715736041,0.034476726400631756,0.17323146042453424,0.16901086336551224,0.16901086336551224,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_002__pandoc.json
03_math_inline_display_002__typetex,03_math_inline_display_002,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_002/typetex.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_002/typetex.pdf,scored,,0.48346055979643765,0.5285313376987839,0.5648854961832062,0.6342376052385407,0.75,16,24,False,0.9577464788732395,68,74,False,1.0,0,0,True,0.5260663507109005,0.20213217302581987,0.23111431980756336,0.0,0.5409651524428617,0.49501110281928357,0.6379258858507586,0.6144004154397376,0.6990574272581841,0.6990574272581841,0.8733333333333333,0.8333333333333334,0.5648854961832062,0.034476726400631756,0.19532358265062422,0.1411879548747908,0.1411879548747908,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_002__typetex.json
03_math_inline_display_003__pandoc,03_math_inline_display_003,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_003/pandoc.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_003/pandoc.pdf,scored,,0.4332493702770781,0.44111027756939236,0.5743073047858941,0.5202702702702703,0.8823529411764706,30,38,False,0.9182389937106917,76,83,False,1.0,0,0,True,0.57,0.18773736195258872,0.20256603153235633,0.0,0.5154972278201667,0.4884022031742675,0.569867587934372,0.6626233531920229,0.6830992013812314,0.6830992013812314,0.8114942528735632,0.7142857142857143,0.5743073047858941,0.034476726400631756,0.16186275360580885,0.19139213298221125,0.19139213298221125,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_003__pandoc.json
03_math_inline_display_003__typetex,03_math_inline_display_003,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_003/typetex.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_003/typetex.pdf,scored,,0.4623655913978495,0.5502742230347349,0.6397849462365591,0.6705989110707804,0.8823529411764706,30,38,False,0.9620253164556963,76,82,False,1.0,0,0,True,0.595,0.19942488172021927,0.22495432457598147,0.0,0.5218935579393432,0.45945246461310907,0.661239410553741,0.6502916238859708,0.6837542859391548,0.6837542859391548,0.8674242424242424,0.7857142857142857,0.6397849462365591,0.034476726400631756,0.1949357994867268,0.17739666518109184,0.17739666518109184,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_003__typetex.json
03_math_inline_display_004__pandoc,03_math_inline_display_004,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/pandoc.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/pandoc.pdf,scored,,0.3778337531486146,0.33259176863181317,0.4231738035264484,0.3520578420467185,0.822429906542056,44,63,False,0.4587155963302752,50,59,False,1.0,0,0,True,0.4221105527638191,0.16616987544575923,0.20186873270500555,0.0,0.5195334525104545,0.5381086809716884,0.48672096246613494,0.6548240768481759,0.6938354198600154,0.6938354198600154,0.65,0.4,0.4231738035264484,0.02662311090636646,0.14539895114553297,0.25465451770609276,0.2671599902661895,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_004__pandoc.json
03_math_inline_display_004__typetex,03_math_inline_display_004,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/typetex.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_004/typetex.pdf,scored,,0.456043956043956,0.5782178217821783,0.6153846153846153,0.6871287128712871,0.888888888888889,44,55,False,0.9259259259259259,50,58,False,1.0,0,0,True,0.5628140703517588,0.19950074499833975,0.22426677585661547,0.0,0.5496655192099954,0.4936234018696505,0.67116944900463,0.5984453326428654,0.6867940333095867,0.6867940333095867,0.7411095305832147,0.95,0.6153846153846153,0.034476726400631756,0.1985065657808649,0.15357707821907854,0.15357707821907854,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_004__typetex.json
03_math_inline_display_005__pandoc,03_math_inline_display_005,03_math_inline_display,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_005/pandoc.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_005/pandoc.pdf,scored,,0.3631123919308358,0.3007792207792208,0.3804034582132565,0.3132467532467532,0.7272727272727274,21,34,False,0.4864864864864865,31,43,False,1.0,0,0,True,0.3728813559322034,0.17526103464324072,0.2008281278865406,0.0,0.5377057508749885,0.5668903475970414,0.48743321146817487,0.6204437999010499,0.7260614047463891,0.7260614047463891,0.7222222222222222,0.3103448275862069,0.3804034582132565,0.008298008086413849,0.14539895114553297,0.33132458117686403,0.33132458117686403,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_005__pandoc.json
03_math_inline_display_005__typetex,03_math_inline_display_005,03_math_inline_display,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_005/typetex.pdf,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_005/typetex.pdf,scored,,0.5214723926380368,0.5946808510638297,0.588957055214724,0.7159574468085106,0.7599999999999999,21,29,False,0.9253731343283582,31,36,False,1.0,0,0,True,0.5423728813559322,0.20543402195256627,0.23195330342285775,0.0,0.5452819036346503,0.4740410999638674,0.7072041805286027,0.6064523636733192,0.6931067720647353,0.6931067720647353,0.8266666666666667,0.8620689655172413,0.588957055214724,0.034476726400631756,0.20105864699176157,0.10421628155683979,0.10421628155683979,,,,,1,1,0,1.0,0.0,abstain,abstain,abstain,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_005__typetex.json
