case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes
B55C76CACBCF,A,appearance,black occlusion in the middle of Extracted Prose 1,0.99,false,clear local black bar
8DD03A1E3C47,B,appearance,black occlusion across the middle of Expression 2,0.99,false,clear local black bar
3D1FF14521E6,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
E42B1244AD2B,,unclear,no confidently visible difference,0.15,true,algorithm panels appear effectively identical at audit scale
BD6409D64F1C,B,appearance,black occlusion in the Explanation column header near the top,0.99,false,clear local black bar
C2933FAB1973,,unclear,no confidently visible difference,0.15,true,dense table panels appear effectively identical at audit scale
16DEEE4377A8,B,appearance,black rectangular occlusion inside the second figure placeholder,0.99,false,clear central block
669A5F4E942C,A,appearance,black occlusion within the second list group item ii in the lower middle,0.99,false,clear local black bar
A6D6B643ED8B,A,appearance,black occlusion in the main letter paragraph at mid page,0.99,false,clear local black bar
B7F06E1B65D0,B,appearance,black occlusion across the first displayed expression,0.99,false,clear local black bar
3D5A9509D749,A,appearance,black occlusion within Expression 3 around the left-center term,0.98,false,small but visible black bar
F23F65514DF8,B,appearance,large black vertical occlusion over a central table column,0.99,false,clear destructive block
35A769E0B06F,B,content,main letter paragraph ends prematurely after the word Angriff,0.91,false,visible missing trailing phrase
E11BB4951FF2,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
B0D0052524CF,B,appearance,repeated pale vertical bars at the left edge of alternating table rows,0.96,false,systematic visible artifacts down the table
068613D51696,A,appearance,black occlusion in the Method paragraph at mid-lower page,0.99,false,clear local black bar
DF26B55C5A1A,A,appearance,black rectangular occlusion over central rows of the table,0.99,false,clear destructive block
6F17C9318E70,B,content,missing country and port names for a row near Chennai while coordinates remain,0.93,false,visible blank cells in otherwise continuous table
74ABBB0FA259,,unclear,no confidently visible difference,0.15,true,dense article panels appear effectively identical at audit scale
05A40D7E4938,,unclear,no confidently visible difference,0.15,true,list-heavy panels appear effectively identical at audit scale
4C5A29A8FA3F,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
B471AF3F14B5,A,appearance,large black horizontal occlusion across several middle table rows,0.99,false,clear destructive block
DEEECAF5EE19,B,appearance,black occlusion across the first displayed expression,0.99,false,clear local black bar
588F136B2767,A,appearance,large black rectangular occlusion in the middle of the algorithm body,0.99,false,clear destructive block
22C4D35CDFF6,A,appearance,black occlusion near the right side of numbered list item 2,0.96,false,local bar interrupts the sentence
1F0D5DA455B4,B,appearance,black occlusion across the numerator area of Expression 1,0.99,false,clear local black bar
74833961AF57,,unclear,no confidently visible difference,0.15,true,dense numeric table appears effectively identical at audit scale
90BE2EA2D8A7,B,appearance,black occlusion inside the first displayed expression near the right,0.99,false,clear local black bar
04F70FA00C24,B,appearance,black occlusion in Extracted Prose 1 around the middle-right,0.99,false,clear local black bar
9F03CFAFAC1F,,unclear,no confidently visible difference,0.15,true,dense table panels appear effectively identical at audit scale
661F0861BDF5,B,appearance,black occlusion in the abstract near the middle,0.99,false,clear local black bar
69F70FC005CF,A,appearance,black occlusion in the Claude Sonnet row of the central table,0.99,false,clear local black bar
6D32101F8865,A,appearance,black occlusion in the prose line introducing Expression 2,0.99,false,clear local black bar
970B4771FF9B,B,appearance,black occlusion in the introductory sentence above the numbered list,0.99,false,clear local black bar
E3AFA5B847FB,,unclear,no confidently visible difference,0.15,true,dense formula table appears effectively identical at audit scale
31B382FD4805,B,appearance,black rectangular occlusion in the algorithm requirement list,0.99,false,clear destructive block
815BDD45D48C,B,appearance,black vertical occlusion over central rows and a numeric column of the table,0.99,false,clear destructive block
DF1CCBC37372,A,content,row 9 has its word type and frequency removed while the row number remains,0.98,false,clear missing table-row content
BCF29038EEF3,,unclear,no confidently visible difference,0.15,true,dense small table appears effectively identical at audit scale
192B840FD903,A,appearance,large black vertical occlusion over most of the Feature Type column,0.99,false,clear destructive block
3CD27E132E32,A,appearance,black occlusion in the introductory sentence above the numbered list,0.99,false,clear local black bar
1B536A72DBC2,,unclear,no confidently visible difference,0.15,true,figure-caption panels appear effectively identical at audit scale
A278ED2AF1C1,A,appearance,large black vertical occlusion across central columns of the table,0.99,false,clear destructive block
