audit_index,sample_id,category,family,variant,severity,expected_axis,candidate_pdf,target_box_correct,mutation_visible,candidate_valid,label_correct,predicted_box_useful,review_notes
1,01_prose_sections_002,01_prose_sections,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__lossless_roundtrip__s0.pdf,,,,,,
2,01_prose_sections_002,01_prose_sections,canvas_translation,translate_right,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__translate_right__s1.pdf,,,,,,
3,01_prose_sections_002,01_prose_sections,canvas_translation,translate_right,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__translate_right__s2.pdf,,,,,,
4,01_prose_sections_002,01_prose_sections,canvas_translation,translate_right,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__translate_right__s3.pdf,,,,,,
5,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_down,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__block_down__s1.pdf,,,,,,
6,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_down,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__block_down__s2.pdf,,,,,,
7,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_down,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__block_down__s3.pdf,,,,,,
8,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__text_deletion__s1.pdf,,,,,,
9,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__text_deletion__s2.pdf,,,,,,
10,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__text_deletion__s3.pdf,,,,,,
