blind_index,blind_sheet,sheet_position,case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes
1,1,1,CA9B4CA4AA2E,A,appearance,"solid black occlusion through the middle of the extracted-list paragraph",1.00,false,"obvious synthetic bar"
2,1,2,D22C3467CE5F,B,content,"words removed from the middle line of the abstract, leaving a wide internal gap",0.96,false,"the A sentence is continuous; B has a conspicuous missing span"
3,1,3,1F25AC7F1A2C,A,appearance,"large solid black block covers central table rows around entries 8-12",1.00,false,"obvious occlusion"
4,1,4,FC9EDC631A13,abstain,unclear,"no reliably discernible defect at rendered audit resolution",0.20,true,"panels appear visually equivalent"
5,2,1,1C8534D50999,B,appearance,"short black occlusion across the third list item near the lower-right of its text",0.99,false,"localized bar interrupts item iii"
6,2,2,6F1BADB8FA67,A,appearance,"large black block covers several middle rows of the table",1.00,false,"obvious table-region occlusion"
7,2,3,8431B22EC466,abstain,unclear,"no reliably discernible defect in the displayed equations",0.25,true,"minor equation differences cannot be assigned to a changed panel confidently"
8,2,4,184AB3AB4CAB,abstain,unclear,"no reliably discernible defect in the prose document",0.20,true,"panels appear visually equivalent"
9,3,1,5C4FD9F4C71D,A,appearance,"short black occlusion in the middle of the abstract",0.99,false,"bar visibly covers words"
10,3,2,924B0EDEFC26,abstain,unclear,"no reliably discernible defect in prose or headings",0.22,true,"panels appear visually equivalent"
11,3,3,DDADCF644C1A,A,appearance,"short black occlusion within the fifth extracted-list item",0.99,false,"localized bar covers text"
12,3,4,740FB1E95401,B,content,"cross-reference tokens deleted from the sentence below the section heading",0.98,false,"A reads Section 1 and Equation 1; B contains two conspicuous gaps"
13,4,1,BEA40F0F71A3,B,appearance,"dark horizontal rules intrude through the introductory algorithm text near the top of the algorithm block",0.91,false,"B has conspicuously heavy rules absent in A"
14,4,2,413CE2E89C2F,A,content,"words missing from the middle of an Introduction line near the page center",0.97,false,"A contains a wide blank before 'op amplitudes'; B is continuous"
15,4,3,7DA24929FC48,abstain,unclear,"no reliably discernible defect across the displayed formula groups",0.22,true,"panels appear visually equivalent"
16,4,4,D73BC337DD44,A,appearance,"short black occlusion over words in the Education and training instructions",0.99,false,"bar covers 'you have' region"
17,5,1,9B49B0F76A7B,abstain,unclear,"no reliably discernible table defect",0.22,true,"the row indents and rules appear equivalent"
18,5,2,FB892982CBEC,abstain,unclear,"no reliably discernible prose defect",0.20,true,"panels appear visually equivalent"
19,5,3,0F6054328A19,abstain,unclear,"no reliably discernible defect in the extracted prose",0.20,true,"panels appear visually equivalent"
20,5,4,722FE01F45B4,abstain,unclear,"no reliably discernible defect in the prose document",0.20,true,"panels appear visually equivalent"
21,6,1,C978CD70E2E7,abstain,unclear,"no reliably discernible defect in the figure placeholder or caption",0.22,true,"panels appear visually equivalent"
22,6,2,DAE0787B5444,A,content,"words removed from a middle line of the abstract, leaving a conspicuous internal blank",0.96,false,"B has continuous text in the corresponding line"
23,6,3,8250394BBEF3,abstain,unclear,"no reliably discernible defect in the visible table rows",0.20,true,"panels appear visually equivalent"
24,6,4,56623D8D665C,A,appearance,"short black occlusion through the middle of Expression 2",0.99,false,"bar visibly covers formula symbols"
25,7,1,344B9FE78106,abstain,unclear,"no reliably discernible defect across the displayed equations",0.22,true,"panels appear visually equivalent"
26,7,2,F78E21E0CCFE,abstain,unclear,"no reliably discernible prose or citation defect",0.20,true,"panels appear visually equivalent"
27,7,3,71FB3B98F5AB,A,appearance,"black occlusion spans the center of Expression 4",0.99,false,"bar visibly covers equation symbols"
28,7,4,4BE56C2DF23D,abstain,unclear,"no reliably discernible defect in the multi-column table",0.20,true,"panels appear visually equivalent"
29,8,1,725A537B7E7B,A,layout,"the complete content block is displaced left, clipping the title and formulas at the page edge",0.99,false,"B is normally centered while A loses its left side"
30,8,2,F814C56AC42A,abstain,unclear,"no reliably discernible defect in the relation table",0.20,true,"panels appear visually equivalent"
31,8,3,30C0774C6C89,abstain,unclear,"no reliably discernible defect in the formula layout",0.22,true,"panels appear visually equivalent"
32,8,4,07CD7E104F11,A,appearance,"large vertical black block covers several values in the middle column",1.00,false,"obvious table-column occlusion"
33,9,1,27D1394B8BB5,abstain,unclear,"no reliably discernible defect across the formula groups",0.20,true,"panels appear visually equivalent"
34,9,2,C4A4843ED510,abstain,unclear,"no reliably discernible defect in the extracted list",0.20,true,"panels appear visually equivalent"
35,9,3,8805BAF66AEB,A,appearance,"black occlusion covers a phrase in Extracted Prose 1",0.99,false,"localized bar interrupts the middle paragraph"
36,9,4,2A975B24E9B6,B,appearance,"small black occlusion covers part of the street line in the sender address",0.99,false,"visible bar in upper-left address block"
37,10,1,1B2BC50400C9,abstain,unclear,"no reliably discernible prose or reference defect",0.20,true,"panels appear visually equivalent"
38,10,2,DADEDC2FF864,abstain,unclear,"no reliably discernible defect in the figure placeholder or caption",0.20,true,"panels appear visually equivalent"
39,10,3,59D16444706F,abstain,unclear,"no reliably discernible defect in the three figure placeholders or captions",0.20,true,"panels appear visually equivalent"
40,10,4,4CEB534AB100,abstain,unclear,"no reliably discernible defect in the prose document",0.20,true,"panels appear visually equivalent"
41,11,1,BD3E5DE48DCD,abstain,unclear,"no reliably discernible defect in the displayed equations",0.20,true,"panels appear visually equivalent"
42,11,2,01DF3B40A0BE,abstain,unclear,"no reliably discernible defect in the extracted prose",0.20,true,"panels appear visually equivalent"
