comparison_id,sample_id,category,requested_model,resolved_model,protocol,reference_pdf,candidate_pdf
i2s_algorithm_003__gemini_flash_final,i2s_algorithm_003,i2s_algorithm,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_003/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_003/output.pdf
i2s_algorithm_004__gemini_flash_final,i2s_algorithm_004,i2s_algorithm,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_004/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_004/output.pdf
i2s_algorithm_008__gemini_flash_final,i2s_algorithm_008,i2s_algorithm,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_algorithm/i2s_algorithm_008/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_algorithm_008/output.pdf
i2s_equation_001__gemini_flash_final,i2s_equation_001,i2s_equation,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_001/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_001/output.pdf
i2s_equation_003__gemini_flash_final,i2s_equation_003,i2s_equation,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_003/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_003/output.pdf
i2s_equation_005__gemini_flash_final,i2s_equation_005,i2s_equation,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_005/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_005/output.pdf
i2s_equation_006__gemini_flash_final,i2s_equation_006,i2s_equation,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_equation/i2s_equation_006/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_equation_006/output.pdf
i2s_plot_002__gemini_flash_final,i2s_plot_002,i2s_plot,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_plot/i2s_plot_002/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_plot_002/output.pdf
i2s_table_006__gemini_flash_final,i2s_table_006,i2s_table,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_table/i2s_table_006/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_table_006/output.pdf
i2s_table_007__gemini_flash_final,i2s_table_007,i2s_table,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_table/i2s_table_007/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_table_007/output.pdf
i2s_table_008__gemini_flash_final,i2s_table_008,i2s_table,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/i2s_table/i2s_table_008/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/i2s_table_008/output.pdf
pubmed_table_001__gemini_flash_final,pubmed_table_001,pubmed_table,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/pubmed_table/pubmed_table_001/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/pubmed_table_001/output.pdf
pubmed_table_004__gemini_flash_final,pubmed_table_004,pubmed_table,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,Claude-baseline-derived visual prompt; at most one compiler repair,data/latex_benchmark_v0/corpus/pubmed_table/pubmed_table_004/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/pubmed_table_004/output.pdf
