audit_index,sample_id,category,family,variant,severity,expected_axis,candidate_pdf,target_box_correct,mutation_visible,candidate_valid,label_correct,predicted_box_useful,review_notes
1,01_prose_sections_002,01_prose_sections,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__lossless_roundtrip__s0.pdf,,,,,,
2,01_prose_sections_002,01_prose_sections,canvas_translation,translate_left,1,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__translate_left__s1.pdf,,,,,,
3,01_prose_sections_002,01_prose_sections,canvas_translation,translate_left,2,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__translate_left__s2.pdf,,,,,,
4,01_prose_sections_002,01_prose_sections,canvas_translation,translate_left,3,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__translate_left__s3.pdf,,,,,,
5,01_prose_sections_002,01_prose_sections,canvas_translation,translate_right,1,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__translate_right__s1.pdf,,,,,,
6,01_prose_sections_002,01_prose_sections,uniform_scale,scale_shrink,1,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__scale_shrink__s1.pdf,,,,,,
7,01_prose_sections_002,01_prose_sections,uniform_scale,scale_shrink,2,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__scale_shrink__s2.pdf,,,,,,
8,01_prose_sections_002,01_prose_sections,uniform_scale,scale_shrink,3,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__scale_shrink__s3.pdf,,,,,,
9,01_prose_sections_002,01_prose_sections,uniform_scale,scale_grow,1,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__scale_grow__s1.pdf,,,,,,
10,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_left,1,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__block_left__s1.pdf,,,,,,
11,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_left,2,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__block_left__s2.pdf,,,,,,
12,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_left,3,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__block_left__s3.pdf,,,,,,
13,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_right,1,layout,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__block_right__s1.pdf,,,,,,
14,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,1,content,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__text_deletion__s1.pdf,,,,,,
15,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,2,content,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__text_deletion__s2.pdf,,,,,,
16,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,3,content,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__text_deletion__s3.pdf,,,,,,
17,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,lexical_corruption,1,content,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__lexical_corruption__s1.pdf,,,,,,
18,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,lexical_corruption,2,content,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__lexical_corruption__s2.pdf,,,,,,
19,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,lexical_corruption,3,content,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__lexical_corruption__s3.pdf,,,,,,
20,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,numeric_corruption,1,content,results/metric_research_v1/pilot_11_v2/audit/01_prose_sections_002__numeric_corruption__s1.pdf,,,,,,
