sample_id,model,candidate_valid,visible_defect_severity,affected_axis,page,normalized_bbox,concise_objective_evidence,reviewer,asset_role,severity_ordinal,strict_content_loss,critical_number_loss,token_center_displacement_q90,text_ltsim_loss,font_size_log_error_q90,page_count_abs_delta,ink_residual_loss,ssim_loss,metric_evidence_json,protocol_id,canvas_exact_size_rate
04_math_aligned_014,Gemini 3.1 Flash Lite,true,moderate,pagination|layout|typography,all,,Reference uses two pages; candidate reflows all five expression groups onto one A4 page and omits the visible section number before Expressions.,codex_manual_visual_v1,gemini,2,0.568904593639576,0.02564102564102566,0.545896993374565,0.30231829602365945,0.039257085509301654,1.0,0.8980588798755831,,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_04_math_aligned_014__gemini.json,gemini_prompt_stage_cascade,0.0
04_math_aligned_014,Claude Sonnet 4.6,true,moderate,pagination|layout,all,,Reference uses two pages; candidate removes the page break and places the reference-page-2 continuation at the bottom of page 1.,codex_manual_visual_v1,claude_sonnet,2,0.5716814159292035,0.038961038961038974,0.6995182293525936,0.2945049387907438,0.034476726400631756,1.0,0.9031180113711651,0.27278975420587503,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_04_math_aligned_014__claude_sonnet.json,sonnet_one_turn_low,1.0
04_math_aligned_014,Claude Opus 4.7,true,moderate,pagination|layout,all,,Reference uses two pages; candidate preserves the numbered heading but compresses the complete document into one page.,codex_manual_visual_v1,claude_opus,2,0.5716814159292035,0.012658227848101333,0.6301088686581533,0.29572362070060865,0.034476726400631756,1.0,0.8571303218691195,0.2505123859912517,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_04_math_aligned_014__claude_opus.json,opus_one_turn_low,1.0
05_tables_simple_005,Gemini 3.1 Flash Lite,true,major,structure|layout|pagination,2-3,"[0.07,0.82,0.95,0.99]",Reference has two clean table pages; candidate has three pages and both table pages end in dense row and caption collisions at the lower page edge.,codex_manual_visual_v1,gemini,3,0.05151267375306623,0.006772009029345383,0.3257671665242118,0.2878025413534855,0.5535252760272001,1.0,0.8505239156247528,,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_005__gemini.json,gemini_prompt_stage_cascade,0.0
05_tables_simple_005,Claude Sonnet 4.6,true,minor,content|typography,1,,Page count and table placement match; the visible section label is Tables instead of the reference label 1 Tables.,codex_manual_visual_v1,claude_sonnet,1,0.0024937655860348684,0.006772009029345383,0.13726231295867977,0.3213880288252663,0.052610527543115376,0.0,0.4092682295642476,0.4598035392710468,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_005__claude_sonnet.json,sonnet_agentic_v1_visual_low,1.0
05_tables_simple_005,Claude Opus 4.7,true,none,none,,,Two-page structure and both table placements align with the reference; no clear defect is visible at the audit resolution.,codex_manual_visual_v1,claude_opus,0,0.0016611295681062677,0.0045045045045045695,0.05647333398916131,0.20892328508167535,0.027432180130420997,0.0,0.3305385849290867,0.42894225250448725,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_005__claude_opus.json,opus_agentic_v3_visual_medium,1.0
05_tables_simple_021,Gemini 3.1 Flash Lite,true,moderate,pagination|layout,all,,Reference separates introduction and two tables across three pages; candidate merges the introduction with table 1 and uses two pages.,codex_manual_visual_v1,gemini,2,0.5289473684210526,0.006172839506172978,0.3269271192024257,0.29845677049565755,0.4172140924770726,1.0,0.867358271634337,,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_021__gemini.json,gemini_prompt_stage_cascade,0.0
05_tables_simple_021,Claude Sonnet 4.6,true,minor,content|typography,1,,Three-page table sequence is preserved; the candidate drops the visible section number before Tables.,codex_manual_visual_v1,claude_sonnet,1,0.534699272967614,0.006172839506172978,0.42026601397034546,0.28973745546734786,0.6198144834406728,0.0,0.8111390782451252,0.2510673594492324,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_021__claude_sonnet.json,sonnet_agentic_v1_visual_low,1.0
05_tables_simple_021,Claude Opus 4.7,true,minor,content|typography,1,,Three-page table sequence is preserved; the candidate drops the visible section number before Tables.,codex_manual_visual_v1,claude_opus,1,0.537037037037037,0.006172839506172978,0.16597779623202988,0.2533983032607402,0.13430666765897206,0.0,0.5153547364147972,0.2521776172637912,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_021__claude_opus.json,opus_agentic_v3_visual_medium,1.0
05_tables_simple_023,Gemini 3.1 Flash Lite,true,major,content|structure|pagination,2,"[0.34,0.51,0.66,0.80]",Candidate merges three reference pages into two and renders table 2 with rows 22-35 even though the reference visibly ends at row 21.,codex_manual_visual_v1,gemini,3,0.17412935323383083,0.17230769230769238,0.38638319537413557,0.3256972980492929,0.8435651570488163,1.0,0.9476351375549077,,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_023__gemini.json,gemini_prompt_stage_cascade,0.0
05_tables_simple_023,Claude Sonnet 4.6,true,major,content|structure,3,"[0.12,0.31,0.46,0.50]",Candidate preserves three pages but table 2 contains 35 visible rows while the reference table visibly ends at row 21.,codex_manual_visual_v1,claude_sonnet,3,0.09145129224652093,0.04761904761904767,0.40223229506146246,0.25234508240025877,0.8435651570488163,0.0,0.6926485198186403,0.22097802600389438,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_023__claude_sonnet.json,sonnet_agentic_v1_visual_low,1.0
05_tables_simple_023,Claude Opus 4.7,true,major,content|structure|typography,3,"[0.29,0.08,0.74,0.78]","Table 2 exposes literal Typst fragments such as #it, #sc, brackets and commas inside cells; row values are visibly displaced from their labels.",codex_manual_visual_v1,claude_opus,3,0.21110009910802774,0.04761904761904767,0.1353581467068902,0.27109862855178635,0.3649112408832818,0.0,0.6143076501471485,0.24058791372855215,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_023__claude_opus.json,opus_agentic_v3_visual_medium,1.0
06_tables_moderate_010,Gemini 3.1 Flash Lite,true,major,structure|layout|pagination,2,"[0.08,0.84,0.96,1.00]",Candidate expands two reference pages to three; table 1 overflows at the bottom with many rows and the caption superimposed into one unreadable band.,codex_manual_visual_v1,gemini,3,0.10895522388059709,0.1842751842751843,0.3265679221887347,0.33988438765528795,0.4938458029608631,1.0,0.9375527335058798,,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_06_tables_moderate_010__gemini.json,gemini_prompt_stage_cascade,0.0
06_tables_moderate_010,Claude Sonnet 4.6,true,minor,content|typography,1,,Two-page structure and tables are readable; the candidate drops the visible section number before Tables.,codex_manual_visual_v1,claude_sonnet,1,0.013899049012436104,0.00696055684454755,0.12189312376892066,0.27512359997482116,0.2946115574034071,0.0,0.5456210893942492,0.3016818337816376,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_06_tables_moderate_010__claude_sonnet.json,sonnet_agentic_v1_visual_low,1.0
06_tables_moderate_010,Claude Opus 4.7,true,minor,typography,1,"[0.11,0.29,0.90,0.82]",Two-page structure is preserved; table 1 uses substantially heavier horizontal rules than the reference throughout the table body.,codex_manual_visual_v1,claude_opus,1,0.01603498542274051,0.00462962962962965,0.029234024671092332,0.23458290588247244,0.08628194753288372,0.0,0.4577622525351026,0.29027818546465356,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_06_tables_moderate_010__claude_opus.json,opus_agentic_v3_visual_medium,1.0
07_figures_captions_007,Gemini 3.1 Flash Lite,true,moderate,content|typography|layout,1,,Candidate omits the section number; it interprets reference-visible escaped math text as symbols and adds an extra word in Figures Figure 1 through Figure 1.,codex_manual_visual_v1,gemini,2,0.2597402597402597,0.18518518518518523,0.528036018952957,0.32569021578605417,0.0538193495962548,0.0,0.9321744923072529,,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_07_figures_captions_007__gemini.json,gemini_prompt_stage_cascade,0.0
07_figures_captions_007,Claude Sonnet 4.6,true,minor,pagination|appearance,1,,Main placeholder and caption structure align; the candidate omits the reference page number and the two visible red link boxes around figure references.,codex_manual_visual_v1,claude_sonnet,1,0.06756756756756754,0.03448275862068961,0.05230405566918764,0.20890301147046908,0.008298008086413849,0.0,0.6363647030325053,0.13146778122365033,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_07_figures_captions_007__claude_sonnet.json,sonnet_agentic_v1_visual_low,1.0
07_figures_captions_007,Claude Opus 4.7,true,minor,typography|pagination|appearance,1,,Main structure aligns; the candidate bolds the Figure 1 label and omits the reference page number and red link boxes.,codex_manual_visual_v1,claude_opus,1,0.06756756756756754,0.03448275862068961,0.046250288725927055,0.1398920366894182,0.008298008086413849,0.0,0.3226306244634053,0.1051612384967675,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_07_figures_captions_007__claude_opus.json,opus_agentic_v3_visual_medium,1.0
09_algorithms_003,Gemini 3.1 Flash Lite,true,major,structure|content|pagination,all,,Reference uses a separate second page headed Algorithm 2; candidate compresses to one page and relabels the algorithm block as Figure 1 below the block.,codex_manual_visual_v1,gemini,3,0.5251396648044693,0.03370786516853941,0.5688398690791259,0.3476760388062523,0.034476726400631756,1.0,0.9585160683785926,,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_09_algorithms_003__gemini.json,gemini_prompt_stage_cascade,0.0
09_algorithms_003,Claude Sonnet 4.6,true,none,none,,,Two-page structure section text algorithm title rule placement comments and page numbers all visibly align; no clear defect is visible at audit resolution.,codex_manual_visual_v1,claude_sonnet,0,0.3906633906633906,0.0,0.1450079298420826,0.19921912709904754,0.12978688143419484,0.0,0.5114836436304964,0.11539954512273254,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_09_algorithms_003__claude_sonnet.json,sonnet_agentic_v1_visual_low,1.0
09_algorithms_003,Claude Opus 4.7,true,minor,layout|typography,2,,Two-page structure is preserved; the algorithm body is more vertically spread and its right-side comments sit farther from their corresponding lines than in the reference.,codex_manual_visual_v1,claude_opus,1,0.38916256157635476,0.0,0.017577934236202603,0.21562367790819548,0.034476726400631756,0.0,0.43003213920345507,0.11192761297457388,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_09_algorithms_003__claude_opus.json,opus_agentic_v3_visual_medium,1.0
