case_id,candidate_valid,mutation_visible,target_box_correct,label_correct,predicted_box_useful,reviewer,review_notes
B55C76CACBCF,true,true,true,true,true,LLM_research_audit,Unblinded sheet 7: paragraph_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
8DD03A1E3C47,true,true,true,true,true,LLM_research_audit,Unblinded sheet 56: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
3D1FF14521E6,true,true,true,true,true,LLM_research_audit,Unblinded sheet 52: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
E42B1244AD2B,true,true,true,true,true,LLM_research_audit,Unblinded sheet 134: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
BD6409D64F1C,true,true,true,true,true,LLM_research_audit,Unblinded sheet 79: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
C2933FAB1973,true,true,true,true,true,LLM_research_audit,Unblinded sheet 82: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
16DEEE4377A8,true,true,true,true,true,LLM_research_audit,Unblinded sheet 100: figure_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
669A5F4E942C,true,true,true,true,true,LLM_research_audit,Unblinded sheet 26: list_item_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
A6D6B643ED8B,true,true,true,true,true,LLM_research_audit,Unblinded sheet 156: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
B7F06E1B65D0,true,true,true,true,true,LLM_research_audit,Unblinded sheet 41: display_math_occlude is visible; the red target covers the edited region and the cyan residual provides a useful localization.
3D5A9509D749,true,true,true,true,true,LLM_research_audit,Unblinded sheet 44: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
F23F65514DF8,true,true,true,true,true,LLM_research_audit,Unblinded sheet 96: table_column_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
35A769E0B06F,true,true,true,true,true,LLM_research_audit,Unblinded sheet 157: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
E11BB4951FF2,true,true,true,true,true,LLM_research_audit,Unblinded sheet 119: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
B0D0052524CF,true,true,true,true,true,LLM_research_audit,Unblinded sheet 85: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
068613D51696,true,true,true,true,true,LLM_research_audit,Unblinded sheet 146: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
DF26B55C5A1A,true,true,true,true,true,LLM_research_audit,Unblinded sheet 91: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
6F17C9318E70,true,true,true,true,true,LLM_research_audit,Unblinded sheet 87: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
74ABBB0FA259,true,true,true,true,true,LLM_research_audit,Unblinded sheet 141: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
05A40D7E4938,true,true,true,true,true,LLM_research_audit,Unblinded sheet 17: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
4C5A29A8FA3F,true,true,true,true,true,LLM_research_audit,Unblinded sheet 54: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
B471AF3F14B5,true,true,true,true,true,LLM_research_audit,Unblinded sheet 63: table_row_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
