comparison_set_id,sample_id,category,source_dataset,asset_role,display_label,provider,model_id,protocol_id,generation_method,visual_feedback,effort,revision_policy,run_id,source_artifact,source_artifact_sha256,pdf_path,pdf_sha256,pdf_bytes,page_count,page_canvas_sizes_pt,pdf_producer,pdf_creator,response_id,attempts,run_cost_usd,harness_num_turns,harness_score_runs,pdf_open_status,fair_leaderboard_eligible
overlap_04_math_aligned_014,04_math_aligned_014,04_math_aligned,OleehyO/latex-formulas,reference,LaTeX benchmark reference,latex_benchmark_v0,,reference_compiled_pdf,source-backed LaTeX reference compiled during dataset build,not applicable,not applicable,not recorded,latex_benchmark_v0,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/main.tex,3ed5e933b96dd3e1cfb733e2d1e32b374e877518da2360cbf15070eed8360a99,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,c32bc5efb2490e4aba2300eebda88cd2ec83a1d77155a38c079405bb060e01f2,173962,2,612.000x792.000|612.000x792.000,pdfTeX-1.40.29,TeX,,,,,,ok,false
overlap_04_math_aligned_014,04_math_aligned_014,04_math_aligned,OleehyO/latex-formulas,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,d6ccd9e767953ab716b63602e49ed020c9f9fe51c142645567ca0ae1df096709,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,d6ccd9e767953ab716b63602e49ed020c9f9fe51c142645567ca0ae1df096709,51941,1,595.276x841.890,,Typst 0.14.2,gen-1783945588-lIuJD3aLsJuUvNBqImKm,1,0.00211675,,,ok,false
overlap_04_math_aligned_014,04_math_aligned_014,04_math_aligned,OleehyO/latex-formulas,claude_sonnet,Claude Sonnet 4.6 - one-turn low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_one_turn_low,one-turn conversion; compile result only,none,low,none,04_math_aligned_014__1turn__sonnet__base,harness/runs/04_math_aligned_014__1turn__sonnet__base/output.typ,9a658412cd4903b9c4100f68e612ae55d48000b213c456ecc7fe14214a1d68b8,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-sonnet-4-6.pdf,09bbd5af61055814fffd53cdf4a91410f8ba0b997f434b74a621733c7a52f3d2,49408,1,612.000x792.000,,Typst 0.14.2,,,0.063999,,,ok,false
overlap_04_math_aligned_014,04_math_aligned_014,04_math_aligned,OleehyO/latex-formulas,claude_opus,Claude Opus 4.7 - one-turn low,Anthropic via Claude Code harness,claude-opus-4-7,opus_one_turn_low,one-turn conversion; compile result only,none,low,none,04_math_aligned_014__1turn__opus__base,harness/runs/04_math_aligned_014__1turn__opus__base/output.typ,5effed644183f56aa6890ae5677b6ef0ac90908f8cddffe571eff5c59fb64d09,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-opus-4-7.pdf,a6080b41aac5e9237545967196f156e2ef06f6c1d89f2377aee78c444e2ab8c4,49838,1,612.000x792.000,,Typst 0.14.2,,,,,,ok,false
overlap_05_tables_simple_005,05_tables_simple_005,05_tables_simple,piushorn/arxiv-latex-tables-43k,reference,LaTeX benchmark reference,latex_benchmark_v0,,reference_compiled_pdf,source-backed LaTeX reference compiled during dataset build,not applicable,not applicable,not recorded,latex_benchmark_v0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/main.tex,28ec5aa428bf1e126c76d32142b31092d6fbc983f8ed39c0fe6b931c271d1b12,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,86ea37bbb3bdaea43bc44b1fa66f16d7c759722d018520caefdb1912661a5f66,94032,2,612.000x792.000|612.000x792.000,pdfTeX-1.40.29,TeX,,,,,,ok,false
overlap_05_tables_simple_005,05_tables_simple_005,05_tables_simple,piushorn/arxiv-latex-tables-43k,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,f208fa8cc48e4afe872461a6490d1c89f45f765298b43fe1cd65bacbab6f0736,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,f208fa8cc48e4afe872461a6490d1c89f45f765298b43fe1cd65bacbab6f0736,138505,3,595.276x841.890|595.276x841.890|595.276x841.890,,Typst 0.14.2,gen-1783945656-v44DYYyw7hfAVwSoNxpT,1,0.0057425,,,ok,false
overlap_05_tables_simple_005,05_tables_simple_005,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_sonnet,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,05_tables_simple_005__visual__sonnet__qlow,harness/runs/05_tables_simple_005__visual__sonnet__qlow/work/output.typ,69088c92cefc6426386393993e1898605f72f1708f0ddc92c9c7a07641122685,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-sonnet-4-6.pdf,d967aaa8b551e5bbe60983ccec2e4ce399afdbf5cfd377555b4a2109d19cd40c,127973,2,612.000x792.000|612.000x792.000,,Typst 0.14.2,,,0.7241802,35,10,ok,false
overlap_05_tables_simple_005,05_tables_simple_005,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_opus,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,05_tables_simple_005__visual__opus__v3run_v3,harness/runs/05_tables_simple_005__visual__opus__v3run_v3/best_checkpoint.typ,2f671500461ec415eda44c0c8f310d71f05dbb8a7ed874c57b23a27daba13789,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-opus-4-7.pdf,5ec9f65517f9530d4233e19960501052b689063dcd52076c59233aa298a02fac,134289,2,612.000x792.000|612.000x792.000,,Typst 0.14.2,,,1.7763455,48,16,ok,false
overlap_05_tables_simple_021,05_tables_simple_021,05_tables_simple,piushorn/arxiv-latex-tables-43k,reference,LaTeX benchmark reference,latex_benchmark_v0,,reference_compiled_pdf,source-backed LaTeX reference compiled during dataset build,not applicable,not applicable,not recorded,latex_benchmark_v0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/main.tex,86a814ed445be63e4bce5a1d1f99b7ac757dd7561c55f2a0d8abcb5659fa8a6c,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,531bc4ce4aabc3c8f7f844be347a0606bf7ed13c0ec0f273747c3e7040c0dff8,156698,3,612.000x792.000|612.000x792.000|612.000x792.000,pdfTeX-1.40.29,TeX,,,,,,ok,false
overlap_05_tables_simple_021,05_tables_simple_021,05_tables_simple,piushorn/arxiv-latex-tables-43k,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,7b4ca92baf80b23d2c14e2358326292f9e8513fe828049f1a27aad815ff32309,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,7b4ca92baf80b23d2c14e2358326292f9e8513fe828049f1a27aad815ff32309,134766,2,595.276x841.890|595.276x841.890,,Typst 0.14.2,gen-1783945666-0UvCEX7vHhrwfwN72zTe,1,0.00828,,,ok,false
overlap_05_tables_simple_021,05_tables_simple_021,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_sonnet,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,05_tables_simple_021__visual__sonnet__qlow,harness/runs/05_tables_simple_021__visual__sonnet__qlow/work/output.typ,955d9ae2a355d07b1626c309028b490de494160cfad19607ee06f42f7fe69378,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-sonnet-4-6.pdf,2951f63eef3187252f013f7dfd786d94e21fd5e48c5ed1879213f0137fabe757,139215,3,612.000x792.000|612.000x792.000|612.000x792.000,,Typst 0.14.2,,,1.4220621000000002,59,14,ok,false
overlap_05_tables_simple_021,05_tables_simple_021,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_opus,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,05_tables_simple_021__visual__opus__v3run_v3,harness/runs/05_tables_simple_021__visual__opus__v3run_v3/best_checkpoint.typ,7826f88e1bd17096dece3afdd385107f9c83cbd62680ac4d4361f257975d1875,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-opus-4-7.pdf,0c33507df0ccd8124649183386790a01c67a991e51d9549c2fd404fe09f07307,141732,3,612.000x792.000|612.000x792.000|612.000x792.000,,Typst 0.14.2,,,2.01471125,43,14,ok,false
overlap_05_tables_simple_023,05_tables_simple_023,05_tables_simple,piushorn/arxiv-latex-tables-43k,reference,LaTeX benchmark reference,latex_benchmark_v0,,reference_compiled_pdf,source-backed LaTeX reference compiled during dataset build,not applicable,not applicable,not recorded,latex_benchmark_v0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/main.tex,18b6f4415908e7454748ef0b057bc17c274e79397efc3fbf043c006dee00ddb6,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,0c55db03d6cef125d66a7307f10a0e119bbce9e7d0f5e34edbdf6bf639a174ea,128834,3,612.000x792.000|612.000x792.000|612.000x792.000,pdfTeX-1.40.29,TeX,,,,,,ok,false
