sample_id,category,candidate_key,display_label,provider,model_id,protocol_id,generation_method,visual_feedback,effort,revision_policy,source_artifact,candidate_pdf,candidate_state,candidate_status,scorecard_status,failed_gates,review_flags,diagnostic_flags,reference_pages,candidate_pages,content,token_precision,token_recall,numeric_exact,layout,layout_coverage_min,layout_reliability,typography,appearance_proxy,appearance_local_q10,nontext_applicable,nontext_score,pagination,table_applicable,table_reference_count,table_candidate_count,table_row_exact_rate,table_column_exact_rate,table_cell_count_ratio,formula_applicable,formula_character_precision,formula_character_recall,formula_character_f1
03_math_inline_display_004,03_math_inline_display,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,ok,prompt v0; attempts=1,fail,token_precision;token_recall,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,1,1,0.7470047494320338,0.7718120805369127,0.6460674157303371,False,0.6051808768926769,0.6460674157303371,medium,0.8647023991983601,0.10732425289565088,2.6997232783639704e-05,True,0.0018347093653573515,0.6922935471690443,False,0,0,,,,True,0.8937823834196891,0.9349593495934959,0.9139072847682118
03_math_inline_display_004,03_math_inline_display,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_one_turn_low,one-turn conversion; compile result only,none,low,none,harness/runs/03_math_inline_display_004__1turn__sonnet__base/output.typ,,failed,claude sonnet 1-turn (effort low); no compiled artifact,unavailable,compile,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_math_inline_display_004,03_math_inline_display,claude_opus_4_7,Claude Opus 4.7 - one-turn low,Anthropic via Claude Code harness,claude-opus-4-7,opus_one_turn_low,one-turn conversion; compile result only,none,low,none,harness/runs/03_math_inline_display_004__1turn__opus__base/output.typ,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/03_math_inline_display_004/claude-opus-4-7.pdf,ok,claude opus 1-turn (effort low); overall=59.2; pages=1/1; compiled from stored Typst,fail,token_precision;token_recall,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,1,1,0.7517951901075899,0.7733333333333333,0.651685393258427,False,0.688687495683484,0.651685393258427,medium,0.8738868662876667,0.2029696143425919,0.017764038204217233,True,0.043165267276550116,0.6981453622328277,False,0,0,,,,True,0.9057591623036649,0.9376693766937669,0.9214380825565912
04_math_aligned_014,04_math_aligned,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,ok,prompt v0; attempts=1,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,2,1,0.7933628635988665,0.8385650224215246,0.700374531835206,False,0.4704970706873051,0.700374531835206,medium,0.828385937022022,0.11184732736239765,0.0,True,0.0,0.3301238928794781,False,0,0,,,,True,0.9528571428571428,0.9555873925501432,0.9542203147353362
04_math_aligned_014,04_math_aligned,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_one_turn_low,one-turn conversion; compile result only,none,low,none,harness/runs/04_math_aligned_014__1turn__sonnet__base/output.typ,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-sonnet-4-6.pdf,ok,claude sonnet 1-turn (effort low); overall=47.4; pages=2/1; compiled from stored Typst,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,2,1,0.8048895591820131,0.84375,0.7078651685393258,False,0.5782883119025277,0.7078651685393258,medium,0.8436180240394652,0.10338691904768674,0.0,True,0.01761549421786152,0.33025564677059366,False,0,0,,,,True,0.9528571428571428,0.9555873925501432,0.9542203147353362
04_math_aligned_014,04_math_aligned,claude_opus_4_7,Claude Opus 4.7 - one-turn low,Anthropic via Claude Code harness,claude-opus-4-7,opus_one_turn_low,one-turn conversion; compile result only,none,low,none,harness/runs/04_math_aligned_014__1turn__opus__base/output.typ,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-opus-4-7.pdf,ok,claude opus 1-turn (effort low); overall=52.0; pages=2/1; compiled from stored Typst,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,2,1,0.8054452911636165,0.8392857142857143,0.704119850187266,False,0.5606943882994412,0.704119850187266,medium,0.8453876358347203,0.14923366963345397,0.0,True,0.0030429750442489754,0.33514391965212653,False,0,0,,,,True,0.9528571428571428,0.9555873925501432,0.9542203147353362
05_tables_simple_005,05_tables_simple,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,ok,prompt v0; attempts=1,fail,token_precision;page_count,low_page_sequence_alignment;table_structure_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,2,3,0.8692752605332872,0.9354838709677419,0.9618573797678275,False,0.23190848185660612,0.9354838709677419,high,0.6508207224316958,0.09529592232533161,0.0,True,0.11061443649582078,0.5466154738927843,True,2,2,0.0,1.0,0.6458333333333334,False,,,
05_tables_simple_005,05_tables_simple,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,harness/runs/05_tables_simple_005__visual__sonnet__qlow/work/output.typ,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-sonnet-4-6.pdf,ok,"claude sonnet agentic (visual, effort low); overall=80.7; pages=2/2; compiled from stored Typst",pass,,,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,2,2,0.9979870631464693,1.0,0.9950248756218906,False,0.7241003707911167,0.9950248756218906,high,0.8745584418473151,0.5615720125393352,0.0,True,0.44184711586379294,0.9806828745079877,True,2,2,1.0,1.0,1.0,False,,,
05_tables_simple_005,05_tables_simple,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,harness/runs/05_tables_simple_005__visual__opus__v3run_v3/best_checkpoint.typ,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-opus-4-7.pdf,ok,"claude opus agentic (visual, effort medium) [v3]; overall=88.0; pages=2/2; compiled from stored Typst",pass,,,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,2,2,0.9986590957896998,1.0,0.9966832504145937,False,0.851973936681708,0.9966832504145937,high,0.9002441080732347,0.6912469019304672,0.0,True,0.4800487083789307,0.9880410129647514,True,2,2,1.0,1.0,1.0,False,,,
05_tables_simple_021,05_tables_simple,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,ok,prompt v0; attempts=1,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;table_count_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,3,2,0.8323621936356409,0.8071216617210683,0.9395509499136442,False,0.24614763722158223,0.8071216617210683,high,0.6742155634023145,0.1594126389359944,0.0,True,0.10398136302432223,0.5487243066023143,True,1,2,0.0,0.0,0.12987012987012986,True,0.8403990024937655,0.9328719723183391,0.8842243358478189
