sample_id,category,complexity_band,status,attempts,first_pass_compiled,final_compiled,repaired,error_class,reference_pages,candidate_pages,page_count_match,prompt_tokens,completion_tokens,total_tokens,reported_cost_usd,duration_seconds,estimated_cost_usd,accounted_cost_usd,requested_model,resolved_model,response_id
01_prose_sections_002,01_prose_sections,heldout,finished,2,False,True,True,,1,1,True,6287,847,7134,0.00284225,7.927,0.00284225,0.00284225,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951475-3VbUhwguolq3rdNBTxPG
01_prose_sections_012,01_prose_sections,heldout,finished,1,True,True,False,,1,1,True,1484,450,1934,0.001046,5.978,0.001046,0.001046,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951480-MFupSdDTDxk4aamTQNc8
02_lists_formatting_006,02_lists_formatting,heldout,finished,1,True,True,False,,1,1,True,1345,287,1632,0.00076675,2.629,0.0007667500000000001,0.00076675,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951498-6sgUxTn0Yq14RLEKQDhc
03_math_inline_display_001,03_math_inline_display,heldout,finished,2,False,True,True,,1,1,True,5190,1788,6978,0.0039795,15.725,0.0039795,0.0039795,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950608-t2STiC9VcdoX4N97CcUY
03_math_inline_display_002,03_math_inline_display,heldout,finished,2,False,True,True,,1,1,True,5093,1717,6810,0.0038487499999999997,16.421,0.0038487499999999997,0.0038487499999999997,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950620-juXbjQxJZyCvQwymbQYR
03_math_inline_display_005,03_math_inline_display,heldout,finished,1,True,True,False,,1,1,True,1888,923,2811,0.0018565,3.636,0.0018565,0.0018565,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950629-FO7xxengPZEsgm7pnyC7
03_math_inline_display_007,03_math_inline_display,heldout,finished,1,True,True,False,,1,1,True,1881,903,2784,0.00182475,5.422,0.00182475,0.00182475,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950633-E5R5Zk2ckpedIgVLu3x6
03_math_inline_display_008,03_math_inline_display,heldout,finished,1,True,True,False,,1,1,True,1855,915,2770,0.00183625,4.163,0.00183625,0.00183625,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950639-lYBfnyziKQWqVy1m4Nuf
03_math_inline_display_012,03_math_inline_display,heldout,finished,2,False,True,True,,1,1,True,4758,1331,6089,0.003186,8.365,0.0031859999999999996,0.003186,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950647-tl54XdN4uylsJEAkRkOI
03_math_inline_display_013,03_math_inline_display,heldout,finished,1,True,True,False,,1,1,True,1921,737,2658,0.00158575,3.639,0.00158575,0.00158575,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950651-JzRKfK6JjAxGla2uaFP8
03_math_inline_display_015,03_math_inline_display,heldout,finished,1,True,True,False,,1,1,True,1823,797,2620,0.00165125,8.421,0.00165125,0.00165125,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950655-qheW7FOsm5fnlukAyGhG
03_math_inline_display_016,03_math_inline_display,heldout,finished,1,True,True,False,,1,1,True,1839,675,2514,0.00147225,6.768,0.00147225,0.00147225,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950663-Riwmc4SKSkNs9dviAjiF
04_math_aligned_001,04_math_aligned,heldout,finished,2,False,True,True,,2,1,False,5522,1620,7142,0.0038105,14.346,0.0038105,0.0038105,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950680-rWBujupXa9pPMqdzv581
04_math_aligned_002,04_math_aligned,heldout,finished,1,True,True,False,,1,1,True,2056,1046,3102,0.002083,5.023,0.002083,0.002083,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950684-XZzPKqNDqLUrRY7PgjFA
04_math_aligned_003,04_math_aligned,heldout,finished,1,True,True,False,,1,1,True,2030,918,2948,0.0018845,4.128,0.0018844999999999999,0.0018845,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950689-rmpa2r1zYPe4ZzyRxJ9a
04_math_aligned_005,04_math_aligned,heldout,finished,1,True,True,False,,2,1,False,2135,998,3133,0.00203075,8.814,0.00203075,0.00203075,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950693-Q7VtDvtuzY1E3qJ02c4R
04_math_aligned_007,04_math_aligned,heldout,finished,2,False,False,False,unknown_symbol_or_function,1,,False,5226,1713,6939,0.003876,12.913,0.003876,0.003876,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950711-wUCFEVXE4WSzT7ejno6p
04_math_aligned_009,04_math_aligned,heldout,finished,2,False,True,True,,2,1,False,5609,1983,7592,0.00437675,16.357,0.00437675,0.00437675,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950725-Ua5TPbCxRlC8dQ7JxdXK
04_math_aligned_013,04_math_aligned,heldout,finished,1,True,True,False,,2,1,False,2014,812,2826,0.0017215,8.389,0.0017215,0.0017215,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950732-Sgt1NI7a211UlcIbag0V
04_math_aligned_015,04_math_aligned,heldout,finished,2,False,True,True,,2,1,False,5333,1674,7007,0.0038442500000000004,21.701,0.00384425,0.0038442500000000004,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950753-6iRiSYIPoijD8TMOXKYV
05_tables_simple_001,05_tables_simple,heldout,finished,2,False,False,False,general_syntax,3,,False,0,0,0,0.0,22.833,0.0,0.0,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950777-uEpLeaYzf37zrIWFTqFM
05_tables_simple_002,05_tables_simple,heldout,finished,2,False,True,True,,2,2,True,13494,6157,19651,0.012609,37.73,0.012608999999999999,0.012609,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950797-5JkpkJzEEHwXt12zaQPU
05_tables_simple_006,05_tables_simple,heldout,finished,2,False,True,True,,3,3,True,16733,9321,26054,0.01816475,54.394,0.01816475,0.01816475,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950863-tuqaJECCvTCRAUhWgqcv
05_tables_simple_007,05_tables_simple,heldout,finished,2,False,True,True,,3,3,True,13163,5091,18254,0.01092725,17.14,0.01092725,0.01092725,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950886-ZYPlt154BdD72RWx22Dv
05_tables_simple_011,05_tables_simple,heldout,finished,2,False,True,True,,3,3,True,15391,8554,23945,0.015761425,25.332,0.01667875,0.015761425,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950907-jy06NxpKvWJd9Lou1OrP
05_tables_simple_012,05_tables_simple,heldout,finished,1,True,True,False,,3,3,True,4332,2809,7141,0.0052965,9.443,0.0052965,0.0052965,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950920-gGYNAXUZeO7Kq8FLz9L3
05_tables_simple_014,05_tables_simple,heldout,finished,2,False,True,True,,2,3,False,13733,6964,20697,0.01387925,41.144,0.01387925,0.01387925,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950940-ZBlUpWA4qE2Bnn29zr8E
05_tables_simple_017,05_tables_simple,heldout,finished,2,False,False,False,general_syntax,3,,False,13950,5531,19481,0.010867125,20.422,0.011784,0.010867125,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950981-StQi4QU3YLHsvXlLYARH
05_tables_simple_018,05_tables_simple,heldout,finished,2,False,False,False,general_syntax,3,,False,0,0,0,0.0,8.545,0.0,0.0,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950993-AlNj0IhZitk8C0K2mzbf
05_tables_simple_027,05_tables_simple,heldout,finished,2,False,True,True,,3,2,False,9479,3746,13225,0.00798875,23.269,0.00798875,0.00798875,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951016-xMe1jVXYeJKu9Yvb8AG2
05_tables_simple_028,05_tables_simple,heldout,finished,2,False,True,True,,2,2,True,5477,1681,7158,0.00389075,54.221,0.00389075,0.00389075,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951057-YHdUoeTzbkL1Ssq7oGVm
06_tables_moderate_012,06_tables_moderate,heldout,finished,2,False,True,True,,3,3,True,10985,5182,16167,0.01051925,30.709,0.01051925,0.01051925,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951099-9AZaN7500xvsB0v7JTlS
06_tables_moderate_014,06_tables_moderate,heldout,finished,2,False,True,True,,3,3,True,8266,3406,11672,0.0071755,29.498,0.0071755,0.0071755,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951123-d4ZA9YE1gjV5WQtqA2Co
06_tables_moderate_017,06_tables_moderate,heldout,finished,2,False,True,True,,3,2,False,9755,5087,14842,0.01006925,55.651,0.01006925,0.01006925,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951150-48CBcrD51vIIQhaSRMq2
06_tables_moderate_019,06_tables_moderate,heldout,finished,2,False,True,True,,2,2,True,10876,4367,15243,0.0092695,42.056,0.0092695,0.0092695,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951216-JqovOaF8DwOTG4kGUPdW
06_tables_moderate_029,06_tables_moderate,heldout,finished,2,False,False,False,general_syntax,2,,False,4499,3396,7895,0.00621875,38.147,0.0062187499999999995,0.00621875,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951264-ktUjVDe86RYyR1KxYcOR
06_tables_moderate_030,06_tables_moderate,heldout,finished,2,False,False,False,general_syntax,3,,False,11682,5380,17062,0.0109905,32.733,0.0109905,0.0109905,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951298-934KUhyQ3JTc7ojousKG
06_tables_moderate_031,06_tables_moderate,heldout,finished,2,False,True,True,,2,3,False,12757,5768,18525,0.01184125,59.458,0.01184125,0.01184125,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951333-vrj7aaJZGH2lXlEY8Z2r
06_tables_moderate_033,06_tables_moderate,heldout,finished,2,False,False,False,unknown_symbol_or_function,3,,False,7229,2475,9704,0.00551975,16.899,0.00551975,0.00551975,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951377-F70k4i1ZMyuuENvUlNZh
07_figures_captions_006,07_figures_captions,heldout,finished,2,False,True,True,,1,1,True,3636,712,4348,0.001977,4.984,0.0019770000000000005,0.001977,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951504-8xXjKlWdQuf7VviPdQNc
08_crossrefs_citations_002,08_crossrefs_citations,heldout,finished,1,True,True,False,,1,1,True,1411,354,1765,0.00088375,2.897,0.00088375,0.00088375,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951462-4I5moVjoA6LhEuLmBslX
08_crossrefs_citations_003,08_crossrefs_citations,heldout,finished,2,False,True,True,,1,1,True,3559,709,4268,0.00195325,7.048,0.00195325,0.00195325,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951469-NDYMyjFKue2vkD6DnjlP
08_crossrefs_citations_010,08_crossrefs_citations,heldout,finished,2,False,False,False,general_syntax,1,,False,3633,722,4355,0.00199125,7.657,0.00199125,0.00199125,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951491-kuTkqEYctxXXAXduJHsH
08_crossrefs_citations_014,08_crossrefs_citations,heldout,finished,1,True,True,False,,1,1,True,1403,353,1756,0.00088025,4.658,0.00088025,0.00088025,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951494-rJVTbmaBRvNMmEPmdnaL
09_algorithms_001,09_algorithms,heldout,finished,2,False,False,False,reference_or_label,2,,False,3301,896,4197,0.00216925,8.771,0.00216925,0.00216925,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951387-pKYvlX0UFz8ZBcwHSFQa
09_algorithms_017,09_algorithms,heldout,finished,2,False,True,True,,1,1,True,2106,367,2473,0.001077,20.52,0.0010769999999999998,0.001077,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951401-8svlN4fWAglkIsNNkkNQ
09_algorithms_018,09_algorithms,heldout,finished,1,True,True,False,,1,1,True,1637,703,2340,0.00146375,3.57,0.0014637500000000002,0.00146375,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951412-VkCSoxU9QXmNO5Hggn6s
10_compact_papers_005,10_compact_papers,heldout,finished,1,True,True,False,,2,2,True,2036,1103,3139,0.0021635,11.313,0.0021635,0.0021635,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951416-HmjNWArw7qWhaFifFoNb
10_compact_papers_006,10_compact_papers,heldout,finished,2,False,False,False,general_syntax,2,,False,4876,1510,6386,0.003484,23.282,0.003484,0.003484,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951431-a9tPs6ixLwtrVCg1VrQP
10_compact_papers_011,10_compact_papers,heldout,finished,2,False,False,False,general_syntax,1,,False,5026,1425,6451,0.0033940000000000003,11.3,0.0033940000000000003,0.0033940000000000003,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951455-fR9EUTOiBf8ynNdW5Ubd
