comparison_set_id,sample_id,category,source_dataset,asset_role,display_label,provider,model_id,protocol_id,generation_method,visual_feedback,effort,revision_policy,run_id,source_artifact,source_artifact_sha256,pdf_path,pdf_sha256,pdf_bytes,page_count,page_canvas_sizes_pt,pdf_producer,pdf_creator,response_id,attempts,run_cost_usd,harness_num_turns,harness_score_runs,pdf_open_status,fair_leaderboard_eligible,comparison_id,reference_pdf,candidate_pdf,reference_display_label,reference_pdf_resolved,candidate_pdf_resolved,v2_status,v2_error,strict_word_f1,strict_document_edit_similarity,compatibility_word_f1,compatibility_document_edit_similarity,number_f1,reference_number_count,candidate_number_count,number_exact,operator_f1,reference_operator_count,candidate_operator_count,operator_exact,citation_f1,reference_citation_count,candidate_citation_count,citation_exact,matched_word_reference_coverage,token_center_displacement_q50,token_center_displacement_q90,token_bbox_iou_q10,block_transport_combined_similarity,block_transport_geometry_similarity,block_transport_content_similarity,block_transport_cost,text_ltsim_page_macro,text_ltsim_worst_page,reading_order_tau,reading_order_reference_coverage,style_coverage_hmean,font_size_log_error_q90,baseline_displacement_q90,unregistered_ink_f1,registered_ink_f1,unregistered_ssim,registered_ssim,unregistered_multiscale_ssim_diagnostic,registered_multiscale_ssim_diagnostic,reference_page_count,candidate_page_count,page_count_delta,page_break_f1,canvas_exact_size_rate,table_status,formula_status,figure_status,v2_evidence_json
overlap_04_math_aligned_014,04_math_aligned_014,04_math_aligned,OleehyO/latex-formulas,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,d6ccd9e767953ab716b63602e49ed020c9f9fe51c142645567ca0ae1df096709,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,d6ccd9e767953ab716b63602e49ed020c9f9fe51c142645567ca0ae1df096709,51941,1,595.276x841.890,,Typst 0.14.2,gen-1783945588-lIuJD3aLsJuUvNBqImKm,1,0.00211675,,,ok,false,overlap_04_math_aligned_014__gemini,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,scored,,0.43109540636042404,0.6434001382170007,0.618374558303887,0.8120248790601243,0.9743589743589743,40,38,False,0.976303317535545,104,107,False,1.0,0,0,True,0.5645161290322581,0.17747413389487163,0.545896993374565,0.0,0.5236958145970693,0.4516385313968032,0.6894000639211958,0.6468442697143686,0.6976817039763406,0.6976817039763406,0.8236130867709814,0.95,0.618374558303887,0.039257085509301654,0.5456038201479032,0.10194112012441693,0.15503033754437817,,,,,2,1,-1,0.0,0.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_04_math_aligned_014__gemini.json
overlap_04_math_aligned_014,04_math_aligned_014,04_math_aligned,OleehyO/latex-formulas,claude_sonnet,Claude Sonnet 4.6 - one-turn low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_one_turn_low,one-turn conversion; compile result only,none,low,none,04_math_aligned_014__1turn__sonnet__base,harness/runs/04_math_aligned_014__1turn__sonnet__base/output.typ,9a658412cd4903b9c4100f68e612ae55d48000b213c456ecc7fe14214a1d68b8,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-sonnet-4-6.pdf,09bbd5af61055814fffd53cdf4a91410f8ba0b997f434b74a621733c7a52f3d2,49408,1,612.000x792.000,,Typst 0.14.2,,,0.063999,,,ok,false,overlap_04_math_aligned_014__claude_sonnet,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-sonnet-4-6.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-sonnet-4-6.pdf,scored,,0.4283185840707965,0.6440912232204561,0.6053097345132743,0.8120248790601243,0.961038961038961,40,37,False,0.976303317535545,104,107,False,1.0,0,0,True,0.5516129032258065,0.07052896410530707,0.6995182293525936,0.0,0.5396627154952222,0.4878772698540458,0.6508594884310106,0.616810935503017,0.7054950612092562,0.7054950612092562,0.8407557354925776,0.975,0.6053097345132743,0.034476726400631756,0.6994921751696653,0.09688198862883493,0.24039172862848043,0.727210245794125,0.782745111536726,0.7859787657711127,0.8515240387748303,2,1,-1,0.0,1.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_04_math_aligned_014__claude_sonnet.json
overlap_04_math_aligned_014,04_math_aligned_014,04_math_aligned,OleehyO/latex-formulas,claude_opus,Claude Opus 4.7 - one-turn low,Anthropic via Claude Code harness,claude-opus-4-7,opus_one_turn_low,one-turn conversion; compile result only,none,low,none,04_math_aligned_014__1turn__opus__base,harness/runs/04_math_aligned_014__1turn__opus__base/output.typ,5effed644183f56aa6890ae5677b6ef0ac90908f8cddffe571eff5c59fb64d09,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-opus-4-7.pdf,a6080b41aac5e9237545967196f156e2ef06f6c1d89f2377aee78c444e2ab8c4,49838,1,612.000x792.000,,Typst 0.14.2,,,,,,ok,false,overlap_04_math_aligned_014__claude_opus,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-opus-4-7.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-opus-4-7.pdf,scored,,0.4283185840707965,0.6434001382170007,0.6017699115044248,0.8106427090532136,0.9873417721518987,40,39,False,0.976303317535545,104,107,False,1.0,0,0,True,0.5483870967741935,0.09888319004805213,0.6301088686581533,0.0,0.5553821770427763,0.5155549479043163,0.6376893821554445,0.588098794932632,0.7042763792993914,0.7042763792993914,0.8758434547908232,0.975,0.6017699115044248,0.034476726400631756,0.6304939347084122,0.14286967813088045,0.15848776008594548,0.7494876140087483,0.7583083849479869,0.8096462858349697,0.822070452744046,2,1,-1,0.0,1.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_04_math_aligned_014__claude_opus.json
overlap_05_tables_simple_005,05_tables_simple_005,05_tables_simple,piushorn/arxiv-latex-tables-43k,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,f208fa8cc48e4afe872461a6490d1c89f45f765298b43fe1cd65bacbab6f0736,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,f208fa8cc48e4afe872461a6490d1c89f45f765298b43fe1cd65bacbab6f0736,138505,3,595.276x841.890|595.276x841.890|595.276x841.890,,Typst 0.14.2,gen-1783945656-v44DYYyw7hfAVwSoNxpT,1,0.0057425,,,ok,false,overlap_05_tables_simple_005__gemini,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,scored,,0.9484873262469338,0.8788855193328279,0.9484873262469338,0.8788855193328279,0.9932279909706546,223,220,False,1.0,76,76,True,1.0,0,0,True,0.9618573797678275,0.221081028588683,0.3257671665242118,0.0,0.4473125245904061,0.484435725587964,0.3857512054748622,0.8044977685096605,0.7121974586465145,0.6982301846059504,0.06666666666666665,0.75,0.9484873262469338,0.5535252760272001,0.308083069412072,0.14947608437524715,0.17160033317523601,,,,,2,3,1,0.0,0.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_005__gemini.json
overlap_05_tables_simple_005,05_tables_simple_005,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_sonnet,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,05_tables_simple_005__visual__sonnet__qlow,harness/runs/05_tables_simple_005__visual__sonnet__qlow/work/output.typ,69088c92cefc6426386393993e1898605f72f1708f0ddc92c9c7a07641122685,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-sonnet-4-6.pdf,d967aaa8b551e5bbe60983ccec2e4ce399afdbf5cfd377555b4a2109d19cd40c,127973,2,612.000x792.000|612.000x792.000,,Typst 0.14.2,,,0.7241802,35,10,ok,false,overlap_05_tables_simple_005__claude_sonnet,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-sonnet-4-6.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-sonnet-4-6.pdf,scored,,0.9975062344139651,0.9988597491448119,0.9975062344139651,0.9988597491448119,0.9932279909706546,223,220,False,1.0,76,76,True,1.0,0,0,True,0.9950248756218906,0.06276203680933387,0.13726231295867977,0.0,0.5140202281160036,0.5991609851747586,0.3866897165839346,0.6654926599900415,0.6786119711747337,0.6674503383439175,0.6666666666666667,0.5,0.9975062344139651,0.052610527543115376,0.13155384256382183,0.5907317704357524,0.5907317704357524,0.5401964607289532,0.5401964607289532,0.747024947243591,0.747024947243591,2,2,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_005__claude_sonnet.json
overlap_05_tables_simple_005,05_tables_simple_005,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_opus,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,05_tables_simple_005__visual__opus__v3run_v3,harness/runs/05_tables_simple_005__visual__opus__v3run_v3/best_checkpoint.typ,2f671500461ec415eda44c0c8f310d71f05dbb8a7ed874c57b23a27daba13789,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-opus-4-7.pdf,5ec9f65517f9530d4233e19960501052b689063dcd52076c59233aa298a02fac,134289,2,612.000x792.000|612.000x792.000,,Typst 0.14.2,,,1.7763455,48,16,ok,false,overlap_05_tables_simple_005__claude_opus,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-opus-4-7.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-opus-4-7.pdf,scored,,0.9983388704318937,0.9992398327632079,0.9983388704318937,0.9992398327632079,0.9954954954954954,223,221,False,1.0,76,76,True,1.0,0,0,True,0.9966832504145937,0.026546665997487454,0.05647333398916131,0.0,0.9447070198120274,0.9326165735539563,0.9675780877247764,0.05688043150317797,0.7910767149183247,0.7716580831681289,1.0,0.75,0.9983388704318937,0.027432180130420997,0.053009110267716264,0.6694614150709133,0.67045922924221,0.5710577474955127,0.5672856642013151,0.773740953542434,0.7712983639343203,2,2,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_005__claude_opus.json
overlap_05_tables_simple_021,05_tables_simple_021,05_tables_simple,piushorn/arxiv-latex-tables-43k,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,7b4ca92baf80b23d2c14e2358326292f9e8513fe828049f1a27aad815ff32309,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,7b4ca92baf80b23d2c14e2358326292f9e8513fe828049f1a27aad815ff32309,134766,2,595.276x841.890|595.276x841.890,,Typst 0.14.2,gen-1783945666-0UvCEX7vHhrwfwN72zTe,1,0.00828,,,ok,false,overlap_05_tables_simple_021__gemini,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,scored,,0.47105263157894733,0.5635831645284717,0.8473684210526315,0.6351564258383975,0.993827160493827,485,487,False,0.9006928406466512,195,238,False,1.0,0,0,True,0.9374090247452693,0.16083797576824163,0.3269271192024257,0.0,0.45395321931021243,0.4865383080146009,0.39911685487571624,0.7897611274168278,0.7015432295043424,0.6847443718197115,0.7222222222222222,0.9,0.8473684210526315,0.4172140924770726,0.2929600739249223,0.13264172836566301,0.15002755121639766,,,,,3,2,-1,0.4,0.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_021__gemini.json
overlap_05_tables_simple_021,05_tables_simple_021,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_sonnet,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,05_tables_simple_021__visual__sonnet__qlow,harness/runs/05_tables_simple_021__visual__sonnet__qlow/work/output.typ,955d9ae2a355d07b1626c309028b490de494160cfad19607ee06f42f7fe69378,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-sonnet-4-6.pdf,2951f63eef3187252f013f7dfd786d94e21fd5e48c5ed1879213f0137fabe757,139215,3,612.000x792.000|612.000x792.000|612.000x792.000,,Typst 0.14.2,,,1.4220621000000002,59,14,ok,false,overlap_05_tables_simple_021__claude_sonnet,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-sonnet-4-6.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-sonnet-4-6.pdf,scored,,0.465300727032386,0.8211711711711711,0.8446794448116326,0.8916666666666666,0.993827160493827,485,487,False,0.8843537414965986,195,246,False,1.0,0,0,True,0.9301310043668122,0.25358381972402416,0.42026601397034546,0.0,0.5897701484528167,0.6038902831805468,0.5644171095001896,0.5280223968814749,0.7102625445326521,0.6910017032721507,0.6666666666666667,0.9,0.8446794448116326,0.6198144834406728,0.3316496877959283,0.1888609217548748,0.4624794595845813,0.7489326405507676,0.7577730996285306,0.8360743879151711,0.8459073707065778,3,3,0,0.28571428571428575,1.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_021__claude_sonnet.json
overlap_05_tables_simple_021,05_tables_simple_021,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_opus,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,05_tables_simple_021__visual__opus__v3run_v3,harness/runs/05_tables_simple_021__visual__opus__v3run_v3/best_checkpoint.typ,7826f88e1bd17096dece3afdd385107f9c83cbd62680ac4d4361f257975d1875,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-opus-4-7.pdf,0c33507df0ccd8124649183386790a01c67a991e51d9549c2fd404fe09f07307,141732,3,612.000x792.000|612.000x792.000|612.000x792.000,,Typst 0.14.2,,,2.01471125,43,14,ok,false,overlap_05_tables_simple_021__claude_opus,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-opus-4-7.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-opus-4-7.pdf,scored,,0.462962962962963,0.818489289740699,0.8425925925925924,0.8901916572717024,0.993827160493827,485,487,False,0.8924485125858123,195,242,False,1.0,0,0,True,0.9272197962154294,0.06427438207911929,0.16597779623202988,0.0,0.6480594531314721,0.7117345928472895,0.5445316746127946,0.43377283817883416,0.7466016967392598,0.7198653082259044,1.0,0.6,0.8425925925925924,0.13430666765897206,0.10735939873589408,0.4846452635852028,0.5853300990830168,0.7478223827362088,0.7548166600868833,0.8477098557957162,0.8536664917513245,3,3,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_021__claude_opus.json
overlap_05_tables_simple_023,05_tables_simple_023,05_tables_simple,piushorn/arxiv-latex-tables-43k,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=2,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,2575f291baa83f2c827e58810fd2f685847013ab87f67e1dbf7ac6c67f95be11,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,2575f291baa83f2c827e58810fd2f685847013ab87f67e1dbf7ac6c67f95be11,126316,2,595.276x841.890|595.276x841.890,,Typst 0.14.2,gen-1783945648-SF2DU24456UBAevNWs5W,2,0.00913,,,ok,false,overlap_05_tables_simple_023__gemini,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,LaTeX benchmark reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,scored,,0.8258706467661692,0.7552328064929518,0.827860696517413,0.7607859888936352,0.8276923076923076,313,337,False,0.9090909090909091,5,6,False,1.0,0,0,True,0.8832271762208068,0.018185238632855344,0.38638319537413557,0.0,0.47176274421240155,0.5167096001844997,0.398404274221036,0.7512790803397016,0.6743027019507071,0.6558534242072362,-0.33333333333333326,0.4444444444444444,0.827860696517413,0.8435651570488163,0.3572009974636807,0.05236486244509236,0.09531808620568964,,,,,3,2,-1,0.0,0.0,abstain,abstain,abstain,results/metric_research_v2/claude_overlap/metric_v2/evidence/overlap_05_tables_simple_023__gemini.json
