sample_id,category,metric_partition,prompt_split,analysis_role,ai_model_id,ai_selected_stage,ai_requested_model,ai_resolved_model,ai_model_checkpoint,ai_prompt_path,ai_system_prompt_sha256,ai_retry_prompt_path,ai_retry_prompt_sha256,ai_temperature,ai_typst_version,ai_attempts,ai_final_attempt,ai_repaired,ai_response_id,ai_run_config,ai_sample_meta,reference_pdf,candidate_pdf,reference_pages,candidate_pages,page_count_match,canvas_match,top_difference_page,top_difference_bbox,top_difference_side,top_difference_coordinate_frame,registration_translation_px,evidence_json,axis_content,band_content,axis_layout,band_layout,axis_typography,band_typography,axis_appearance,band_appearance,axis_structure,band_structure,axis_pagination,band_pagination
03_math_inline_display_001,03_math_inline_display,metric_validation,heldout,prompt_heldout_non_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v2,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,prompts/latex_to_typst/retry_v2.txt,63ed619b0d7115d6783ed1688f40081abd02e91384fb76603f2369fc0ac87f8c,0,typst 0.14.2 (unknown hash),2,2,True,gen-1783950608-t2STiC9VcdoX4N97CcUY,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_001/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_001/output.pdf,1,1,true,false,0,"[0.11764705882352941, 0.08409090909090909, 0.8774509803921569, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[0, 0]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_001.json,0.6135693215339234,abstain,0.8703064097174013,abstain,0.026413517460764764,abstain,0.15752513479610944,abstain,,abstain,1.0,abstain
03_math_inline_display_002,03_math_inline_display,metric_validation,heldout,prompt_heldout_non_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v2,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,prompts/latex_to_typst/retry_v2.txt,63ed619b0d7115d6783ed1688f40081abd02e91384fb76603f2369fc0ac87f8c,0,typst 0.14.2 (unknown hash),2,2,True,gen-1783950620-juXbjQxJZyCvQwymbQYR,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_002/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_002/output.pdf,1,1,true,false,0,"[0.11764705882352941, 0.08257575757575758, 0.8735294117647059, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[0, 0]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_002.json,0.35779816513761464,abstain,0.907286714268319,abstain,0.09992751838920212,abstain,0.21089020305593087,abstain,,abstain,1.0,abstain
03_math_inline_display_003,03_math_inline_display,metric_validation,heldout,prompt_heldout_non_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v1,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,prompts/latex_to_typst/retry_v1.txt,38d57dc85d8fa8584db69e6712e9eec87228d199519ef6ac351507b0d295679e,0,typst 0.14.2 (unknown hash),1,1,False,gen-1783948665-EUAcCs4k2TbAK8a2OvUY,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_003/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_003/output.pdf,1,1,true,false,0,"[0.09705882352941177, 0.08484848484848485, 0.9019607843137255, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[0, 0]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_003.json,0.6358695652173912,abstain,0.8641002007187248,abstain,0.030419345589187328,abstain,0.13281452393783083,abstain,,abstain,1.0,abstain
03_math_inline_display_004,03_math_inline_display,metric_dev,prompt_dev,prompt_development_descriptive_only,google/gemini-3.1-flash-lite,v0,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,prompts/latex_to_typst/retry_v0.txt,99b465a014ccc2bc08d62e1596ca17bef0ffb128b30cd37eebf92b993f035364,0,typst 0.14.2 (unknown hash),1,1,False,gen-1783945583-RX1qqSMnPP2kxlxY2PcY,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,1,1,true,false,0,"[0.08823529411764706, 0.08484848484848485, 0.9107843137254902, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[0, 0]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_004.json,0.6336088154269972,abstain,0.8443192050020938,abstain,0.01735167101650689,abstain,0.16976565620080103,abstain,,abstain,1.0,abstain
03_math_inline_display_005,03_math_inline_display,metric_dev,heldout,prompt_heldout_non_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v2,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,prompts/latex_to_typst/retry_v2.txt,63ed619b0d7115d6783ed1688f40081abd02e91384fb76603f2369fc0ac87f8c,0,typst 0.14.2 (unknown hash),1,1,False,gen-1783950629-FO7xxengPZEsgm7pnyC7,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_005/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_005/output.pdf,1,1,true,false,0,"[0.021568627450980392, 0.14469696969696969, 1.0, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[22, 133]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_005.json,0.4742268041237114,abstain,0.7999798368207525,abstain,0.0035830947204833997,abstain,0.12523620744371727,abstain,,abstain,1.0,abstain
03_math_inline_display_006,03_math_inline_display,metric_test,heldout,prompt_heldout_metric_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v1,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,prompts/latex_to_typst/retry_v1.txt,38d57dc85d8fa8584db69e6712e9eec87228d199519ef6ac351507b0d295679e,0,typst 0.14.2 (unknown hash),1,1,False,gen-1783948705-6XVc5VuWgRSvwMKEvfX9,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_006/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_006/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_006/output.pdf,1,1,true,false,0,"[0.013725490196078431, 0.14469696969696969, 0.8735294117647059, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[-57, 147]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_006.json,0.7005347593582887,abstain,0.857475209084483,abstain,0.024798699287226927,abstain,0.21348157838790502,abstain,,abstain,1.0,abstain
03_math_inline_display_007,03_math_inline_display,metric_test,heldout,prompt_heldout_metric_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v2,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,prompts/latex_to_typst/retry_v2.txt,63ed619b0d7115d6783ed1688f40081abd02e91384fb76603f2369fc0ac87f8c,0,typst 0.14.2 (unknown hash),1,1,False,gen-1783950633-E5R5Zk2ckpedIgVLu3x6,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_007/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_007/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_007/output.pdf,1,1,true,false,0,"[0.11764705882352941, 0.08257575757575758, 1.0, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[0, 0]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_007.json,0.4512195121951219,abstain,0.8051925106791769,abstain,0.004159870677902968,abstain,0.11181020796258814,abstain,,abstain,1.0,abstain
03_math_inline_display_008,03_math_inline_display,metric_dev,heldout,prompt_heldout_non_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v2,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,prompts/latex_to_typst/retry_v2.txt,63ed619b0d7115d6783ed1688f40081abd02e91384fb76603f2369fc0ac87f8c,0,typst 0.14.2 (unknown hash),1,1,False,gen-1783950639-lYBfnyziKQWqVy1m4Nuf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_008/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_008/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v2_heldout_v1_failures/samples/03_math_inline_display_008/output.pdf,1,1,true,false,0,"[0.0, 0.08409090909090909, 1.0, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[0, 0]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_008.json,0.47058823529411764,abstain,0.8559200218847146,abstain,0.047212602842438514,abstain,0.1917762682246408,abstain,,abstain,1.0,abstain
03_math_inline_display_009,03_math_inline_display,metric_validation,heldout,prompt_heldout_non_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v1,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,prompts/latex_to_typst/retry_v1.txt,38d57dc85d8fa8584db69e6712e9eec87228d199519ef6ac351507b0d295679e,0,typst 0.14.2 (unknown hash),2,2,True,gen-1783948766-sFnD6c3H5xfSpHQQSE1i,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_009/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_009/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_009/output.pdf,1,1,true,false,0,"[0.11764705882352941, 0.08484848484848485, 0.8294117647058824, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[0, 0]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_009.json,0.6384180790960452,abstain,0.8440512836830965,abstain,0.013258296158792532,abstain,0.21799278310026035,abstain,,abstain,1.0,abstain
03_math_inline_display_010,03_math_inline_display,metric_dev,heldout,prompt_heldout_non_test_adaptive_pipeline,google/gemini-3.1-flash-lite,v1,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,not_recorded_api_route_only,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,prompts/latex_to_typst/retry_v1.txt,38d57dc85d8fa8584db69e6712e9eec87228d199519ef6ac351507b0d295679e,0,typst 0.14.2 (unknown hash),2,2,True,gen-1783948773-0L5Zw4O32X2DOuooPXD9,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/run_config.json,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_010/meta.json,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_010/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_010/output.pdf,1,1,true,false,0,"[0.09901960784313725, 0.08484848484848485, 0.8990196078431373, 0.946969696969697]",paired_reference_frame,registered_reference_raster,"[0, 0]",results/metric_research_v1/ai_outputs_center_q90_trial_v1/evidence/03_math_inline_display_010.json,0.7042253521126761,abstain,0.8408682786501867,abstain,0.015418953139216018,abstain,0.1283830862876786,abstain,,abstain,1.0,abstain
