sample_id,category,complexity_band,status,attempts,first_pass_compiled,final_compiled,repaired,error_class,reference_pages,candidate_pages,page_count_match,prompt_tokens,completion_tokens,total_tokens,reported_cost_usd,duration_seconds,estimated_cost_usd,accounted_cost_usd,requested_model,resolved_model,response_id
arxiv5t_paper_002,arxiv5t_paper,expansion,finished,2,False,False,False,unknown_symbol_or_function,8,,False,20894,5458,26352,0.0115745,18.699,0.013410499999999999,0.0115745,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731929-gM8tReSdKIXxY42HLZVX
arxiv5t_paper_006,arxiv5t_paper,expansion,finished,2,False,False,False,other_compile_error,10,,False,1823,561,2384,0.00129725,4.479,0.0012972500000000002,0.00129725,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731941-4OIPbnzkmePkeAQazbyg
arxiv5t_paper_019,arxiv5t_paper,expansion,finished,2,False,False,False,unknown_symbol_or_function,5,,False,12539,5654,18193,0.010699549999999999,19.85,0.011615750000000001,0.010699549999999999,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731953-6ybev8xbhMHjcIJ0xmPv
arxiv5t_paper_020,arxiv5t_paper,expansion,finished,2,False,False,False,general_syntax,11,,False,36409,5403,41812,0.01398835,18.972,0.01720675,0.01398835,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731974-m5NtSAd7oqKN1YQxJcs5
arxiv5t_paper_022,arxiv5t_paper,expansion,finished,2,False,False,False,general_syntax,12,,False,33418,4207,37625,0.014665000000000001,26.966,0.014665000000000001,0.014665000000000001,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731991-nJNLTchbUTTce3Y7TRo2
i2s_algorithm_001,i2s_algorithm,expansion,finished,2,False,False,False,unknown_symbol_or_function,2,,False,4604,2629,7233,0.0050945,10.328,0.0050945,0.0050945,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731708-iLQRmDAes7Yg1VDWVgOS
i2s_algorithm_003,i2s_algorithm,expansion,finished,2,False,True,True,,2,1,False,3688,1999,5687,0.0039205,10.319,0.0039205,0.0039205,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731719-xgGcB0VkgHWvFYm8CCy1
i2s_algorithm_004,i2s_algorithm,expansion,finished,1,True,True,False,,1,1,True,1152,978,2130,0.001755,4.312,0.001755,0.001755,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731724-gBaHkIYYBlvTGF5f3npN
i2s_algorithm_005,i2s_algorithm,expansion,finished,2,False,False,False,general_syntax,1,,False,5317,2063,7380,0.00442375,9.285,0.00442375,0.00442375,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731733-kY5HN4m4kSzdplG1Msyx
i2s_algorithm_008,i2s_algorithm,expansion,finished,2,False,True,True,,1,1,True,4573,2647,7220,0.00511375,11.505,0.00511375,0.00511375,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731743-udhXtrSLlrG3PWbaofKo
i2s_equation_001,i2s_equation,expansion,finished,1,True,True,False,,1,1,True,1365,981,2346,0.00181275,5.201,0.00181275,0.00181275,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731610-1JoiJb6G58FpyyezQyvm
i2s_equation_003,i2s_equation,expansion,finished,2,False,True,True,,1,1,True,2838,1289,4127,0.0026430000000000004,6.794,0.002643,0.0026430000000000004,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731618-QHbK7cs45U8YsMIkSu99
i2s_equation_004,i2s_equation,expansion,finished,2,False,False,False,general_syntax,1,,False,3524,1190,4714,0.002666,6.26,0.002666,0.002666,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731625-TYRXsyCyMaAGlaXQ8zH3
i2s_equation_005,i2s_equation,expansion,finished,1,True,True,False,,1,1,True,681,529,1210,0.00096375,2.951,0.00096375,0.00096375,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731627-XpPwWmOW2WK4DhikwX94
i2s_equation_006,i2s_equation,expansion,finished,1,True,True,False,,1,1,True,765,529,1294,0.00098475,2.675,0.00098475,0.00098475,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731630-FvnJcQ6vUgcxC9DuJt5E
i2s_plot_001,i2s_plot,expansion,finished,2,False,False,False,other_compile_error,1,,False,10444,2346,12790,0.00613,11.352,0.00613,0.00613,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731755-SnyHPEEHiVKUN67E0VUl
i2s_plot_002,i2s_plot,expansion,finished,2,False,True,True,,1,1,True,9221,2059,11280,0.00539375,9.181,0.00539375,0.00539375,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731766-uRmr9YhjH1l01W2edcWK
i2s_plot_003,i2s_plot,expansion,finished,2,False,False,False,other_compile_error,1,,False,10444,4012,14456,0.0077141499999999995,12.649,0.008629,0.0077141499999999995,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731776-AcikPinm1s09icxKLQar
i2s_plot_004,i2s_plot,expansion,finished,2,False,False,False,general_syntax,1,,False,9603,2901,12504,0.00675225,11.568,0.00675225,0.00675225,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731789-SsMbmN5rcbOqFhbPIJd1
i2s_plot_005,i2s_plot,expansion,finished,2,False,False,False,other_compile_error,1,,False,10697,4525,15222,0.007638124999999999,14.998,0.009461750000000001,0.007638124999999999,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731803-RzotAFFhtkRNUfH8YEDs
i2s_table_002,i2s_table,expansion,finished,2,False,False,False,unknown_symbol_or_function,2,,False,8511,5444,13955,0.01029375,17.284,0.01029375,0.01029375,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731642-ZTVGqXKC0zu8wK1bMSwD
i2s_table_004,i2s_table,expansion,finished,2,False,False,False,general_syntax,1,,False,8327,5444,13771,0.01024775,20.123,0.01024775,0.01024775,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731659-RwH5qshMA6N0pKEC7Dgh
i2s_table_006,i2s_table,expansion,finished,1,True,True,False,,2,2,True,1418,1254,2672,0.0022355,5.679,0.0022355,0.0022355,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731671-1Rd4sqgXju0fnZPknOz9
i2s_table_007,i2s_table,expansion,finished,2,False,True,True,,1,1,True,4021,1694,5715,0.00354625,9.798,0.00354625,0.00354625,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731681-rjiLMzY6uJTNpZsPRIX1
i2s_table_008,i2s_table,expansion,finished,2,False,True,True,,2,2,True,7604,4693,12297,0.0089405,16.401,0.0089405,0.0089405,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731694-pFkaHVHGp02bDQf97pRn
neurips_paper_029,neurips_paper,expansion,finished,2,False,False,False,general_syntax,11,,False,16821,932,17753,0.0042276,6.079,0.00560325,0.0042276,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784732013-I8MegT1hGefB9L50BE5O
neurips_paper_036,neurips_paper,expansion,finished,2,False,False,False,unknown_symbol_or_function,12,,False,21303,3623,24926,0.010760249999999999,26.316,0.010760249999999999,0.010760249999999999,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784732035-b7T4agr41zNf3HaNA1SS
pubmed_table_001,pubmed_table,expansion,finished,2,False,True,True,,2,2,True,7274,3335,10609,0.006821,11.987,0.006821,0.006821,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731816-0xYs16VtPvm6SJEYOsem
pubmed_table_002,pubmed_table,expansion,finished,2,False,False,False,general_syntax,2,,False,15233,7748,22981,0.0135101,47.004,0.01543025,0.0135101,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731857-3MLUxSB9Ssex5V1VzkU7
pubmed_table_003,pubmed_table,expansion,finished,2,False,False,False,general_syntax,2,,False,8750,5506,14256,0.010446500000000001,16.89,0.010446500000000001,0.010446500000000001,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731878-huzSl2x2Ivw8Z3RuXLun
pubmed_table_004,pubmed_table,expansion,finished,2,False,True,True,,2,3,False,9937,6197,16134,0.011779749999999999,18.757,0.01177975,0.011779749999999999,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731895-BCEvYqKWjGVY4QVzgcIm
pubmed_table_005,pubmed_table,expansion,finished,2,False,False,False,general_syntax,2,,False,8664,4585,13249,0.0090435,15.003,0.0090435,0.0090435,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1784731913-wJye06bCrILOcTCNoTiW
