audit_case_id,blind_index,content_issue,layout_issue,typography_issue,pagination_issue,specialized_issue,severity_summary,confidence,review_notes,reviewer,audit_index,sample_id,category,model_hidden_truth,resolved_model_hidden_truth,selected_prompt_stage_hidden_truth,prompt_path_hidden_truth,system_prompt_sha256_hidden_truth,final_attempt_hidden_truth,candidate_compiled,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,unblind_notes,strict_word_f1,number_f1,token_center_displacement_q90,text_ltsim_page_macro,font_size_log_error_q90,unregistered_ink_f1,unregistered_ssim,page_count_delta,page_break_f1,canvas_exact_size_rate,v2_evidence_json,maximum_issue_severity_ordinal
AI001,1,moderate,moderate,minor,none,moderate,Citation identifiers and cross-reference structure diverge despite preserved prose.,0.98,"The candidate replaces numeric citations [1] and [2] with source keys, exposes a command-like abstract fragment, and recasts the bibliography as keyed bullets.",codex_researcher_b,1,08_crossrefs_citations_010,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v3,prompts/latex_to_typst/system_v3.txt,f076bb100247de52ed359cdb5fc33c5adfadf81b13403da8231c275b211f4cb8,1,true,false,true,true,The cyan enclosure is a whole-page registration frame rather than a localization of the citation-key and raw-command errors. High content with poor layout and typography is directionally consistent with the visible failure.,0.8338762214983714,0.7857142857142857,0.32313308067670676,0.7078533791818559,0.09905721575013436,0.2046406903230124,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/08_crossrefs_citations_010.json,2
AI002,2,none,minor,minor,none,none,The three-item list is faithfully preserved with mild compact reflow.,0.99,All three numbered items and their formulas remain visible in order; the candidate block is simply smaller and positioned higher.,codex_researcher_b,2,02_lists_formatting_011,02_lists_formatting,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,"The enclosure covers nearly the full reference body and does not isolate a defect. The candidate preserves the short list with only mild reflow, so zero layout and very low visual scores are too punitive.",0.8703703703703703,0.7499999999999999,0.1052109450152924,0.7011783695534548,0.04244399158174833,0.1702595327969313,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/02_lists_formatting_011.json,1
AI003,3,minor,moderate,minor,none,minor,Figure content is retained but the caption wording and scale differ.,0.97,"The candidate renders the caption mathematics differently, duplicates 'Figures Figure 1', and enlarges and raises the placeholder.",codex_researcher_b,3,07_figures_captions_009,07_figures_captions,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,true,true,The residual frame spans the page rather than selecting the caption and scale changes. The score pattern reasonably separates mostly retained content from substantial visual displacement.,0.8095238095238095,0.7142857142857143,0.1891861676990342,0.6650945582521158,0.07955446758306212,0.09889195153360716,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/07_figures_captions_009.json,2
AI004,4,major,major,major,none,major,Every displayed expression is replaced by clipped source-like text.,1.00,"Across expressions 1 through 5, long command strings run past the page margins instead of forming the reference mathematics.",codex_researcher_b,4,03_math_inline_display_005,03_math_inline_display,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,1,true,false,true,true,"The page-wide box does not identify any one malformed equation. Low content, layout, typography, and appearance scores are visually supported by the severe raw-math rendering failure.",0.4742268041237114,0.7619047619047619,0.2828712275161715,0.6755259431450188,0.04244399158174833,0.1347320732341112,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/03_math_inline_display_005.json,3
AI005,5,none,minor,minor,none,none,The roman-numbered list is faithfully reproduced with modest compaction.,0.99,All three items and inline formulas remain legible and ordered; line wrapping is only slightly tighter and higher.,codex_researcher_b,5,02_lists_formatting_018,02_lists_formatting,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,"The residual is effectively a full-page frame. The list is faithfully retained with mild spacing and scale changes, making the zero layout score implausibly harsh.",0.9402985074626866,0.7499999999999999,0.15495326491495343,0.7573819687113245,0.0270733216458939,0.23036282139797948,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/02_lists_formatting_018.json,1
AI006,6,none,major,major,none,moderate,Both later tables are reproduced at a drastically smaller scale.,0.97,"Candidate pages 2 and 3 contain very narrow, tiny versions of the word-frequency tables that occupy most of the corresponding reference pages.",codex_researcher_b,6,05_tables_simple_025,05_tables_simple,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,true,false,true,"The residual selects the later table region where the candidate table is drastically reduced. The page count matches and no pagination defect is visible, so a zero pagination score is not plausible.",0.7728026533996682,0.7500000000000001,0.4662078009273838,0.6923973951277084,0.8435651570488163,0.09267938844938438,,0,0.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/05_tables_simple_025.json,3
AI007,7,none,minor,minor,none,none,All five formulas are visually faithful with mild compact reflow.,0.99,Expression order and mathematical structure match; the candidate formula block is slightly smaller and higher on the page.,codex_researcher_b,7,03_math_inline_display_003,03_math_inline_display,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,"The box covers the whole mathematical content block instead of a local discrepancy. The formulas remain faithful with modest compaction, so the near-zero visual axes are overly punitive.",0.4891304347826087,0.9354838709677419,0.19219133926736068,0.677820553094245,0.08327107371093964,0.1619292664719212,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/03_math_inline_display_003.json,1
AI008,8,minor,minor,minor,none,minor,Cross-reference labels are duplicated in an otherwise faithful document.,0.99,"The candidate sentence visibly says 'Section Section 1' and 'Equation Equation 1'; abstract, equation, and bibliography remain present.",codex_researcher_b,8,08_crossrefs_citations_013,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,2,true,false,false,true,"The page-wide residual does not isolate the duplicate headings and labels. Those are limited errors within an otherwise faithful document, so zero layout and very low typography overstate the defect.",0.9281045751633987,0.972972972972973,0.3560931904405576,0.7433116643501918,0.09905721575013436,0.16091358779476025,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/08_crossrefs_citations_013.json,1
AI009,9,minor,moderate,minor,none,minor,Figure placeholders remain usable but captions and closing reference text change.,0.98,"The candidate changes the first caption's source-like math rendering, duplicates 'Figures Figure 1 through Figure 2', and compresses the two placeholders upward.",codex_researcher_b,9,07_figures_captions_002,07_figures_captions,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,"The residual encloses the complete figure stack rather than the duplicated label and caption. The placeholders are retained with moderate compaction, so the near-zero appearance and layout axes are too harsh.",0.9259259259259259,0.8,0.1835016747472023,0.6724885750313325,0.08326597646892968,0.01639262857989263,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/07_figures_captions_002.json,2
AI010,10,none,minor,minor,none,none,The five aligned expressions are preserved with mild compaction.,0.99,All mathematical groups remain rendered and ordered; only vertical spacing and page position differ slightly.,codex_researcher_b,10,04_math_aligned_006,04_math_aligned,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,false,false,true,"The residual is a broad page-content frame. The displayed formulas are retained with only mild compaction, which is inconsistent with the near-zero layout and typography scores.",0.49883449883449893,0.9841269841269841,0.21604791671782908,0.6957775880417287,0.06519470761076167,0.21069512908766078,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/04_math_aligned_006.json,1
