sample_id,category,complexity_band,status,attempts,first_pass_compiled,final_compiled,repaired,error_class,reference_pages,candidate_pages,page_count_match,prompt_tokens,completion_tokens,total_tokens,reported_cost_usd,duration_seconds,estimated_cost_usd,accounted_cost_usd,requested_model,resolved_model,response_id
01_prose_sections_001,01_prose_sections,low,finished,1,True,True,False,,1,1,True,907,446,1353,0.00089575,,0.0008957500000000001,0.00089575,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945086-lJ2rPZD08x4yp0WI65Zw
01_prose_sections_014,01_prose_sections,medium,finished,1,True,True,False,,1,1,True,903,405,1308,0.00083325,4.014,0.00083325,0.00083325,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945531-J7253vF1z0Sd7hIhIQIw
02_lists_formatting_024,02_lists_formatting,high,finished,2,False,False,False,general_syntax,1,,False,3228,983,4211,0.0022815,10.606,0.0022815,0.0022815,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945562-duKdDm0fRkcyoX0U2mpl
02_lists_formatting_025,02_lists_formatting,low,finished,1,True,True,False,,1,1,True,735,208,943,0.00049575,3.003,0.00049575,0.00049575,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945547-XM9bLbCteVgbktTITn8q
02_lists_formatting_026,02_lists_formatting,medium,finished,2,False,True,True,,1,1,True,2148,617,2765,0.0014625,6.796,0.0014625,0.0014625,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945552-Hz4yCuWhdeU7QgxegfK9
03_math_inline_display_004,03_math_inline_display,high,finished,1,True,True,False,,1,1,True,1426,857,2283,0.001642,4.852,0.001642,0.001642,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945583-RX1qqSMnPP2kxlxY2PcY
03_math_inline_display_011,03_math_inline_display,medium,finished,1,True,True,False,,1,1,True,1341,792,2133,0.00152325,4.32,0.00152325,0.00152325,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945579-mUuG5Gf4nbZE9S4W4mUR
03_math_inline_display_014,03_math_inline_display,low,finished,2,False,False,False,math_syntax,1,,False,3819,1478,5297,0.00317175,11.495,0.00317175,0.00317175,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945575-7iPgLjT2wAbPaGUJIL6F
04_math_aligned_008,04_math_aligned,medium,finished,1,True,True,False,,1,1,True,1473,831,2304,0.00161475,4.442,0.0016147499999999999,0.00161475,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945599-hBA0KLGWokfARKQR5uWJ
04_math_aligned_012,04_math_aligned,high,finished,2,False,False,False,unknown_symbol_or_function,2,,False,4634,1746,6380,0.0037775,18.529,0.0037775,0.0037775,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945613-VjJJpQ6OxkHbqDPeM7S6
04_math_aligned_014,04_math_aligned,low,finished,1,True,True,False,,2,1,False,1645,1137,2782,0.00211675,10.507,0.00211675,0.00211675,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945588-lIuJD3aLsJuUvNBqImKm
05_tables_simple_005,05_tables_simple,medium,finished,1,True,True,False,,2,3,False,3908,3177,7085,0.0057425,10.443,0.005742499999999999,0.0057425,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945656-v44DYYyw7hfAVwSoNxpT
05_tables_simple_021,05_tables_simple,high,finished,1,True,True,False,,3,2,False,5280,4640,9920,0.00828,13.97,0.00828,0.00828,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945666-0UvCEX7vHhrwfwN72zTe
05_tables_simple_023,05_tables_simple,low,finished,2,False,True,True,,3,2,False,8338,4697,13035,0.00913,33.649,0.00913,0.00913,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945648-SF2DU24456UBAevNWs5W
06_tables_moderate_010,06_tables_moderate,low,finished,2,False,False,False,general_syntax,2,,False,9449,5324,14773,0.01034825,46.697,0.01034825,0.01034825,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945704-4qbgPUtx1BMWp7S3Edaf
06_tables_moderate_018,06_tables_moderate,high,finished,1,True,True,False,,3,3,True,5652,5072,10724,0.009021,14.071,0.009021,0.009021,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945732-QmFkrgKrOPyEme8vkB1R
06_tables_moderate_032,06_tables_moderate,medium,finished,1,True,True,False,,3,3,True,2885,1263,4148,0.00261575,4.952,0.00261575,0.00261575,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945727-GFaqktng5A4URm63ebWe
07_figures_captions_001,07_figures_captions,low,finished,2,False,True,True,,1,1,True,1937,440,2377,0.00114425,5.098,0.00114425,0.00114425,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945749-nCFZie02WbWuFuQCNTIb
07_figures_captions_003,07_figures_captions,high,finished,1,True,True,False,,1,1,True,874,312,1186,0.0006865,6.328,0.0006865,0.0006865,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945756-f9WHjaXlHiG0aXDsv1G3
07_figures_captions_007,07_figures_captions,medium,finished,2,False,True,True,,1,1,True,2383,610,2993,0.00151075,4.668,0.00151075,0.00151075,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945753-V6GRmGdvtqGeUHFLksAw
08_crossrefs_citations_008,08_crossrefs_citations,high,finished,2,False,False,False,reference_or_label,1,,False,3348,927,4275,0.0022275,5.897,0.0022275,0.0022275,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945778-kG4KNOyjwqDgcYD5M3Yu
08_crossrefs_citations_012,08_crossrefs_citations,low,finished,2,False,True,True,,1,1,True,2791,845,3636,0.00196525,5.601,0.00196525,0.00196525,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945765-Z8qJ8Twh1R2GydxGHJyh
08_crossrefs_citations_013,08_crossrefs_citations,medium,finished,2,False,True,True,,1,1,True,2737,803,3540,0.00188875,7.729,0.00188875,0.00188875,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783945770-shApCU8KumeR5r2DUFyK
