blind_index,blind_sheet,sheet_position,case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes,reviewer
"1","1","1","CA9B4CA4AA2E","A","content","Middle paragraph","0.99","false","Solid black rectangle occludes a paragraph line in panel A.","codex_blind_reaudit_v1"
"2","1","2","D22C3467CE5F","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"3","1","3","1F25AC7F1A2C","A","content","Middle table body, approximately rows 8-12","0.99","false","Large black rectangle occludes table cells in panel A.","codex_blind_reaudit_v1"
"4","1","4","FC9EDC631A13","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"5","2","1","1C8534D50999","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"6","2","2","6F1BADB8FA67","A","content","Lower-middle table body, approximately rows 16-21","0.99","false","Large black horizontal block occludes multiple table rows in panel A.","codex_blind_reaudit_v1"
"7","2","3","8431B22EC466","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"8","2","4","184AB3AB4CAB","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"9","3","1","5C4FD9F4C71D","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"10","3","2","924B0EDEFC26","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"11","3","3","DDADCF644C1A","A","content","Extracted-list item 5","0.98","false","Small black rectangle occludes part of item 5 in panel A.","codex_blind_reaudit_v1"
"12","3","4","740FB1E95401","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"13","4","1","BEA40F0F71A3","B","content","Introductory paragraph above the algorithm","0.99","false","Black bar occludes the introductory paragraph in panel B.","codex_blind_reaudit_v1"
"14","4","2","413CE2E89C2F","A","content","Middle of the Introduction section","0.99","false","Black bar occludes an Introduction line in panel A.","codex_blind_reaudit_v1"
"15","4","3","7DA24929FC48","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"16","4","4","D73BC337DD44","A","content","Body sentence concerning education","0.98","false","Black bar occludes part of a body sentence in panel A.","codex_blind_reaudit_v1"
