blind_index,case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes
0417,5E52BEA83337,,unclear,No reliably visible difference across the algorithm page,0.10,true,Dense small text prevents a defensible panel choice
0418,A99AF398E82A,,unclear,No reliably visible difference in title prose or algorithm block,0.10,true,Panels appear visually equivalent at inspected resolution
0419,D4D17196BBE4,A,appearance,Black horizontal occlusion across a middle algorithm line,0.99,false,Localized high-contrast artifact in the algorithm body
0420,B62E4156722F,,unclear,No reliably visible difference on the letter page,0.10,true,Sparse page and body alignment appear equivalent
0421,FADBD0378FBB,,unclear,No reliably visible difference in the pseudocode block,0.10,true,Any difference is below reliable visual discrimination
0422,6DEBFA24D1EC,A,appearance,Black horizontal occlusion across Expression 3,0.99,false,High-contrast bar masks the central matrix expression
0423,9462FFEB7B81,B,appearance,Short black occlusion inside the abstract line,0.98,false,Dark bar interrupts text near the upper center
0424,0FC3B3310799,A,appearance,Black horizontal occlusion across Expression 3,0.99,false,High-contrast bar masks the center-left formula
0425,37AA931B59AA,,unclear,No reliably visible difference across the five displayed expressions,0.10,true,Formula content and placement appear equivalent
0426,CE0B8556A21B,B,appearance,Short black occlusion in the first displayed condition line,0.99,false,Dark bar masks the upper-center formula text
0427,B84F26CA0FB4,,unclear,No reliably visible difference in the compact paper page,0.10,true,Dense prose and formulas appear equivalent
0428,113C6AB58979,B,structure,Large black occlusion over the table description column around rows 16 to 22,0.99,false,Occlusion destroys several table cells
0429,238D7FD011AE,B,content,Large missing block in the middle of the algorithm body,0.99,false,Panel B has a conspicuous white gap where multiple pseudocode lines should appear
0430,7C5E7E02F166,,unclear,No reliably visible difference in the sparse oversized text page,0.10,true,Panels appear equivalent
0431,C78B39DAAE42,B,structure,Black rectangle inside the figure placeholder near upper center,0.99,false,Visible corruption is confined to the figure region
0432,67697FE15162,A,structure,Large black occlusion over middle table rows in the AEDGA2 column,0.99,false,Several adjacent table cells are obscured
0433,702C503E0D51,,unclear,No reliably visible difference across the aligned expressions,0.10,true,Formula layout appears equivalent
0434,7FFDD0F0D68F,B,appearance,Short black occlusion inside the abstract,0.99,false,Dark bar interrupts the upper prose block
0435,9E40372F5E34,,unclear,No reliably visible difference in the extracted list,0.10,true,List items and indentation appear equivalent
0436,79E1FD53581E,B,content,Words missing from the cross-reference sentence below the heading,0.97,false,Large internal gaps remain before the numeral 1 tokens
0437,EC232E08CCF0,B,content,Words missing from the first body paragraph of the letter,0.97,false,Panel B contains conspicuous gaps in the opening sentence
0438,574C66A01132,A,structure,Large black occlusion over middle rows of the numeric table,0.99,false,Multiple table cells are hidden
0439,04FBFDD00C6F,,unclear,No reliably visible difference in figure placeholder or caption,0.10,true,Panels appear equivalent
0440,21B89E7AC4F0,,unclear,No reliably visible difference across the five formulas,0.10,true,Formula content and positions appear equivalent
