sample_id,category,complexity_band,status,attempts,first_pass_compiled,final_compiled,repaired,error_class,reference_pages,candidate_pages,page_count_match,prompt_tokens,completion_tokens,total_tokens,reported_cost_usd,duration_seconds,estimated_cost_usd,accounted_cost_usd,requested_model,resolved_model,response_id
01_prose_sections_002,01_prose_sections,heldout,finished,2,False,False,False,reference_or_label,1,,False,3107,838,3945,0.00203375,10.219,0.00203375,0.00203375,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950215-6Ui99CkMouPfKjPyX4XG
01_prose_sections_003,01_prose_sections,heldout,finished,2,False,True,True,,1,1,True,1622,380,2002,0.0009755,20.417,0.0009755,0.0009755,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950239-VoGQ4HKlIQUI08pd55E1
01_prose_sections_004,01_prose_sections,heldout,finished,1,True,True,False,,2,2,True,1573,834,2407,0.00164425,8.91,0.0016442499999999999,0.00164425,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950243-8cKN81sEA907MduyR4AQ
01_prose_sections_006,01_prose_sections,heldout,finished,2,False,True,True,,1,1,True,2466,448,2914,0.0012885000000000001,6.114,0.0012885000000000001,0.0012885000000000001,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950262-dRUHD2TH7xVEQWfCZJ2B
01_prose_sections_007,01_prose_sections,heldout,finished,1,True,True,False,,1,2,False,1830,946,2776,0.0018765,42.303,0.0018765,0.0018765,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950265-uaeVlek49W7l0h6aUpFB
01_prose_sections_008,01_prose_sections,heldout,finished,1,True,True,False,,1,1,True,0,0,0,0.0,4.95,0.0,0.0,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950308-wnc3FnTgiH26YXtj8BIL
01_prose_sections_009,01_prose_sections,heldout,finished,1,True,True,False,,1,1,True,1176,413,1589,0.0009135,3.281,0.0009135,0.0009135,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950322-xjWCcmfFH5KkcMbvQbDM
01_prose_sections_010,01_prose_sections,heldout,finished,1,True,True,False,,1,1,True,1326,539,1865,0.00114,3.069,0.00114,0.00114,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950335-IDwOEhrHwgVHSukzyNkJ
01_prose_sections_011,01_prose_sections,heldout,finished,1,True,True,False,,1,1,True,1356,584,1940,0.001215,3.363,0.001215,0.001215,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950338-ZE2N91J1EP4r2fb8qr85
01_prose_sections_012,01_prose_sections,heldout,finished,2,False,False,False,unknown_symbol_or_function,1,,False,3286,964,4250,0.0022675,5.852,0.0022675,0.0022675,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950344-MC3QORR8DFj7CKKYEYc6
01_prose_sections_013,01_prose_sections,heldout,finished,1,True,True,False,,1,1,True,1253,443,1696,0.00097775,4.931,0.00097775,0.00097775,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950353-wH2pG2wfkJ1nGWernTtf
02_lists_formatting_002,02_lists_formatting,heldout,finished,1,True,True,False,,1,1,True,968,235,1203,0.0005945,2.184,0.0005945,0.0005945,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950365-yS4wKhLUu0D6b4tapy5L
02_lists_formatting_003,02_lists_formatting,heldout,finished,1,True,True,False,,1,1,True,1072,256,1328,0.000652,3.975,0.000652,0.000652,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783950397-3a3it3gCOhXOS1DLnmiY
