sample_id,category,preview_page,reference_pages,manual_render_check,visual_scope,manual_note
03_math_inline_display_001,03_math_inline_display,2,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_002,03_math_inline_display,3,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_003,03_math_inline_display,4,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_004,03_math_inline_display,5,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_005,03_math_inline_display,6,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_006,03_math_inline_display,7,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_007,03_math_inline_display,8,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_008,03_math_inline_display,9,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_009,03_math_inline_display,10,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_010,03_math_inline_display,11,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_011,03_math_inline_display,12,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_012,03_math_inline_display,13,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_013,03_math_inline_display,14,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_014,03_math_inline_display,15,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_015,03_math_inline_display,16,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_016,03_math_inline_display,17,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_017,03_math_inline_display,18,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_018,03_math_inline_display,19,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
04_math_aligned_001,04_math_aligned,20,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_002,04_math_aligned,21,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_003,04_math_aligned,22,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_004,04_math_aligned,23,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_005,04_math_aligned,24,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_006,04_math_aligned,25,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_007,04_math_aligned,26,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_008,04_math_aligned,27,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_009,04_math_aligned,28,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
