audit_case_id,blind_index,content_issue,layout_issue,typography_issue,pagination_issue,specialized_issue,severity_summary,confidence,review_notes,reviewer
AI105,105,major,major,moderate,none,major,"Major formula-conversion failure across the page.",0.99,"Expressions 1, 3, and 5 contain raw command text and grid-like reconstruction artifacts instead of the reference display mathematics.",codex_researcher_b
AI106,106,moderate,moderate,minor,none,none,"Visible character substitutions and compact reflow affect otherwise preserved prose.",0.90,"The candidate's extracted strings use altered marker characters and the body block is narrower and shifted upward relative to the reference.",codex_researcher_b
AI107,107,none,moderate,moderate,none,moderate,"Tables remain present but are substantially rescaled and densified.",0.92,"On pages 2 and 3 the candidate tables are much narrower with smaller text and altered row and column proportions.",codex_researcher_b
AI108,108,moderate,moderate,moderate,none,major,"Algorithm semantics are obscured by raw commands and lost pseudocode structure.",0.98,"The ruled and indented algorithm block is flattened; command fragments such as tau and theta appear as literal prose in the numbered procedure.",codex_researcher_b
AI109,109,none,moderate,minor,none,none,"Prose is preserved with noticeable block-scale reflow.",0.96,"The candidate body occupies a narrower, shorter block positioned substantially higher than the reference.",codex_researcher_b
AI110,110,major,moderate,moderate,none,major,"Displayed mathematics is flattened and visibly malformed.",0.99,"Formula regions contain plain-text substitutions and malformed symbols rather than the reference mathematical layout.",codex_researcher_b
AI111,111,none,major,moderate,none,moderate,"Multi-page tables are reproduced at an impractically small scale.",0.95,"Candidate table bodies on pages 2 and 3 are dramatically smaller and denser than their reference counterparts.",codex_researcher_b
AI112,112,none,major,moderate,none,moderate,"Table scale and proportions diverge severely on later pages.",0.95,"Pages 2 and 3 show very narrow, tiny candidate tables despite the reference using most of the page width.",codex_researcher_b
AI113,113,minor,moderate,minor,none,minor,"The algorithm is readable but has been recast as a boxed figure.",0.95,"The candidate adds a figure-style box and caption around the procedure and changes its indentation and spacing hierarchy.",codex_researcher_b
AI114,114,none,minor,minor,none,none,"Mathematics is preserved with mild compression and vertical shift.",0.97,"The candidate formula group is smaller and positioned higher than the reference but remains legible and structurally faithful.",codex_researcher_b
AI115,115,none,minor,minor,none,none,"Mathematics is preserved with mild compression and vertical shift.",0.97,"The candidate formula group is smaller and positioned higher than the reference without visible content loss.",codex_researcher_b
AI116,116,none,major,moderate,major,none,"A one-page reference has been split into two pages.",0.99,"The candidate moves the extracted prose block onto page 2, leaving a sparsely populated first page and changing document pagination.",codex_researcher_b
AI117,117,moderate,moderate,moderate,none,major,"Equation and cross-reference rendering visibly fails.",0.99,"The introduction's references become a numbered list, the equation appears as raw command text, and a literal eq:compact label remains visible.",codex_researcher_b
AI118,118,major,major,major,none,major,"All displayed formulas are replaced by clipped raw TeX strings.",1.00,"Across the page the candidate shows long command strings extending beyond both margins instead of rendered expressions.",codex_researcher_b
AI119,119,none,minor,minor,none,none,"The three-item list is faithfully preserved with mild reflow.",0.98,"Candidate list text is slightly more compact and vertically shifted, with no visible item loss or reordering.",codex_researcher_b
AI120,120,minor,moderate,minor,none,minor,"The letter loses its date and reorganizes the sender block.",0.96,"The reference date near the upper right is absent, while sender and address fields are moved and reformatted above the body.",codex_researcher_b
AI121,121,none,minor,minor,none,none,"Figure placeholder and caption are preserved with mild reflow.",0.97,"The boxed placeholder, title, caption, and inline mathematics remain visible; spacing and scale differ slightly.",codex_researcher_b
AI122,122,none,minor,minor,none,none,"Prose is preserved with modest scale and top-position differences.",0.96,"The candidate text block begins higher and is slightly smaller and narrower than the reference.",codex_researcher_b
AI123,123,minor,moderate,moderate,none,moderate,"Later-page tables show overlap and denser reconstruction.",0.94,"The bottom rows and caption on candidate page 2 collide, while the page 3 grid is noticeably denser than the reference.",codex_researcher_b
AI124,124,major,major,major,none,major,"Mathematical structure is entirely lost to raw source text.",1.00,"Every expression region contains literal command syntax or code-like text instead of rendered formulas.",codex_researcher_b
AI125,125,minor,minor,minor,none,minor,"Figures are preserved but the closing cross-reference text is duplicated.",0.98,"The sentence below the figure row reads with a duplicated 'Figures Figure 1 through Figure 3' construction.",codex_researcher_b
AI126,126,minor,minor,minor,none,minor,"Cross-reference labels are duplicated despite otherwise strong fidelity.",0.98,"The candidate prose visibly says 'Section Section 1' and 'Equation Equation 1' in the line above the equation.",codex_researcher_b
AI127,127,none,minor,minor,none,none,"The extracted list is faithfully reproduced with mild reflow.",0.98,"Items and ordering match visually; the candidate merely uses a slightly different scale and vertical placement.",codex_researcher_b
AI128,128,minor,moderate,moderate,none,moderate,"Table grids are denser and a lower-page collision obscures structure.",0.94,"Candidate page 2 has bottom-row and caption overlap, and page 3 uses materially different grid density and scale.",codex_researcher_b
AI129,129,none,minor,minor,none,none,"Displayed mathematics is visually faithful with mild compression.",0.98,"All five expressions remain rendered and readable; the candidate block is slightly smaller and higher on the page.",codex_researcher_b
AI130,130,none,moderate,minor,none,minor,"Two-page mathematics is preserved but alignment and density differ.",0.94,"The candidate reflows the page 1 expression group more tightly and re-centers the sparse formula block on page 2.",codex_researcher_b
AI131,131,minor,minor,minor,none,minor,"The figure is preserved but caption and reference text contain duplication artifacts.",0.98,"Below the placeholder the candidate retains raw protect-rule text and duplicates 'Figures Figure 1 through Figure 1'.",codex_researcher_b
AI132,132,none,major,moderate,major,moderate,"Two reference pages expand to three because each table is moved to its own page.",0.97,"The candidate leaves page 1 mostly empty, places table 1 on page 2, and moves table 2 to a new page 3 at a much smaller scale.",codex_researcher_b
AI133,133,none,minor,minor,none,none,"All five formulas are rendered faithfully with mild compaction.",0.98,"The candidate preserves expression structure and ordering while using a slightly smaller and higher text-and-formula block.",codex_researcher_b
AI134,134,moderate,major,major,major,major,"Table overflow creates an extra page and severe bottom-page corruption.",0.99,"The two-page reference becomes three pages; candidate page 2 has rows and text collapsed into a dark overlapping band near the bottom.",codex_researcher_b
AI135,135,moderate,major,moderate,none,major,"Pseudocode hierarchy is largely flattened into centered prose.",0.98,"Only a leading '1.' remains at the left while nested loops, step numbering, indentation, and update blocks are collapsed across the center.",codex_researcher_b
