case_id,candidate_panel_hidden_truth,sample_id,category,variant,severity,expected_axis,source_pdf,candidate_pdf,target_page,known_target_bbox,expected_page,expected_bbox,predicted_page,predicted_bbox,unblinded_sheet,unblinded_image,candidate_valid,mutation_visible,target_box_correct,label_correct,predicted_box_useful,reviewer,review_notes,reference_pdf_resolved,candidate_pdf_resolved,v2_status,v2_error,word_f1,document_edit_similarity,strict_word_f1,strict_document_edit_similarity,compatibility_word_f1,compatibility_document_edit_similarity,reference_number_count,candidate_number_count,reference_operator_count,candidate_operator_count,reference_citation_count,candidate_citation_count,number_f1,number_exact,operator_f1,operator_exact,citation_f1,citation_exact,matched_word_reference_coverage,token_center_displacement_q50,token_center_displacement_q90,token_bbox_iou_q10,block_transport_combined_similarity,block_transport_geometry_similarity,block_transport_content_similarity,block_transport_cost,text_ltsim_page_macro,text_ltsim_worst_page,reading_order_tau,reading_order_reference_coverage,style_coverage_hmean,font_size_log_error_q90,baseline_displacement_q90,unregistered_ink_f1,registered_ink_f1,unregistered_ssim,registered_ssim,unregistered_multiscale_ssim_diagnostic,registered_multiscale_ssim_diagnostic,reference_page_count,candidate_page_count,page_count_delta,page_break_f1,canvas_exact_size_rate,table_status,formula_status,figure_status,v2_evidence_json
22D21916A3FF,A,01_prose_sections_001,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__text_deletion__s2.pdf,0,"[0.297808, 0.501267, 0.486631, 0.515042]",0,"[0.297808, 0.501267, 0.486631, 0.515042]",0,"[0.2980392156862745, 0.5022727272727273, 0.48627450980392156, 0.5128787878787879]",1,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_001_01_prose_sections_001.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__text_deletion__s2.pdf,scored,,0.9915966386554621,0.9770723104056438,0.9915966386554621,0.9770723104056438,0.9915966386554621,0.9770723104056438,20,20,1,1,0,0,1.0,True,1.0,True,1.0,True,0.9833333333333333,0.0,0.0,1.0,0.9643842105191672,0.9703183336280918,0.9534598101303109,0.03626550514514339,0.9527309439078377,0.9527309439078377,1.0,1.0,0.9915966386554621,0.0,0.0,0.9897110641296688,0.9897110641296688,0.9972710788413032,0.9972710788413032,0.9983759604083603,0.9983759604083603,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/22D21916A3FF.json
924B0EDEFC26,B,01_prose_sections_001,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__block_right__s2.pdf,0,"[0.117647, 0.467051, 0.89848, 0.532149]",0,"[0.117647, 0.467051, 0.89848, 0.532149]",0,"[0.11764705882352941, 0.4681818181818182, 0.8990196078431373, 0.5318181818181819]",1,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_001_01_prose_sections_001.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__block_right__s2.pdf,scored,,1.0,1.0,1.0,1.0,1.0,1.0,20,20,1,1,0,0,1.0,True,1.0,True,1.0,True,1.0,0.0,0.016339869281045805,0.3168554879793527,0.9789410879030842,0.9750682312880617,0.9861743930083372,0.021283814050735816,0.951900595428009,0.951900595428009,1.0,1.0,1.0,0.0,0.0,0.9517487159777785,0.9517487159777785,0.9591134903281232,0.9591134903281232,0.9809509437547389,0.9809509437547389,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/924B0EDEFC26.json
D524A9B3E522,B,01_prose_sections_001,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__local_occlusion__s2.pdf,0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.4343137254901961, 0.48484848484848486, 0.5627450980392157, 0.5128787878787879]",1,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_001_01_prose_sections_001.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__local_occlusion__s2.pdf,scored,,0.9720670391061451,0.9744268077601411,0.9720670391061451,0.9744268077601411,0.9720670391061451,0.9744268077601411,20,20,1,1,0,0,1.0,True,1.0,True,1.0,True,0.9666666666666667,0.0,0.0,1.0,0.962211066166147,0.9689396322580223,0.9498388756996218,0.038521448882744974,0.9527309413185262,0.9527309413185262,1.0,1.0,0.9720670391061451,0.0,0.0,0.9821476866420412,0.9821476866420412,0.9958151501602823,0.9958151501602823,0.9966856714596978,0.9966856714596978,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/D524A9B3E522.json
8BB08188EF3F,A,01_prose_sections_001,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_001__paragraph_occlusion__s2.pdf,0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.4343137254901961, 0.48484848484848486, 0.5627450980392157, 0.5128787878787879]",1,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_001_01_prose_sections_001.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_001__paragraph_occlusion__s2.pdf,scored,,0.9720670391061451,0.9744268077601411,0.9720670391061451,0.9744268077601411,0.9720670391061451,0.9744268077601411,20,20,1,1,0,0,1.0,True,1.0,True,1.0,True,0.9666666666666667,0.0,0.0,1.0,0.962211066166147,0.9689396322580223,0.9498388756996218,0.038521448882744974,0.9527309413185262,0.9527309413185262,1.0,1.0,0.9720670391061451,0.0,0.0,0.9821476866420412,0.9821476866420412,0.9958151501602823,0.9958151501602823,0.9966856714596978,0.9966856714596978,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/8BB08188EF3F.json
A0C687DCC113,A,01_prose_sections_002,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__text_deletion__s2.pdf,0,"[0.266809, 0.441391, 0.340161, 0.455165]",0,"[0.266809, 0.441391, 0.340161, 0.455165]",0,"[0.26666666666666666, 0.44242424242424244, 0.34019607843137256, 0.4553030303030303]",2,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_002_01_prose_sections_002.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__text_deletion__s2.pdf,scored,,0.9912536443148687,0.9881266490765171,0.9912536443148687,0.9881266490765171,0.9912536443148687,0.9881266490765171,56,55,34,34,0,0,0.9909909909909909,False,1.0,True,1.0,True,0.9826589595375722,0.0,4.9865323653586203e-08,0.9999957774549855,0.9887750788867998,0.993008194262085,0.9809613962302188,0.011288395987502902,0.9999999970352874,0.9999999970352874,1.0,1.0,0.9912536443148687,0.0,0.0,0.9945154554007848,0.9945154554007848,0.9989005130294017,0.9989005130294017,0.9991471999552071,0.9991471999552071,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/A0C687DCC113.json
0F6054328A19,A,01_prose_sections_002,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__block_right__s2.pdf,0,"[0.117647, 0.532636, 0.898551, 0.580626]",0,"[0.117647, 0.532636, 0.898551, 0.580626]",0,"[0.11862745098039215, 0.5333333333333333, 0.8980392156862745, 0.5803030303030303]",2,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_002_01_prose_sections_002.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__block_right__s2.pdf,scored,,1.0,1.0,1.0,1.0,1.0,1.0,56,56,34,34,0,0,1.0,True,1.0,True,1.0,True,1.0,0.0,0.01633986928104577,0.16158563887901145,0.9959353165568577,0.9937534884300268,1.0,0.004072966722447014,0.9990493472903672,0.9990493472903672,1.0,1.0,1.0,0.0,0.0,0.9442525076530265,0.9442525076530265,0.9712002252234454,0.9712002252234454,0.9855073773977501,0.9855073773977501,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/0F6054328A19.json
0B4D373CDAE0,B,01_prose_sections_002,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__local_occlusion__s2.pdf,0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.4343137254901961, 0.5515151515151515, 0.5686274509803921, 0.5636363636363636]",2,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_002_01_prose_sections_002.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__local_occlusion__s2.pdf,scored,,0.9795918367346939,0.9828496042216359,0.9795918367346939,0.9828496042216359,0.9795918367346939,0.9828496042216359,56,54,34,32,0,0,0.9818181818181818,False,0.9696969696969697,False,1.0,True,0.9710982658959537,0.0,0.0,1.0,0.984171987364519,0.9899724899039221,0.9734896431379815,0.01595461329577949,0.9999999970354271,0.9999999970354271,1.0,1.0,0.9795918367346939,0.0,0.0,0.994202296027509,0.994202296027509,0.9978768274021501,0.9978768274021501,0.997851707995968,0.997851707995968,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/0B4D373CDAE0.json
E86379AD7C8B,A,01_prose_sections_002,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_002__paragraph_occlusion__s2.pdf,0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.4343137254901961, 0.5515151515151515, 0.5686274509803921, 0.5636363636363636]",2,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_002_01_prose_sections_002.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_002__paragraph_occlusion__s2.pdf,scored,,0.9795918367346939,0.9828496042216359,0.9795918367346939,0.9828496042216359,0.9795918367346939,0.9828496042216359,56,54,34,32,0,0,0.9818181818181818,False,0.9696969696969697,False,1.0,True,0.9710982658959537,0.0,0.0,1.0,0.984171987364519,0.9899724899039221,0.9734896431379815,0.01595461329577949,0.9999999970354271,0.9999999970354271,1.0,1.0,0.9795918367346939,0.0,0.0,0.994202296027509,0.994202296027509,0.9978768274021501,0.9978768274021501,0.997851707995968,0.997851707995968,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/E86379AD7C8B.json
0CF6FF5DAAAC,A,01_prose_sections_003,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_003__text_deletion__s2.pdf,0,"[0.597701, 0.602402, 0.882068, 0.616177]",0,"[0.597701, 0.602402, 0.882068, 0.616177]",0,"[0.5980392156862745, 0.603030303030303, 0.8803921568627451, 0.615909090909091]",3,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_003_01_prose_sections_003.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_003__text_deletion__s2.pdf,scored,,0.988009592326139,0.9728937728937729,0.988009592326139,0.9728937728937729,0.988009592326139,0.9728937728937729,4,4,1,1,0,0,1.0,True,1.0,True,1.0,True,0.976303317535545,0.0,0.0,1.0,0.982113473652455,0.9884214365517919,0.970505293604849,0.018048423685904872,1.0,1.0,1.0,1.0,0.988009592326139,0.0,0.0,0.9853396479819043,0.9853396479819043,0.995951960008847,0.995951960008847,0.9963510875206681,0.9963510875206681,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/0CF6FF5DAAAC.json
4B75E23D73DA,B,01_prose_sections_003,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_003__block_right__s2.pdf,0,"[0.117647, 0.516865, 0.898515, 0.616177]",0,"[0.117647, 0.516865, 0.898515, 0.616177]",0,"[0.11764705882352941, 0.5174242424242425, 0.8980392156862745, 0.615909090909091]",3,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_003_01_prose_sections_003.jpg,,,,,,LLM_research_audit,,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_003__block_right__s2.pdf,scored,,1.0,1.0,1.0,1.0,1.0,1.0,4,4,1,1,0,0,1.0,True,1.0,True,1.0,True,1.0,0.0,0.016339869281045805,0.202090227504607,0.9941735402459938,0.991050289543962,1.0,0.0058434997916049685,0.9988381607295921,0.9988381607295921,1.0,1.0,1.0,0.0,0.0,0.9542061827561721,0.9542061827561721,0.9379040983378222,0.9379040983378222,0.9747217424541288,0.9747217424541288,1,1,0,1.0,1.0,abstain,abstain,abstain,results/metric_research_v2/controlled_retained_628/evidence/4B75E23D73DA.json
