sample_id,category,complexity_band,attempt,error_class,eventual_result,summary,log_path
01_prose_sections_002,01_prose_sections,heldout,1,math_syntax,final_failure,error: unexpected hat,samples/01_prose_sections_002/attempt_1_compile.log
01_prose_sections_002,01_prose_sections,heldout,2,reference_or_label,final_failure,error: label `<t>` does not exist in the document,samples/01_prose_sections_002/attempt_2_compile.log
01_prose_sections_003,01_prose_sections,heldout,1,general_syntax,repaired,error: unclosed delimiter,samples/01_prose_sections_003/attempt_1_compile.log
01_prose_sections_006,01_prose_sections,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: SU,samples/01_prose_sections_006/attempt_1_compile.log
01_prose_sections_012,01_prose_sections,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: SU,samples/01_prose_sections_012/attempt_1_compile.log
01_prose_sections_012,01_prose_sections,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: texttt,samples/01_prose_sections_012/attempt_2_compile.log
02_lists_formatting_006,02_lists_formatting,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: hi,samples/02_lists_formatting_006/attempt_1_compile.log
02_lists_formatting_006,02_lists_formatting,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: hi,samples/02_lists_formatting_006/attempt_2_compile.log
02_lists_formatting_015,02_lists_formatting,heldout,1,other_compile_error,repaired,error: unknown symbol modifier,samples/02_lists_formatting_015/attempt_1_compile.log
02_lists_formatting_020,02_lists_formatting,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: check,samples/02_lists_formatting_020/attempt_1_compile.log
03_math_inline_display_001,03_math_inline_display,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: circ,samples/03_math_inline_display_001/attempt_1_compile.log
03_math_inline_display_001,03_math_inline_display,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: dV,samples/03_math_inline_display_001/attempt_2_compile.log
03_math_inline_display_002,03_math_inline_display,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: vartheta,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: vartheta,samples/03_math_inline_display_002/attempt_2_compile.log
03_math_inline_display_005,03_math_inline_display,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: cl,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,heldout,2,math_syntax,final_failure,error: unclosed delimiter,samples/03_math_inline_display_005/attempt_2_compile.log
03_math_inline_display_007,03_math_inline_display,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: varsigma,samples/03_math_inline_display_007/attempt_1_compile.log
03_math_inline_display_007,03_math_inline_display,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: varsigma,samples/03_math_inline_display_007/attempt_2_compile.log
03_math_inline_display_008,03_math_inline_display,heldout,1,math_syntax,final_failure,error: unknown symbol modifier,samples/03_math_inline_display_008/attempt_1_compile.log
03_math_inline_display_008,03_math_inline_display,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: wedge,samples/03_math_inline_display_008/attempt_2_compile.log
03_math_inline_display_009,03_math_inline_display,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: biggl,samples/03_math_inline_display_009/attempt_1_compile.log
03_math_inline_display_010,03_math_inline_display,heldout,1,math_syntax,repaired,error: unknown symbol modifier,samples/03_math_inline_display_010/attempt_1_compile.log
03_math_inline_display_012,03_math_inline_display,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: dt,samples/03_math_inline_display_012/attempt_1_compile.log
03_math_inline_display_012,03_math_inline_display,heldout,2,math_syntax,final_failure,error: unclosed delimiter,samples/03_math_inline_display_012/attempt_2_compile.log
03_math_inline_display_013,03_math_inline_display,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: hbar,samples/03_math_inline_display_013/attempt_1_compile.log
03_math_inline_display_013,03_math_inline_display,heldout,2,math_syntax,final_failure,error: unknown symbol modifier,samples/03_math_inline_display_013/attempt_2_compile.log
03_math_inline_display_015,03_math_inline_display,heldout,1,math_syntax,final_failure,"error: expected content, found array",samples/03_math_inline_display_015/attempt_1_compile.log
03_math_inline_display_015,03_math_inline_display,heldout,2,math_syntax,final_failure,"error: expected content, found array",samples/03_math_inline_display_015/attempt_2_compile.log
03_math_inline_display_016,03_math_inline_display,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: varpi,samples/03_math_inline_display_016/attempt_1_compile.log
03_math_inline_display_016,03_math_inline_display,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: varpi,samples/03_math_inline_display_016/attempt_2_compile.log
03_math_inline_display_017,03_math_inline_display,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: sf,samples/03_math_inline_display_017/attempt_1_compile.log
03_math_inline_display_018,03_math_inline_display,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: wedge,samples/03_math_inline_display_018/attempt_1_compile.log
04_math_aligned_001,04_math_aligned,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: hskip,samples/04_math_aligned_001/attempt_1_compile.log
04_math_aligned_001,04_math_aligned,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: hskip,samples/04_math_aligned_001/attempt_2_compile.log
04_math_aligned_002,04_math_aligned,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: none,samples/04_math_aligned_002/attempt_1_compile.log
04_math_aligned_002,04_math_aligned,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: left,samples/04_math_aligned_002/attempt_2_compile.log
04_math_aligned_003,04_math_aligned,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: wedge,samples/04_math_aligned_003/attempt_1_compile.log
04_math_aligned_003,04_math_aligned,heldout,2,math_syntax,final_failure,error: unknown symbol modifier,samples/04_math_aligned_003/attempt_2_compile.log
04_math_aligned_004,04_math_aligned,heldout,1,math_syntax,repaired,"error: expected content, found array",samples/04_math_aligned_004/attempt_1_compile.log
04_math_aligned_005,04_math_aligned,heldout,1,math_syntax,final_failure,error: unexpected hat,samples/04_math_aligned_005/attempt_1_compile.log
04_math_aligned_005,04_math_aligned,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: wedge,samples/04_math_aligned_005/attempt_2_compile.log
04_math_aligned_006,04_math_aligned,heldout,1,math_syntax,repaired,error: unexpected argument,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_007,04_math_aligned,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: prod,samples/04_math_aligned_007/attempt_1_compile.log
