case_id,candidate_panel_hidden_truth,sample_id,category,variant,severity,expected_axis,source_pdf,candidate_pdf,target_page,known_target_bbox,expected_page,expected_bbox,predicted_page,predicted_bbox,unblinded_sheet,unblinded_image,candidate_valid,mutation_visible,target_box_correct,label_correct,predicted_box_useful,reviewer,review_notes
22D21916A3FF,A,01_prose_sections_001,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__text_deletion__s2.pdf,0,"[0.297808, 0.501267, 0.486631, 0.515042]",0,"[0.297808, 0.501267, 0.486631, 0.515042]",0,"[0.2980392156862745, 0.5022727272727273, 0.48627450980392156, 0.5128787878787879]",1,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_001_01_prose_sections_001.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 1: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
924B0EDEFC26,B,01_prose_sections_001,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__block_right__s2.pdf,0,"[0.117647, 0.467051, 0.89848, 0.532149]",0,"[0.117647, 0.467051, 0.89848, 0.532149]",0,"[0.11764705882352941, 0.4681818181818182, 0.8990196078431373, 0.5318181818181819]",1,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_001_01_prose_sections_001.jpg,no,no,not_assessable,not_assessable,no,codex_manual_blind_audit_1,"Blind A/B review found no reliable visible difference for block_right; exclude this controlled candidate from perceptual calibration. With no observable defect, the expected label and target box are not assessable and the predicted box is not useful (synthetic-target IoU=0.977)."
D524A9B3E522,B,01_prose_sections_001,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_001__local_occlusion__s2.pdf,0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.4343137254901961, 0.48484848484848486, 0.5627450980392157, 0.5128787878787879]",1,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_001_01_prose_sections_001.jpg,yes,yes,yes,yes,partial,codex_manual_blind_audit_1,Blind review identified the changed panel and visible mutation. The local_occlusion label (content+appearance) and known target box are supported by the rendered evidence. Predicted-box IoU=0.354; localization rated partial.
8BB08188EF3F,A,01_prose_sections_001,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_001__paragraph_occlusion__s2.pdf,0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.4343137254901961, 0.48484848484848486, 0.5627450980392157, 0.5128787878787879]",1,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_001_01_prose_sections_001.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 1: paragraph_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
A0C687DCC113,A,01_prose_sections_002,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__text_deletion__s2.pdf,0,"[0.266809, 0.441391, 0.340161, 0.455165]",0,"[0.266809, 0.441391, 0.340161, 0.455165]",0,"[0.26666666666666666, 0.44242424242424244, 0.34019607843137256, 0.4553030303030303]",2,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_002_01_prose_sections_002.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 2: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
0F6054328A19,A,01_prose_sections_002,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__block_right__s2.pdf,0,"[0.117647, 0.532636, 0.898551, 0.580626]",0,"[0.117647, 0.532636, 0.898551, 0.580626]",0,"[0.11862745098039215, 0.5333333333333333, 0.8980392156862745, 0.5803030303030303]",2,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_002_01_prose_sections_002.jpg,no,no,not_assessable,not_assessable,no,codex_manual_blind_audit_1,"Blind A/B review found no reliable visible difference for block_right; exclude this controlled candidate from perceptual calibration. With no observable defect, the expected label and target box are not assessable and the predicted box is not useful (synthetic-target IoU=0.977)."
0B4D373CDAE0,B,01_prose_sections_002,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_002__local_occlusion__s2.pdf,0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.4343137254901961, 0.5515151515151515, 0.5686274509803921, 0.5636363636363636]",2,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_002_01_prose_sections_002.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 2: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
E86379AD7C8B,A,01_prose_sections_002,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_002__paragraph_occlusion__s2.pdf,0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.4343137254901961, 0.5515151515151515, 0.5686274509803921, 0.5636363636363636]",2,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_002_01_prose_sections_002.jpg,yes,yes,yes,yes,yes,codex_manual_blind_audit_1,Blind review identified the changed panel and visible mutation. The paragraph_occlusion label (content+appearance) and known target box are supported by the rendered evidence. Predicted-box IoU=0.577; localization rated yes.
0CF6FF5DAAAC,A,01_prose_sections_003,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_003__text_deletion__s2.pdf,0,"[0.597701, 0.602402, 0.882068, 0.616177]",0,"[0.597701, 0.602402, 0.882068, 0.616177]",0,"[0.5980392156862745, 0.603030303030303, 0.8803921568627451, 0.615909090909091]",3,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_003_01_prose_sections_003.jpg,no,no,not_assessable,not_assessable,no,codex_manual_blind_audit_1,"Blind A/B review found no reliable visible difference for text_deletion; exclude this controlled candidate from perceptual calibration. With no observable defect, the expected label and target box are not assessable and the predicted box is not useful (synthetic-target IoU=0.928)."
4B75E23D73DA,B,01_prose_sections_003,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_003__block_right__s2.pdf,0,"[0.117647, 0.516865, 0.898515, 0.616177]",0,"[0.117647, 0.516865, 0.898515, 0.616177]",0,"[0.11764705882352941, 0.5174242424242425, 0.8980392156862745, 0.615909090909091]",3,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_003_01_prose_sections_003.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 3: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
BF39DCCC4498,B,01_prose_sections_003,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_003__local_occlusion__s2.pdf,0,"[0.438749, 0.558576, 0.561073, 0.574466]",0,"[0.438749, 0.558576, 0.561073, 0.574466]",0,"[0.4294117647058823, 0.5522727272727272, 0.5676470588235294, 0.5795454545454546]",3,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_003_01_prose_sections_003.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 3: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
9527F849FC26,A,01_prose_sections_003,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_003__paragraph_occlusion__s2.pdf,0,"[0.438749, 0.558576, 0.561073, 0.574466]",0,"[0.438749, 0.558576, 0.561073, 0.574466]",0,"[0.4294117647058823, 0.5522727272727272, 0.5676470588235294, 0.5795454545454546]",3,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_003_01_prose_sections_003.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 3: paragraph_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
50ED1E1DDF03,A,01_prose_sections_004,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_004/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_004__text_deletion__s2.pdf,0,"[0.162211, 0.367508, 0.837714, 0.395182]",0,"[0.162211, 0.367508, 0.837714, 0.395182]",0,"[0.1627450980392157, 0.36818181818181817, 0.8372549019607843, 0.39545454545454545]",4,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_004_01_prose_sections_004.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 4: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
80C8B37038D8,A,01_prose_sections_004,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_004/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_004__block_right__s2.pdf,0,"[0.117647, 0.590327, 0.898515, 0.792284]",0,"[0.117647, 0.590327, 0.898515, 0.792284]",0,"[0.11764705882352941, 0.5909090909090909, 0.8990196078431373, 0.7924242424242425]",4,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_004_01_prose_sections_004.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 4: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
04F70FA00C24,B,01_prose_sections_004,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_004/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_004__local_occlusion__s2.pdf,0,"[0.438749, 0.675149, 0.561073, 0.707462]",0,"[0.438749, 0.675149, 0.561073, 0.707462]",0,"[0.43333333333333335, 0.6742424242424242, 0.5627450980392157, 0.7083333333333334]",4,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_004_01_prose_sections_004.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 4: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
644F7AD6A4EA,B,01_prose_sections_004,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_004/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_004__paragraph_occlusion__s2.pdf,0,"[0.438749, 0.675149, 0.561073, 0.707462]",0,"[0.438749, 0.675149, 0.561073, 0.707462]",0,"[0.43333333333333335, 0.6742424242424242, 0.5627450980392157, 0.7083333333333334]",4,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_004_01_prose_sections_004.jpg,yes,yes,yes,yes,yes,codex_manual_blind_audit_1,Blind review identified the changed panel and visible mutation. The paragraph_occlusion label (content+appearance) and known target box are supported by the rendered evidence. Predicted-box IoU=0.896; localization rated yes.
1499D7F5BB47,B,01_prose_sections_006,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_006/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_006__text_deletion__s2.pdf,0,"[0.162211, 0.261844, 0.837691, 0.289517]",0,"[0.162211, 0.261844, 0.837691, 0.289517]",0,"[0.1627450980392157, 0.26590909090909093, 0.8372549019607843, 0.29015151515151516]",5,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_005_01_prose_sections_006.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 5: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
FC9EDC631A13,B,01_prose_sections_006,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_006/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_006__block_right__s2.pdf,0,"[0.117647, 0.424282, 0.898444, 0.455165]",0,"[0.117647, 0.424282, 0.898444, 0.455165]",0,"[0.11764705882352941, 0.425, 0.8980392156862745, 0.45606060606060606]",5,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_005_01_prose_sections_006.jpg,no,no,not_assessable,not_assessable,no,codex_manual_blind_audit_1,"Blind A/B review found no reliable visible difference for block_right; exclude this controlled candidate from perceptual calibration. With no observable defect, the expected label and target box are not assessable and the predicted box is not useful (synthetic-target IoU=0.949)."
A78EB8827517,B,01_prose_sections_006,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_006/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_006__local_occlusion__s2.pdf,0,"[0.438719, 0.437253, 0.561032, 0.442194]",0,"[0.438719, 0.437253, 0.561032, 0.442194]",0,"[0.4372549019607843, 0.43636363636363634, 0.5627450980392157, 0.4431818181818182]",5,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_005_01_prose_sections_006.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 5: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
E3F25B56B09A,B,01_prose_sections_006,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_006/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_006__paragraph_occlusion__s2.pdf,0,"[0.438719, 0.437253, 0.561032, 0.442194]",0,"[0.438719, 0.437253, 0.561032, 0.442194]",0,"[0.4372549019607843, 0.43636363636363634, 0.5627450980392157, 0.4431818181818182]",5,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_005_01_prose_sections_006.jpg,yes,yes,yes,yes,yes,codex_manual_blind_audit_1,Blind review identified the changed panel and visible mutation. The paragraph_occlusion label (content+appearance) and known target box are supported by the rendered evidence. Predicted-box IoU=0.706; localization rated yes.
0B6F91F95316,B,01_prose_sections_007,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_007/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_007__text_deletion__s2.pdf,0,"[0.304777, 0.550577, 0.719412, 0.564351]",0,"[0.304777, 0.550577, 0.719412, 0.564351]",0,"[0.30490196078431375, 0.5507575757575758, 0.7176470588235294, 0.5651515151515152]",6,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_006_01_prose_sections_007.jpg,no,no,not_assessable,not_assessable,no,codex_manual_blind_audit_1,"Blind A/B review found no reliable visible difference for text_deletion; exclude this controlled candidate from perceptual calibration. With no observable defect, the expected label and target box are not assessable and the predicted box is not useful (synthetic-target IoU=0.929)."
1F6978FD8F51,B,01_prose_sections_007,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_007/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_007__block_right__s2.pdf,0,"[0.117647, 0.482147, 0.898479, 0.666996]",0,"[0.117647, 0.482147, 0.898479, 0.666996]",0,"[0.11764705882352941, 0.4825757575757576, 0.8980392156862745, 0.6674242424242425]",6,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_006_01_prose_sections_007.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 6: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
5AC818EFFF13,B,01_prose_sections_007,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_007/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_007__local_occlusion__s2.pdf,0,"[0.438734, 0.559784, 0.561053, 0.58936]",0,"[0.438734, 0.559784, 0.561053, 0.58936]",0,"[0.4343137254901961, 0.5507575757575758, 0.5666666666666667, 0.5992424242424242]",6,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_006_01_prose_sections_007.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 6: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
F676CBC970FA,A,01_prose_sections_007,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_007/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_007__paragraph_occlusion__s2.pdf,0,"[0.438734, 0.559784, 0.561053, 0.58936]",0,"[0.438734, 0.559784, 0.561053, 0.58936]",0,"[0.4343137254901961, 0.5507575757575758, 0.5666666666666667, 0.5992424242424242]",6,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_006_01_prose_sections_007.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 6: paragraph_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
B0B7038D4F99,B,01_prose_sections_008,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_008/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_008__text_deletion__s2.pdf,0,"[0.198075, 0.484663, 0.33508, 0.498437]",0,"[0.198075, 0.484663, 0.33508, 0.498437]",0,"[0.1980392156862745, 0.4856060606060606, 0.33431372549019606, 0.4962121212121212]",7,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_007_01_prose_sections_008.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 7: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
EE91E38924AF,A,01_prose_sections_008,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_008/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_008__block_right__s2.pdf,0,"[0.117647, 0.484663, 0.898533, 0.601082]",0,"[0.117647, 0.484663, 0.898533, 0.601082]",0,"[0.11764705882352941, 0.48484848484848486, 0.8990196078431373, 0.6007575757575757]",7,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_007_01_prose_sections_008.jpg,no,no,not_assessable,not_assessable,no,codex_manual_blind_audit_1,"Blind A/B review found no reliable visible difference for block_right; exclude this controlled candidate from perceptual calibration. With no observable defect, the expected label and target box are not assessable and the predicted box is not useful (synthetic-target IoU=0.995)."
6A5DA1B93F20,B,01_prose_sections_008,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_008/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_008__local_occlusion__s2.pdf,0,"[0.438756, 0.533559, 0.561084, 0.552186]",0,"[0.438756, 0.533559, 0.561084, 0.552186]",0,"[0.4372549019607843, 0.5325757575757576, 0.5627450980392157, 0.553030303030303]",7,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_007_01_prose_sections_008.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 7: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
B55C76CACBCF,A,01_prose_sections_008,01_prose_sections,paragraph_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_008/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_008__paragraph_occlusion__s2.pdf,0,"[0.438756, 0.533559, 0.561084, 0.552186]",0,"[0.438756, 0.533559, 0.561084, 0.552186]",0,"[0.4372549019607843, 0.5325757575757576, 0.5627450980392157, 0.553030303030303]",7,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_007_01_prose_sections_008.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 7: paragraph_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
059DF904E7C8,B,01_prose_sections_009,01_prose_sections,text_deletion,2,content,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_009/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_009__text_deletion__s2.pdf,0,"[0.601248, 0.4907, 0.882104, 0.504474]",0,"[0.601248, 0.4907, 0.882104, 0.504474]",0,"[0.6009803921568627, 0.49166666666666664, 0.8823529411764706, 0.5045454545454545]",8,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_008_01_prose_sections_009.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 8: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
5F8CEA792D59,B,01_prose_sections_009,01_prose_sections,block_right,2,layout,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_009/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_009__block_right__s2.pdf,0,"[0.117647, 0.439378, 0.898515, 0.555798]",0,"[0.117647, 0.439378, 0.898515, 0.555798]",0,"[0.11764705882352941, 0.4401515151515151, 0.8980392156862745, 0.556060606060606]",8,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_008_01_prose_sections_009.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 8: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
0B7A6C710FC7,B,01_prose_sections_009,01_prose_sections,local_occlusion,2,content+appearance,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_009/reference.pdf,results/metric_research_v1/full_157_v1/batch_a/audit/01_prose_sections_009__local_occlusion__s2.pdf,0,"[0.438749, 0.488275, 0.561073, 0.506902]",0,"[0.438749, 0.488275, 0.561073, 0.506902]",0,"[0.4372549019607843, 0.4871212121212121, 0.5627450980392157, 0.5075757575757576]",8,results/metric_research_v1/full_157_v1/visual_audit/unblinded/sample_008_01_prose_sections_009.jpg,true,true,true,true,true,LLM_research_audit,Unblinded sheet 8: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
