sample_id,category,attempt,warning,compile_ok,log_path
01_prose_sections_001,01_prose_sections,1,unknown font family: linux libertine,True,samples/01_prose_sections_001/attempt_1_compile.log
02_lists_formatting_024,02_lists_formatting,1,unknown font family: linux libertine,False,samples/02_lists_formatting_024/attempt_1_compile.log
03_math_inline_display_011,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/03_math_inline_display_011/attempt_1_compile.log
03_math_inline_display_011,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/03_math_inline_display_011/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,2,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_014/attempt_2_compile.log
04_math_aligned_012,04_math_aligned,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/04_math_aligned_012/attempt_1_compile.log
04_math_aligned_012,04_math_aligned,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/04_math_aligned_012/attempt_1_compile.log
05_tables_simple_005,05_tables_simple,1,unknown font family: linux libertine,True,samples/05_tables_simple_005/attempt_1_compile.log
05_tables_simple_021,05_tables_simple,1,unknown font family: linux libertine,True,samples/05_tables_simple_021/attempt_1_compile.log
05_tables_simple_023,05_tables_simple,2,unknown font family: linux libertine,True,samples/05_tables_simple_023/attempt_2_compile.log
06_tables_moderate_018,06_tables_moderate,1,unknown font family: linux libertine,True,samples/06_tables_moderate_018/attempt_1_compile.log
06_tables_moderate_032,06_tables_moderate,1,unknown font family: linux libertine,True,samples/06_tables_moderate_032/attempt_1_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,1,label `<Mart>` is not attached to anything,False,samples/08_crossrefs_citations_008/attempt_1_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,1,label `<HosNak>` is not attached to anything,False,samples/08_crossrefs_citations_008/attempt_1_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,1,label `<Visser>` is not attached to anything,False,samples/08_crossrefs_citations_008/attempt_1_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,1,label `<HosNak2>` is not attached to anything,False,samples/08_crossrefs_citations_008/attempt_1_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,2,label `<Mart>` is not attached to anything,False,samples/08_crossrefs_citations_008/attempt_2_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,2,label `<HosNak>` is not attached to anything,False,samples/08_crossrefs_citations_008/attempt_2_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,2,label `<Visser>` is not attached to anything,False,samples/08_crossrefs_citations_008/attempt_2_compile.log
08_crossrefs_citations_008,08_crossrefs_citations,2,label `<HosNak2>` is not attached to anything,False,samples/08_crossrefs_citations_008/attempt_2_compile.log
